Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14922314903538763377;AA 500;West,Christopher John;55.56;43.39;1.06;0.00;0.00;95.01;85.45
15232415281750334636;AA 500;Rappa,Michael;55.39;41.62;2.10;0.00;0.90;94.61;85.06
6817047804613755402;AA 501;LaBarr,Aric David;64.02;30.69;5.29;0.00;0.00;95.51;85.87
15462552533214394679;AA 501;Rappa,Michael;58.68;39.82;0.30;0.00;1.20;95.07;85.48
12089427162268651135;AA 502;LaBarr,Aric David;61.24;38.11;0.65;0.00;0.00;95.67;86.06
2305340771259074662;AA 502;Rappa,Michael;59.82;39.26;0.61;0.31;0.00;95.46;85.86
10762467827678787318;AA 503;LaBarr,Aric David;90.53;8.42;1.05;0.00;0.00;98.85;88.95
17701764364735704586;AA 503;Rappa,Michael;44.72;55.28;0.00;0.00;0.00;93.92;84.47
13534549592758882969;AA 504;West,Christopher John;57.67;41.80;0.53;0.00;0.00;95.29;85.71
16109782817161512570;AA 504;Rappa,Michael;65.54;33.85;0.62;0.00;0.00;96.15;86.49
16290514377927976832;AA 505;West,Christopher John;61.05;38.95;0.00;0.00;0.00;95.72;86.11
10022513303123484320;AA 505;Rappa,Michael;74.53;25.47;0.00;0.00;0.00;97.20;87.45
11440794701422043047;AA 591;LaBarr,Aric David;80.00;12.50;5.00;0.00;2.50;96.55;86.75
5106947586992433394;AA 591;Rappa,Michael;73.68;26.32;0.00;0.00;0.00;97.11;87.37
2017648365970973397;AA 591E;Rappa,Michael;82.86;17.14;0.00;0.00;0.00;98.11;88.29
16746935793809696597;AA 591F;Rappa,Michael;82.86;17.14;0.00;0.00;0.00;98.11;88.29
12317274054258605020;AA 670;Rappa,Michael;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17493886542499766575;AA 691;Rappa,Michael;0.00;0.00;0.00;0.00;0.00;0.00;0.00
