Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5679128247491263372;ACC 200;Cohen,Scott R;19.63;45.79;24.30;5.61;4.67;86.21;77.01
10392537431939017333;ACC 200;Barnes,Richard;18.37;54.69;22.04;3.27;1.63;87.67;78.49
3575417086993209760;ACC 200;Broadfoot,John Winston;18.84;37.68;36.23;5.80;1.45;85.86;76.67
6404698925085942135;ACC 200;Mcveigh,Wayne Francis;27.82;33.83;19.55;12.03;6.77;85.67;76.39
18095413336705623451;ACC 200;Giles,John W.;25.00;50.00;21.21;1.52;2.27;88.64;79.39
4897053988280690446;ACC 200;McKittrick,Chris;14.58;35.98;32.20;10.04;7.20;83.22;74.07
11093017231804939367;ACC 200;Zuckerman,Gilroy J.;13.00;39.00;33.00;6.00;9.00;83.23;74.10
3524412966970862603;ACC 200;Thomas,Robin E.;26.45;33.88;24.79;7.44;7.44;85.71;76.45
2588183818860954584;ACC 200;Sawyers,Roby B;17.42;43.90;27.18;7.32;4.18;85.48;76.31
5521793725827146235;ACC 200;Hergeth,Helmut H;37.50;45.83;12.50;4.17;0.00;91.04;81.67
148415382065601694;ACC 200;Chen,Yuang Sung Al;26.32;35.09;21.05;10.53;7.02;85.58;76.32
6031465552747397822;ACC 200;Snell,William Ward;29.85;44.78;14.93;7.46;2.99;88.40;79.10
18026783636836483068;ACC 200;Buckless PhD,Frank A;21.02;32.95;30.68;10.23;5.11;84.66;75.45
15565162501101934734;ACC 200;Bradford,Marianne;14.92;32.04;28.18;11.05;13.81;81.47;72.32
7378797576116495966;ACC 200;Jesinkey,Brian Edward;25.81;32.26;16.13;9.68;16.13;83.45;74.19
2284852774424161026;ACC 210;Branson,Bruce C;24.73;33.64;28.42;8.14;5.07;85.73;76.48
10281933371070606415;ACC 210;Thomas,Robin E.;31.00;31.50;24.50;8.50;4.50;86.91;77.60
13144898953431286126;ACC 210;Cohen,Scott R;21.19;41.10;21.61;9.75;6.36;85.31;76.10
12548453367072890646;ACC 210;Sawyers,Roby B;18.11;38.38;27.90;10.48;5.13;84.57;75.39
13775725647076294916;ACC 210;Pagach,Donald P;14.13;27.17;40.22;6.52;11.96;81.64;72.50
1439350317211753110;ACC 210;Chen,Yuang Sung Al;48.67;37.33;10.67;2.00;1.33;92.49;83.00
2050423760868091730;ACC 210;Dow,Tom;30.94;45.93;16.29;6.51;0.33;89.37;80.07
3171375059336581007;ACC 210;Williams,Paul F.;62.50;37.50;0.00;0.00;0.00;95.88;86.25
607611481407191251;ACC 210;McKittrick,Chris;30.70;37.91;23.72;5.58;2.09;88.26;78.95
18319819005484835651;ACC 210;Buckless PhD,Frank A;15.38;38.18;30.86;11.09;4.50;84.04;74.88
2211716499705138148;ACC 210;Mcveigh,Wayne Francis;51.52;36.36;10.61;1.52;0.00;93.30;83.79
2066971191146222658;ACC 210;Carraway,Ernest;25.66;30.09;30.97;11.50;1.77;85.89;76.64
13990300915531947801;ACC 210;Zuckerman,Gilroy J.;31.68;39.60;22.77;3.96;1.98;88.82;79.50
5259494563259026544;ACC 210;Giles,John W.;11.43;38.10;41.90;7.62;0.95;84.26;75.14
6900664079941067951;ACC 210;Plummer,Jared;10.94;31.25;42.97;7.03;7.81;82.16;73.05
3330216865379989795;ACC 210;Ball,Eric A;38.24;38.24;14.71;8.82;0.00;89.97;80.59
3953060292252764459;ACC 210;Brodie,Evangeline Bazemore;41.13;17.74;20.97;13.71;6.45;86.75;77.34
10452168440991734220;ACC 210;Jhabvala,Jamasp Darius;17.53;31.96;34.02;8.25;8.25;83.40;74.23
16110411512632816891;ACC 210;Moretti,Julia Anne;28.57;40.18;24.11;4.46;2.68;88.04;78.75
16522511481382543668;ACC 210;Showalter,D. Scott;8.50;34.50;39.50;14.00;3.50;82.14;73.05
17181148202917960735;ACC 210;Watkins Jr,James Floyd;25.68;28.38;25.68;12.16;8.11;84.39;75.14
9301770560662600625;ACC 210;Snell,William Ward;23.68;32.89;30.26;13.16;0.00;85.95;76.71
2484708942582263890;ACC 210;Cantor,Judith;30.12;53.01;13.25;3.61;0.00;90.27;80.96
12616492227711270903;ACC 210;Green,Robert M;13.16;34.21;44.74;7.89;0.00;84.39;75.26
15964804700461541116;ACC 210;Goodson,Drew M.;11.43;34.29;25.71;20.00;8.57;81.11;72.00
14533588480613864061;ACC 220;Young,Natalie Kay;29.07;32.95;27.52;6.40;4.07;86.95;77.66
11217116172812046509;ACC 220;Cohen,Scott R;30.14;33.04;24.06;5.80;6.96;86.66;77.36
17259878993326643769;ACC 220;Dow,Tom;47.17;45.28;7.55;0.00;0.00;93.43;83.96
12183807718308109382;ACC 220;Sawyers,Roby B;29.11;33.54;27.53;7.28;2.53;87.23;77.94
11321297873262006465;ACC 220;McKittrick,Chris;25.74;33.58;29.90;7.60;3.19;86.37;77.11
3302042558594236556;ACC 220;Malone,Carissa L;62.11;34.74;2.11;0.00;1.05;95.31;85.68
17365469081739603949;ACC 220;Barnes,Richard;41.75;45.63;8.41;3.24;0.97;91.81;82.39
11252587308593640278;ACC 220;Zuckerman,Gilroy J.;18.87;32.08;33.02;8.49;7.55;83.81;74.62
