Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7778492160523489547;ADN 111;Greder,Katherine;90.77;3.08;3.08;3.08;0.00;98.06;88.15
3488690460014629619;ADN 111;Carter,Gregory Lynn;74.68;17.72;5.06;1.27;1.27;96.08;86.33
15574915899069229996;ADN 111;Cooper,Cameron Stephen;87.50;12.50;0.00;0.00;0.00;98.63;88.75
14517659616172810460;ADN 111;Bissinger,Michael Robert;86.84;5.26;7.89;0.00;0.00;97.76;87.89
11190910670180715463;ADN 111;Marchant Montenegro,Hernan Pedro;85.71;9.52;0.00;0.00;4.76;97.00;87.14
2246226836366815549;ADN 111;Fitzgerald,Patrick J;93.55;3.23;3.23;0.00;0.00;98.97;89.03
12718733281262395443;ADN 111;Raymond,Dana Gordon;57.33;37.33;1.33;1.33;2.67;94.11;84.53
3499747980210156570;ADN 111;Rieder,Kathleen Callahan;52.17;39.13;8.70;0.00;0.00;93.87;84.35
14922930289319753849;ADN 111;Simon,Rodica Sanda;88.10;11.90;0.00;0.00;0.00;98.69;88.81
4771247317232925799;ADN 111;Floyd,Connie Mack;63.64;31.82;4.55;0.00;0.00;95.55;85.91
10205776648186929761;ADN 111;Joyner,Charles Edward;69.57;28.26;2.17;0.00;0.00;96.43;86.74
5344194975090703066;ADN 111;Cox,Chandra D;46.67;40.00;13.33;0.00;0.00;92.80;83.33
15848293539525205421;ADN 111;Lee,Cayce Ellen;58.06;35.48;6.45;0.00;0.00;94.74;85.16
7854987625340621999;ADN 111;Wan,Jan-Ru;28.00;56.00;16.00;0.00;0.00;90.48;81.20
3023228995834196369;ADN 112;Martin,Beverly Autumn;63.33;33.33;3.33;0.00;0.00;95.63;86.00
4281974591756116116;ADN 112;Berreth,Todd Michael;82.14;14.29;3.57;0.00;0.00;97.68;87.86
4940661454108530972;ADN 112;Marchant Montenegro,Hernan Pedro;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16704294362443510404;ADN 112;Elia-Warnken,Todd James;92.86;7.14;0.00;0.00;0.00;99.21;89.29
11296894624972472754;ADN 112;Bissinger,Michael Robert;73.68;21.05;5.26;0.00;0.00;96.58;86.84
13522806170360415472;ADN 112;Johnson,Justin;95.45;4.55;0.00;0.00;0.00;99.50;89.55
15689434262723537041;ADN 112;Raymond,Dana Gordon;64.71;29.41;4.41;1.47;0.00;95.38;85.74
5281816070745339482;ADN 112;Mouat Croxatto,Cecilia  ;78.26;15.22;4.35;0.00;2.17;96.52;86.74
7815802125915164816;ADN 112;Carter,Gregory Lynn;69.74;25.00;5.26;0.00;0.00;96.14;86.45
4151497827219397179;ADN 112;Duggan,Gabe;28.57;57.14;9.52;4.76;0.00;90.24;80.95
13630816423397239717;ADN 112;LeBlanc,Justin Douglas Edwards;71.43;28.57;0.00;0.00;0.00;96.86;87.14
14384408586789816238;ADN 112;Cox,Chandra D;53.85;23.08;11.54;3.85;7.69;90.69;81.15
16343770339342493865;ADN 200;Allen,Tania Leigh;50.00;42.68;6.10;0.00;1.22;93.52;84.02
9857203608200448845;ADN 202;Johnson,Justin;83.70;14.13;1.09;0.00;1.09;97.77;87.93
11204028895191358548;ADN 202;Cox,Chandra D;73.68;15.79;7.89;2.63;0.00;95.79;86.05
15055999257551995637;ADN 202;Bissinger,Michael Robert;57.14;35.71;7.14;0.00;0.00;94.57;85.00
10084521728132331906;ADN 202;Joyner,Charles Edward;40.00;30.00;25.00;5.00;0.00;89.90;80.50
1338563683449474540;ADN 204;Ham,Derek Allen;82.14;14.29;3.57;0.00;0.00;97.68;87.86
4847552271388498257;ADN 204;Johnson,Justin;80.36;8.93;7.14;0.00;3.57;96.05;86.25
2368672169419506243;ADN 204;Russo,Marc Ernest;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13832189783029836991;ADN 212;Van Gorder,Sally;98.00;2.00;0.00;0.00;0.00;99.78;89.80
7127332262399514131;ADN 212;Joyner,Charles Edward;55.10;42.86;0.00;0.00;2.04;94.45;84.90
4698142839543473126;ADN 219;Berreth,Todd Michael;77.14;22.86;0.00;0.00;0.00;97.49;87.71
2670582283777523490;ADN 219;Fitzgerald,Patrick J;84.17;10.00;3.33;0.00;2.50;97.18;87.33
2056993009118187951;ADN 219;Russo,Marc Ernest;92.31;7.69;0.00;0.00;0.00;99.15;89.23
15552039177041011937;ADN 219;Bissinger,Michael Robert;71.56;19.27;3.67;3.67;1.83;95.22;85.50
16993017787081517805;ADN 219;Robertson,Amanda Kathryn Thayer;58.73;25.40;9.52;0.00;6.35;92.60;83.02
16774051664098929332;ADN 219;Cox,Chandra D;81.25;18.75;0.00;0.00;0.00;97.94;88.13
13580889918822209334;ADN 219;Church,Melissa Anne;47.06;5.88;11.76;5.88;29.41;83.00;73.53
13500801953048322141;ADN 220;Russo,Marc Ernest;86.05;4.65;0.00;0.00;9.30;95.67;85.81
8140237499678378215;ADN 224;Russo,Marc Ernest;85.71;14.29;0.00;0.00;0.00;98.43;88.57
10076219183083188811;ADN 226;Russo,Marc Ernest;84.15;12.20;3.66;0.00;0.00;97.89;88.05
13290986203421361209;ADN 272;Lovell,Precious Denita;24.00;72.00;4.00;0.00;0.00;91.24;82.00
17286470222426600013;ADN 272;Brandeis,Susan D.;79.17;14.58;4.17;0.00;2.08;96.67;86.88
5342554983926431781;ADN 273;Ralston,Victoria Neal;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3181226227626936572;ADN 273;Pell,Samantha;57.14;28.57;14.29;0.00;0.00;93.86;84.29
10883770614609017490;ADN 273;McKenzie,Adrienne Laura;90.24;9.76;0.00;0.00;0.00;98.93;89.02
10032300646532104099;ADN 273;Lovell,Precious Denita;27.27;63.64;9.09;0.00;0.00;91.09;81.82
5373009706166448989;ADN 273;Brandeis,Susan D.;60.00;40.00;0.00;0.00;0.00;95.60;86.00
17139259747178647185;ADN 273;Diuguid,Katherine Ann;50.00;40.48;7.14;2.38;0.00;93.31;83.81
6827006465573631037;ADN 273;Alexander,Nancy Simpkins;94.12;0.00;5.88;0.00;0.00;98.76;88.82
5266266921110630520;ADN 273;Wan,Jan-Ru;66.67;33.33;0.00;0.00;0.00;96.33;86.67
4692472323313151484;ADN 274;Plume,Vita Karina;52.63;36.84;10.53;0.00;0.00;93.74;84.21
15603097162559093253;ADN 275;Diuguid,Katherine Ann;65.52;20.69;6.90;0.00;6.90;93.45;83.79
15845242259379737422;ADN 281;Cox,Chandra D;63.64;23.38;11.69;0.00;1.30;94.44;84.81
17599038145445101635;ADN 281;Carter,Gregory Lynn;78.95;18.42;0.00;1.32;1.32;97.03;87.24
15389305667965136611;ADN 281;Young,Deborah Ann;61.11;25.00;8.33;0.00;5.56;93.22;83.61
7142357585482364773;ADN 281;Daniels,Isabella;85.71;14.29;0.00;0.00;0.00;98.43;88.57
13731469370562107515;ADN 281;Sun,Yingying;47.69;49.23;1.54;0.00;1.54;93.63;84.15
2968433186923316267;ADN 281;Fitzgerald,Patrick J;91.38;6.90;1.72;0.00;0.00;98.88;88.97
16236210217747558052;ADN 281;Raymond,Dana Gordon;52.00;48.00;0.00;0.00;0.00;94.72;85.20
17257639117777460096;ADN 281;Wagner,Anna Florence;85.71;14.29;0.00;0.00;0.00;98.43;88.57
13837562553473549227;ADN 281;Hume,Liz;90.20;5.88;3.92;0.00;0.00;98.53;88.63
