Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17224861609170822701;AEC 203;Tarpy,David R.;33.62;45.03;15.22;4.23;1.90;89.76;80.42
9309158365292026637;AEC 245;McKenney,Erin;77.27;18.18;3.03;1.52;0.00;96.89;87.12
4257830930741808557;AEC 295;Dunn,Rob;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9339482663410502305;AEC 295;McKenney,Erin;65.00;30.00;5.00;0.00;0.00;95.65;86.00
1083654845318231024;AEC 295;Serr,Megan E;90.00;10.00;0.00;0.00;0.00;98.90;89.00
12403823932687812558;AEC 360;Ramirez,Alonso;60.58;28.93;6.69;1.81;1.99;94.04;84.43
14324307595181088912;AEC 360;Cove PhD,Michael Vincent;42.11;35.53;15.13;5.92;1.32;90.54;81.12
1289307688198460129;AEC 360;Haddad,Nicholas M;23.35;43.11;27.54;4.19;1.80;87.44;78.20
4187618079038434555;AEC 380;Aday,David Derek;50.00;36.36;9.09;4.55;0.00;92.68;83.18
13727159637534408664;AEC 384;Ramirez,Alonso;78.57;21.43;0.00;0.00;0.00;97.64;87.86
10788362132645174827;AEC 390;Taylor,Brad;55.00;25.00;0.00;10.00;10.00;90.05;80.50
6762902016634090436;AEC 400;McKenney,Erin;86.32;9.40;2.56;1.71;0.00;97.90;88.03
14604923210921331322;AEC 400;Layman,Craig Anthony;41.75;33.98;15.53;4.85;3.88;89.90;80.49
12436227562961564412;AEC 400;Burford Reiskind,Martha O;56.25;31.25;9.38;3.13;0.00;93.63;84.06
12064387136962358073;AEC 409;Taylor,Brad;50.00;50.00;0.00;0.00;0.00;94.50;85.00
3554342556862612388;AEC 419;Taylor,Brad;78.57;14.29;7.14;0.00;0.00;96.93;87.14
16125544122778032380;AEC 420;Baumann,Jessica Robin;54.55;36.36;7.07;2.02;0.00;93.89;84.34
12365380797322932775;AEC 420;Fischer,Jesse Robert;93.24;5.41;1.35;0.00;0.00;99.12;89.19
7437742360514103490;AEC 420;Van Horn,Scott Lee;23.29;38.36;34.25;4.11;0.00;87.32;78.08
7579623969752719537;AEC 420;Aday,David Derek;15.63;53.13;21.88;9.38;0.00;86.66;77.50
12025209692005198276;AEC 423;Fischer,Jesse Robert;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16913891328046050994;AEC 424;Buckel,Jeffrey A.;33.33;48.48;18.18;0.00;0.00;90.85;81.52
1944892483059417243;AEC 441;Reading,Benjamin J;88.57;11.43;0.00;0.00;0.00;98.74;88.86
13398579522620203939;AEC 441;Salger,Scott;35.00;40.00;10.00;10.00;5.00;88.35;79.00
545884335526084550;AEC 441;Cobb,Charles Sydney;27.59;48.28;20.69;0.00;3.45;88.93;79.66
13930344583463444699;AEC 442;Reading,Benjamin J;64.86;29.73;5.41;0.00;0.00;95.59;85.95
10904777667918261120;AEC 460;McKenney,Erin;85.71;12.24;2.04;0.00;0.00;98.22;88.37
11656526439797089010;AEC 460;Burford Reiskind,Martha O;79.17;14.58;4.17;0.00;2.08;96.67;86.88
16718306125125169331;AEC 493;McKenney,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17478016219173908011;AEC 493;Burford Reiskind,Martha O;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10247811010225932330;AEC 495;Hopkins,Skylar;90.91;9.09;0.00;0.00;0.00;99.00;89.09
12702902379285164962;AEC 495;LePrevost,Catherine;83.33;8.33;4.17;0.00;4.17;96.50;86.67
16098717563433232041;AEC 495;McKenney,Erin;83.33;8.33;0.00;0.00;8.33;95.67;85.83
15826618431632889868;AEC 495;Hightower,Joseph E;72.41;20.69;3.45;0.00;3.45;95.59;85.86
14957920447255627918;AEC 495;Kwak,Tom;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6019764701650255440;AEC 495;Youngsteadt,Elsa;36.36;36.36;0.00;9.09;18.18;85.73;76.36
15693442943435816645;AEC 495;Buckel,Jeffrey A.;36.84;47.37;15.79;0.00;0.00;91.47;82.11
3274353786282380192;AEC 495;Hawn,Christine Ladona;70.00;30.00;0.00;0.00;0.00;96.70;87.00
2685631655465165960;AEC 495;Engman,Augustin Clark;80.00;20.00;0.00;0.00;0.00;97.80;88.00
12372469947956784821;AEC 501;Simons,Theodore R;59.18;26.53;12.24;2.04;0.00;93.88;84.29
12765209832517182664;AEC 502;Taylor,Brad;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16818481091681417774;AEC 502;McKenney,Erin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18019563134798985747;AEC 502;Irwin,Rebecca Elizabeth;93.33;6.67;0.00;0.00;0.00;99.27;89.33
18012572199134717775;AEC 502;Layman,Craig Anthony;93.55;6.45;0.00;0.00;0.00;99.29;89.35
7006564139621361380;AEC 502;Burford Reiskind,Martha O;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1781610194149418978;AEC 503;Irwin,Rebecca Elizabeth;88.24;11.76;0.00;0.00;0.00;98.71;88.82
9830597431393922904;AEC 509;Taylor,Brad;100.00;0.00;0.00;0.00;0.00;100.00;90.00
813237950924200284;AEC 509;Silverman,Jules;16.67;66.67;0.00;0.00;16.67;85.83;76.67
10473845623153659407;AEC 510;Reading,Benjamin J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17695323233254523802;AEC 515;Reading,Benjamin J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1026663058850122206;AEC 519;Taylor,Brad;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6415141699767753509;AEC 550;Burford Reiskind,Martha O;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18429447912677085274;AEC 570;Youngsteadt,Elsa;91.18;8.82;0.00;0.00;0.00;99.03;89.12
3988457315400328310;AEC 586;Daniels III,Harry V;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9985550058770790268;AEC 592;Hostetter,Nathan James;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7665495354555831938;AEC 592;Collazo,Jaime A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18356264436058733767;AEC 592;McKenney,Erin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
993184395134705049;AEC 592;Hightower,Joseph E;85.19;11.11;3.70;0.00;0.00;98.00;88.15
9072997623566178017;AEC 592;Taylor,Brad;88.24;11.76;0.00;0.00;0.00;98.71;88.82
13350009738024593505;AEC 592;Youngsteadt,Elsa;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12265536765840436705;AEC 592;Cope,William Gregory;83.33;16.67;0.00;0.00;0.00;98.17;88.33
2401379161783352512;AEC 592;Cao,Jie;83.33;16.67;0.00;0.00;0.00;98.17;88.33
14625225798548772426;AEC 592;Dunn,Rob;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10722609735722567703;AEC 592;Reading,Benjamin J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11499904974603498977;AEC 592;Burford Reiskind,Martha O;95.83;4.17;0.00;0.00;0.00;99.54;89.58
