Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7831237811601147470;AEE 101;Lanier,Mary Kate;78.05;17.07;2.44;0.00;2.44;96.61;86.83
12734920907182239523;AEE 101;Morgan,Joy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6644062046029493568;AEE 101;Bullock,Jason;61.67;30.00;3.33;1.67;3.33;94.12;84.50
13800791361419213932;AEE 101;Flowers,Jim;50.00;34.69;13.27;1.02;1.02;92.66;83.16
14009016016891724816;AEE 103;Lanier,Mary Kate;87.88;6.06;4.55;0.00;1.52;97.76;87.88
12649983217172682287;AEE 103;Park PhD,Travis Dale;64.10;25.64;2.56;0.00;7.69;93.49;83.85
14150560619936786778;AEE 103;Morgan,Joy;80.82;10.96;6.85;0.00;1.37;96.79;86.99
10743231869175861282;AEE 103;Wilson,Elizabeth B;82.98;12.77;2.13;2.13;0.00;97.49;87.66
4695147212677099533;AEE 141;Moore,Gary E.;4.55;27.27;22.73;36.36;9.09;77.23;68.18
9015164771507770443;AEE 206;Warner,Wendy J;66.67;23.81;7.94;1.59;0.00;95.22;85.56
15610148965137204818;AEE 206;Stair,Kristin Shawn;76.32;13.16;0.00;2.63;7.89;94.50;84.74
10071415533276203857;AEE 208;Wilson,Elizabeth B;32.00;44.00;16.00;0.00;8.00;88.52;79.20
6437408573295793842;AEE 208;Farin,Charlotte E;44.44;33.33;0.00;0.00;22.22;87.22;77.78
7361393073759784861;AEE 226;Anderson,Karly McKenna;72.00;16.00;12.00;0.00;0.00;95.72;86.00
13619080857623342165;AEE 226;Sanders,Katie;56.67;33.33;6.67;3.33;0.00;93.90;84.33
8585899259002342818;AEE 226;Warner,Wendy J;56.94;29.17;9.72;4.17;0.00;93.46;83.89
3315492930689103712;AEE 226;Kirby,Barbara Malpiedi;56.79;24.69;14.81;2.47;1.23;92.90;83.33
534018267811200747;AEE 226;Moore,Gary E.;33.78;58.11;5.41;0.00;2.70;91.36;82.03
12958178347440055709;AEE 226;Stair,Kristin Shawn;64.29;22.86;7.14;2.86;2.86;93.93;84.29
2726132222869716229;AEE 230;Donaldson,Joseph L.;89.47;9.65;0.88;0.00;0.00;98.75;88.86
4867643061087179501;AEE 230;Kistler,Mark J.;40.74;38.89;14.81;1.85;3.70;90.52;81.11
14247556923141238543;AEE 291;Culley,Adam L;98.67;1.33;0.00;0.00;0.00;99.85;89.87
8784177671021787205;AEE 292;Culley,Adam L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2424673797613776770;AEE 303;Warner,Wendy J;67.50;15.00;7.50;0.00;10.00;92.68;83.00
12134242912269744027;AEE 303;Rayfield,John S.;28.57;61.90;4.76;0.00;4.76;90.24;80.95
14268201996000584405;AEE 311;Anderson,Karly McKenna;66.00;18.00;8.00;4.00;4.00;93.46;83.80
16894352023613015271;AEE 311;Sanders,Katie;52.27;29.55;7.95;3.41;6.82;91.23;81.70
16363139923585968060;AEE 311;McKee,Katherine Elizabeth;66.67;18.67;6.67;4.00;4.00;93.67;84.00
2243122467282341255;AEE 311;Bruce,Jackie;43.94;22.73;16.67;12.12;4.55;88.38;78.94
17983425822205400489;AEE 311;Croom,Barry;73.08;15.38;7.69;3.85;0.00;95.50;85.77
