Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
147027398069727390;AEHS 500;Park PhD,Travis Dale;81.82;18.18;0.00;0.00;0.00;98.00;88.18
16498501739721540684;AEHS 500;Hardison-Moody,Annie Margaret;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2407006062012555741;AEHS 501;McKee,Katherine Elizabeth;66.67;11.11;14.81;7.41;0.00;93.37;83.70
14076801967018688316;AEHS 502;Hardison-Moody,Annie Margaret;80.00;0.00;0.00;0.00;20.00;91.80;82.00
11767540920861187334;AEHS 502;Alexander,Jamie;50.00;33.33;5.56;5.56;5.56;91.17;81.67
6806707139787665095;AEHS 510;Williams,Jessica M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16466167920313177027;AEHS 510;Hardison-Moody,Annie Margaret;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17838178524118309616;AEHS 521;Jayaratne,Koralalage Sunil Upali;86.36;13.64;0.00;0.00;0.00;98.50;88.64
1783336257140164589;AEHS 522;Lambert,Misty;81.58;10.53;5.26;0.00;2.63;96.66;86.84
5956839019465947367;AEHS 525;Sankar,Sudha;66.67;33.33;0.00;0.00;0.00;96.33;86.67
4149962298898610645;AEHS 525;Hardison-Moody,Annie Margaret;60.00;20.00;20.00;0.00;0.00;93.60;84.00
2559037057777855984;AEHS 529;Park PhD,Travis Dale;78.95;15.79;5.26;0.00;0.00;97.16;87.37
13493966923878218154;AEHS 531;Bird,Carolyn L.;95.45;4.55;0.00;0.00;0.00;99.50;89.55
13055149770732675210;AEHS 533;Gonzalez,Maru;82.35;5.88;11.76;0.00;0.00;96.88;87.06
4362101870669523359;AEHS 533;Hardison-Moody,Annie Margaret;92.31;7.69;0.00;0.00;0.00;99.15;89.23
720167726323632445;AEHS 535;Warner,Wendy J;86.67;6.67;0.00;0.00;6.67;96.53;86.67
4515324270883450501;AEHS 537;Hardison-Moody,Annie Margaret;90.91;4.55;0.00;0.00;4.55;97.64;87.73
10461073983976535355;AEHS 538;Gonzalez,Maru;87.50;12.50;0.00;0.00;0.00;98.63;88.75
6655825758616148541;AEHS 540;Kirby,Sarah D;33.33;16.67;33.33;0.00;16.67;84.33;75.00
826870574264579958;AEHS 543;Alexander,Jamie;72.73;9.09;9.09;4.55;4.55;93.82;84.09
5476455168320002409;AEHS 545;Cano-Guin PhD,Autumn Hope;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18292369638631045037;AEHS 547;Cano-Guin PhD,Autumn Hope;94.12;5.88;0.00;0.00;0.00;99.35;89.41
5160747284306438925;AEHS 550;Bruce,Jackie;46.15;15.38;15.38;15.38;7.69;87.15;77.69
6450480673551864238;AEHS 551;Downing,Mitzi Stumpf;77.42;19.35;0.00;3.23;0.00;96.87;87.10
6324974105509687569;AEHS 552;Gonzalez,Maru;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11368932192787508470;AEHS 553;Gonzalez,Maru;86.67;13.33;0.00;0.00;0.00;98.53;88.67
9658118070677048795;AEHS 553;Kokozos,Michael;75.00;25.00;0.00;0.00;0.00;97.25;87.50
5412322556459168303;AEHS 554;Bloom,Dara;91.67;8.33;0.00;0.00;0.00;99.08;89.17
2639724414443579351;AEHS 557;Edwards,Harriett C;97.14;2.86;0.00;0.00;0.00;99.69;89.71
7927292689390550000;AEHS 558;Edwards,Harriett C;87.50;12.50;0.00;0.00;0.00;98.63;88.75
4971377759695074598;AEHS 565;McKee,Katherine Elizabeth;75.00;25.00;0.00;0.00;0.00;97.25;87.50
17261827857324817320;AEHS 570;Donaldson,Joseph L.;92.45;3.77;3.77;0.00;0.00;98.79;88.87
8671886076624015226;AEHS 578;Sankar,Sudha;52.63;42.11;0.00;0.00;5.26;93.21;83.68
15881865930157828749;AEHS 578;Jayaratne,Koralalage Sunil Upali;69.77;27.91;2.33;0.00;0.00;96.44;86.74
7290877024223427450;AEHS 578;Stage,Virginia Carraway;95.83;4.17;0.00;0.00;0.00;99.54;89.58
3681630273079172349;AEHS 578;Lambert,Misty;85.71;9.52;0.00;0.00;4.76;97.00;87.14
3858403882931915736;AEHS 579;Donaldson,Joseph L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3982558090558965416;AEHS 585;Sankar,Sudha;78.95;15.79;5.26;0.00;0.00;97.16;87.37
7315408562134638448;AEHS 585;Haynes-Maslow,Lindsey Haynes;46.15;38.46;7.69;0.00;7.69;91.00;81.54
16767963294546269204;AEHS 590;Gonzalez,Maru;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7397247569975745838;AEHS 595;McKee,Katherine Elizabeth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6765118168883162915;AEHS 595;Donaldson,Joseph L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3139239563774981577;AEHS 595;Park PhD,Travis Dale;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18146665461555962085;AEHS 620;Warner,Wendy J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
