Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11568949168880258475;AES 135;Roberson,Gary T;0.00;73.33;20.00;0.00;6.67;85.00;76.00
2070385693778148328;AES 201;Stephenson,Tommy;40.91;50.00;4.55;4.55;0.00;92.14;82.73
10208076446845968851;AES 201;Hale,Andy;17.65;47.06;29.41;5.88;0.00;86.82;77.65
1394419921531888238;AES 201;Seaboch,Tim;41.89;43.24;14.86;0.00;0.00;92.12;82.70
6216989936736473120;AES 250;Yuan,Wenqiao;29.31;46.55;13.79;10.34;0.00;88.78;79.48
14864158532804612310;AES 323;Guertault,Lucie;33.33;28.57;28.57;4.76;4.76;87.43;78.10
10978298163373138665;AES 323;Merriman,Laura S;22.22;38.89;13.89;13.89;11.11;83.94;74.72
14591072856915668193;AES 323;Huffman,Rodney L.;18.18;27.27;23.64;13.64;17.27;80.73;71.55
16787350241209230503;AES 332;Li,Lingjuan Wang;35.00;50.00;13.33;0.00;1.67;91.02;81.67
2831686313947198249;AES 343;Stephenson,Tommy;30.00;30.00;25.00;10.00;5.00;86.30;77.00
10238731974631499452;AES 343;Seaboch,Tim;27.54;49.28;17.39;2.90;2.90;88.84;79.57
8486016390516341794;AES 411;Ellington,Grant;47.06;25.49;17.65;5.88;3.92;90.06;80.59
1508308547271001161;AES 432;Roberson,Gary T;31.82;37.88;18.18;6.06;6.06;87.65;78.33
10767764408676019667;AES 443;Doll,Barbara A;38.46;48.72;10.26;0.00;2.56;91.44;82.05
4376804238850071111;AES 443;Jennings,Greg;64.71;29.41;5.88;0.00;0.00;95.53;85.88
