Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
117574914820088459;AFS 240;Njie,Haddy M;65.22;26.09;8.70;0.00;0.00;95.30;85.65
8704468882239773555;AFS 240;Matthews,Alecia;61.86;19.59;13.40;1.03;4.12;93.02;83.40
2251642062137847145;AFS 240;Brookins,Craig C;66.67;20.63;3.17;7.94;1.59;93.95;84.29
4931876957579725040;AFS 240;Carter,Youssef;91.89;5.41;2.70;0.00;0.00;98.84;88.92
7824676315153817125;AFS 240;Muhammad,Kareem R;48.39;27.42;12.90;6.45;4.84;90.29;80.81
5858240921660387571;AFS 240;Crumbley,Deidre H;67.69;29.23;0.00;1.54;1.54;95.68;86.00
6382265316986841813;AFS 241;Gaiters,Seth Emmanuel;74.19;16.13;6.45;3.23;0.00;95.87;86.13
5647130480992923481;AFS 241;Graham,Frances D;88.67;10.00;0.67;0.00;0.67;98.49;88.60
6464577913425455614;AFS 241;Ferguson II,Stephen Clifford;58.16;29.59;10.20;1.02;1.02;93.87;84.29
8955370292543691843;AFS 241;Pickett,Xavier;62.50;33.33;2.08;2.08;0.00;95.25;85.63
4405142118675214556;AFS 241;Stover,Darrell Darius;51.92;28.85;13.46;1.92;3.85;91.83;82.31
643471918451717140;AFS 241;Bullock Brown,Natalie;90.91;9.09;0.00;0.00;0.00;99.00;89.09
16535289150936899290;AFS 241;Greene II,Moses Thomas-Alexander;81.82;9.09;3.03;0.00;6.06;95.88;86.06
7511857951340158112;AFS 241;Brown-Vincent,Layla D;83.33;10.61;4.55;0.00;1.52;97.26;87.42
13933167983183149950;AFS 241;Brookins,Craig C;89.74;10.26;0.00;0.00;0.00;98.87;88.97
15031883193115242533;AFS 241;Frazier,Nishani Mkwanda;30.00;46.67;16.67;3.33;3.33;88.97;79.67
5020234387194026964;AFS 241;Jean-Louis,Felix;41.94;51.61;6.45;0.00;0.00;92.97;83.55
16371276255077820212;AFS 241;Muhammad,Kareem R;46.43;32.14;21.43;0.00;0.00;91.96;82.50
16573934815844996289;AFS 241;Jenkins,Felysha L;37.10;37.10;22.58;3.23;0.00;90.18;80.81
17611460577477337607;AFS 241;Williamson,John Christopher Charles;31.17;35.06;12.99;14.29;6.49;86.32;77.01
13108514721177819439;AFS 241;McCarthy,Lloyd Delroy;92.65;4.41;2.94;0.00;0.00;98.90;88.97
