Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5313198838256937982;AGI 10;Kirby,Barbara Malpiedi;50.82;22.13;13.11;2.46;11.48;89.34;79.84
13322956741295425537;AGI 10;Campbell,Ronald K;60.66;32.79;3.28;0.00;3.28;94.36;84.75
18065228815765026093;AGI 10;Kraus,Helen Tyler;50.00;8.33;0.00;25.00;16.67;84.50;75.00
13364883026691114113;AGI 100;Degreenia PhD,Alyssa Rose;55.88;29.41;2.94;5.88;5.88;91.91;82.35
7091239738617229016;AGI 100;Jicha,Karl Armstrong;53.13;15.63;21.88;0.00;9.38;89.84;80.31
18382253144619504354;AGI 101;Ivy III,Lee;31.16;23.91;12.32;7.97;24.64;82.21;72.90
16027485749022289531;AGI 101;Geidel,Savannah Rain;46.15;23.08;7.69;0.00;23.08;86.38;76.92
15733834443143493898;AGI 101;Worley-Davis,Lynn;76.47;23.53;0.00;0.00;0.00;97.41;87.65
16340491784448902461;AGI 101;Russ,John S;47.69;23.08;16.92;4.62;7.69;89.32;79.85
3904330379024737034;AGI 101;Jicha,Karl Armstrong;29.03;45.16;16.13;0.00;9.68;87.68;78.39
12864992873084399642;AGI 101;Lewis,Erin Meachum;37.84;18.92;18.92;8.11;16.22;84.78;75.41
11782315827554569923;AGI 101;Erickson,Emily Joan;16.67;22.22;27.78;16.67;16.67;79.72;70.56
8834574276373051439;AGI 101;Hendrickson,Melissa L;34.26;25.00;13.89;12.96;13.89;84.62;75.28
2164366530207861252;AGI 101;Degreenia PhD,Alyssa Rose;50.00;0.00;25.00;12.50;12.50;85.75;76.25
15572930594374947619;AGI 101;Gregory,Gary Marvin;39.29;20.24;13.10;11.90;15.48;84.99;75.60
18186835731017698703;AGI 101;Wilson,Elizabeth B;50.00;17.31;7.69;11.54;13.46;87.38;77.88
326220725478449385;AGI 101;Sampson III,Herman A.;41.67;20.83;12.50;14.58;10.42;86.29;76.88
11568903691895431092;AGI 101;Campbell,Ronald K;66.67;21.09;9.52;0.68;2.04;94.63;84.97
10666916146571200639;AGI 101;Cornwell,John Calhoun;42.31;24.36;8.97;14.10;10.26;86.86;77.44
13151219581673529800;AGI 101;Kirby,Barbara Malpiedi;42.50;20.00;15.00;8.75;13.75;86.30;76.88
18262926664130579093;AGI 11;Jennette,Martha N.;6.67;35.56;40.00;4.44;13.33;80.84;71.78
16787902203176029386;AGI 11;Gillen,Shana R;11.76;38.24;29.41;8.82;11.76;82.06;72.94
11293958022174492505;AGI 111;Jennette,Martha N.;11.11;16.67;38.89;5.56;27.78;76.89;67.78
7878468663781740831;AGI 112;Gillen,Shana R;10.53;36.84;24.56;14.04;14.04;80.68;71.58
5767585166461304529;AGI 12;Gillen,Shana R;36.96;32.61;8.70;10.87;10.87;86.76;77.39
6952104198314939359;AGI 12;Jennette,Martha N.;15.22;21.74;26.09;10.87;26.09;78.07;68.91
5802246564420631783;AGI 134;Ivy III,Lee;25.00;28.13;25.00;15.63;6.25;84.25;75.00
13038923030232435328;AGI 134;Degreenia PhD,Alyssa Rose;26.47;11.76;26.47;5.88;29.41;79.26;70.00
8829713113569266943;AGI 14;Stroup,Frances P;49.06;22.64;16.98;3.77;7.55;89.68;80.19
16189088082787761256;AGI 14;Schneider,William Tuckett;44.44;14.81;14.81;7.41;18.52;85.37;75.93
6999228261726077188;AGI 15;Schneider,William Tuckett;29.55;36.36;9.09;4.55;20.45;84.30;75.00
13551627888506872486;AGI 15;Stroup,Frances P;44.05;35.71;13.10;2.38;4.76;90.63;81.19
17711882845303595158;AGI 151;Dubose-Blum,Dottie Dillard;27.66;34.04;21.28;8.51;8.51;85.66;76.38
14002203767980258134;AGI 160;Hendrickson,Melissa L;40.91;25.00;13.64;11.36;9.09;87.14;77.73
1013566889779410246;AGI 161;Degreenia PhD,Alyssa Rose;55.81;20.93;13.95;4.65;4.65;91.42;81.86
1353963013620393705;AGI 191;Degreenia PhD,Alyssa Rose;57.83;39.76;0.00;0.00;2.41;94.64;85.06
480135610288870910;AGI 191;Lewis,Erin Meachum;46.15;7.69;0.00;7.69;38.46;81.00;71.54
6273016279589846805;AGI 192;Degreenia PhD,Alyssa Rose;83.13;10.63;2.50;2.50;1.25;97.02;87.19
17982017189074341766;AGI 192;Wilson,Elizabeth B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7644256208794681457;AGI 192;Cornwell,John Calhoun;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8638149034161796214;AGI 192;Kirby,Barbara Malpiedi;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11760525045353752113;AGI 195;Johnson,Amy M;35.14;45.95;10.81;5.41;2.70;89.89;80.54
11548845959195465154;AGI 195;Williams,Zach;75.00;16.67;0.00;0.00;8.33;94.75;85.00
8195384005684601806;AGI 195;Weaver,Andrew;38.46;38.46;15.38;7.69;0.00;90.15;80.77
7638826840331429368;AGI 195;Coit,Marne;32.35;23.53;17.65;8.82;17.65;83.74;74.41
11398011399862695923;AGI 195;Degreenia PhD,Alyssa Rose;52.94;35.29;0.00;5.88;5.88;91.88;82.35
9628726900975567767;AGI 195;Hendrickson,Melissa L;19.44;30.56;25.00;8.33;16.67;81.97;72.78
6431967277636712638;AGI 195;Phillips,Jonathan Lee;18.28;34.41;33.33;9.68;4.30;84.45;75.27
9542818621007378155;AGI 195;Post,Angela Rose;10.37;32.59;21.48;20.74;14.81;79.40;70.30
6122287774195523218;AGI 195;Yelverton,Fred H;60.00;10.00;30.00;0.00;0.00;92.60;83.00
5667510245285241506;AGI 195;Vann,Matthew Christopher;8.57;38.57;41.43;5.71;5.71;82.94;73.86
18410577134160044863;AGI 195;Roberson,Gary T;11.11;48.15;37.04;3.70;0.00;85.78;76.67
944845421607045067;AGI 195;Beseli,Amber Lynn;63.64;27.27;0.00;0.00;9.09;93.27;83.64
9255255839498385315;AGI 195;Wilson,Elizabeth B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4264543905574251434;AGI 195;Zering,Kelly D.;70.00;30.00;0.00;0.00;0.00;96.70;87.00
11507491576124736682;AGI 195;Weems Jr,Wallace Edward;19.35;77.42;3.23;0.00;0.00;90.81;81.61
2530856070275066700;AGI 195;Stroup,Frances P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13676960434959744087;AGI 195;Gregory,Gary Marvin;84.62;7.69;0.00;0.00;7.69;96.00;86.15
12779108013760996595;AGI 195;Ivy III,Lee;8.33;16.67;45.83;12.50;16.67;77.83;68.75
9267494618594426144;AGI 195;Fonteno III,William Carl;23.33;16.67;43.33;10.00;6.67;83.23;74.00
5433962179428771970;AGI 51;Dubose-Blum,Dottie Dillard;8.47;49.15;35.59;5.08;1.69;84.85;75.76
8131230721028950120;AGI 92;Kirby,Barbara Malpiedi;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2277503482549864433;AGI 95;Campbell,Ronald K;38.10;23.81;33.33;4.76;0.00;88.90;79.52
3203851121583401789;AGI 95;Kirby,Barbara Malpiedi;66.67;13.33;13.33;0.00;6.67;93.00;83.33
12441243417529586230;AGI 95;Dubose-Blum,Dottie Dillard;16.67;35.19;25.93;5.56;16.67;82.13;72.96
6010268925800271002;AGI 95D;Dubose-Blum,Dottie Dillard;15.52;44.83;25.86;8.62;5.17;84.84;75.69
9565961987518748357;AGI 95V;Campbell,Ronald K;71.43;28.57;0.00;0.00;0.00;96.86;87.14
