Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10776570951167720481;ALS 103;Buddin,Tricia;97.11;2.53;0.00;0.00;0.36;99.57;89.60
14131650748189783098;ALS 103;Nevarez,Savannah Jane;88.10;9.52;2.38;0.00;0.00;98.45;88.57
16538065949062659754;ALS 103;Hubbard,Anne;85.63;8.13;3.75;1.25;1.25;97.42;87.56
6538528587648504141;ALS 103;Glaze,Bianca;97.71;2.29;0.00;0.00;0.00;99.75;89.77
13232094847007758116;ALS 103;Eglinton,Joanna Bell;84.25;11.64;2.74;0.68;0.68;97.65;87.81
18295575159853409954;ALS 103;Lunsford,Kimber;85.35;6.37;3.82;1.27;3.18;96.80;86.94
13807052279706103258;ALS 103;Wilson,Elizabeth B;86.76;10.29;1.47;0.00;1.47;97.96;88.09
11531355862878182939;ALS 103;Guion Jones,Lisa A;78.57;18.57;1.43;1.43;0.00;97.21;87.43
10410562597829486324;ALS 103;Martin PhD,Vicki Joan;95.24;4.76;0.00;0.00;0.00;99.48;89.52
4942394265757643508;ALS 103;Kirby,Barbara Malpiedi;71.94;17.61;6.27;2.39;1.79;95.27;85.55
18030498691717276530;ALS 103;Ashwell,Chris;89.01;9.89;1.10;0.00;0.00;98.68;88.79
5302868501400220219;ALS 103;Luginbuhl,Geraldine;83.43;10.57;2.29;2.00;1.71;97.03;87.20
15713384732519468481;ALS 110;Edwards,Channing;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14660220507137373769;ALS 110;Nevarez,Savannah Jane;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16981448898262055920;ALS 110;Coakley,Maeve Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17606852210019382278;ALS 110;Hubbard,Anne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17013197072854604957;ALS 110;Bullock,Marcy Lee;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10704143465145095219;ALS 303;Nevarez,Savannah Jane;96.67;3.33;0.00;0.00;0.00;99.63;89.67
16097781798745050166;ALS 303;Edwards,Channing;88.11;5.59;3.50;2.80;0.00;97.78;87.90
5905189143336597426;ALS 303;Buddin,Tricia;81.25;12.50;2.88;2.40;0.96;96.88;87.07
3263111794206699479;ALS 303;Hubbard,Anne;81.75;9.52;3.97;2.38;2.38;96.40;86.59
11211213612977407222;ALS 303;Glaze,Bianca;99.39;0.00;0.00;0.00;0.61;99.75;89.76
8767073815919234379;ALS 303;Eglinton,Joanna Bell;89.62;6.01;1.64;1.64;1.09;98.04;88.14
11438230244040740563;ALS 303;Lunsford,Kimber;83.21;12.98;1.53;1.53;0.76;97.47;87.63
6306307365381586129;ALS 303;Kahn,Melissa;76.22;12.20;6.10;1.22;4.27;95.25;85.49
991369130997366877;ALS 303;Bullock,Marcy Lee;79.44;11.21;3.74;1.40;4.21;95.82;86.03
4643424974664795484;ALS 398;Santos,Fernanda;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16725143416710953277;ALS 398;Goshe,Michael B.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
818099507621529572;ALS 398;Allen,Kimberly;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16500465622951153251;ALS 398;Martin PhD,Vicki Joan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14104119832379900126;ALS 398;Aday,David Derek;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16060538006753850512;ALS 398;Havlin,John L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6732001047125286880;ALS 398;Luginbuhl,Geraldine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15174526676915133036;ALS 398H;Luginbuhl,Geraldine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14170401835966114716;ALS 494;Worley-Davis,Lynn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16031927007091054773;ALS 494;Mozdziak,Paul Edward;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2345979907564629054;ALS 494;Lane,Sara J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9320556053740704040;ALS 494;Jicha,Karl Armstrong;96.77;3.23;0.00;0.00;0.00;99.65;89.68
3148144523739371612;ALS 494;Threadgill,Deborah S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13149281278056487615;ALS 494;Morrow,William M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9018936214239272164;ALS 494;Campbell,Ronald K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17423234141299895858;ALS 494;Luginbuhl,Geraldine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15503220688534995244;ALS 495;Kimler,William C.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17972429182517870778;ALS 495;Graves,Alexandria K;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12977848006825989284;ALS 495;Wilson,Elizabeth B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13301773773273315197;ALS 495;Gracz,Hanna;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11144466849959594037;ALS 495;Kirby,Barbara Malpiedi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5616260486133530139;ALS 495;Moses,Myra;97.62;2.38;0.00;0.00;0.00;99.74;89.76
1018701745335038775;ALS 495A;Culley,Adam L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3487845786692308781;ALS 498;Sutton,Rhonda S. Craver;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5846965365368464578;ALS 498;Allen,Kimberly;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14643122502225262577;ALS 498;Martin PhD,Vicki Joan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12496183475780011398;ALS 498;Aday,David Derek;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8889429677179970208;ALS 498;Havlin,John L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10478013395909181171;ALS 498;Luginbuhl,Geraldine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
