Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10690112176636457758;ANS 101;Pickworth,Carrie Lynn;33.33;44.44;9.72;6.94;5.56;88.64;79.31
44648719014232222;ANS 101;Moore,Jeannette A;20.13;26.42;30.19;13.21;10.06;82.53;73.33
10327988375972214709;ANS 101;Esbenshade,Kenneth L.;6.75;30.56;34.92;21.43;6.35;80.06;70.99
15965711307572563;ANS 102;Pickworth,Carrie Lynn;16.33;51.02;22.45;6.12;4.08;86.10;76.94
5278198451414636477;ANS 103;Rogers,Johnny Ray;38.46;38.46;19.23;1.28;2.56;90.28;80.90
3688432991303464461;ANS 103;Gregory,Gary Marvin;31.25;51.56;10.94;3.91;2.34;89.86;80.55
14950814768831571906;ANS 103;Miller,Dale C.;13.43;28.36;26.87;17.91;13.43;80.18;71.04
2279243428102489843;ANS 104;Flowers,William;20.59;60.29;17.65;0.00;1.47;89.06;79.85
8955591281902732587;ANS 105;Ange-Van Heugten,Kimberly Dawn;45.73;31.30;16.46;4.27;2.24;90.86;81.40
8282754137454492696;ANS 105;Rossoni Serao PhD,Mariana;72.99;18.98;5.11;2.19;0.73;95.86;86.13
14624753664029787736;ANS 110;Gluck,Cassandra Roxanne;35.16;25.27;27.47;7.69;4.40;87.26;77.91
6958181216385083990;ANS 110;Phillips,Shannon Elizabeth;44.37;27.46;11.27;9.15;7.75;88.60;79.15
2189445577821541825;ANS 110;Siciliano,Paul David;39.51;45.99;10.49;1.23;2.78;91.22;81.82
4592487061468160944;ANS 12;Fellner,Vivek;16.22;27.03;32.43;8.11;16.22;81.05;71.89
15175671874796713782;ANS 12;Moore,Jeannette A;34.88;30.23;11.63;11.63;11.63;85.86;76.51
12514803179007538027;ANS 150;Flowers,William;11.97;48.43;35.33;2.56;1.71;85.76;76.64
10914532629570013971;ANS 150;Moore,Jeannette A;39.70;39.09;15.15;3.33;2.73;90.37;80.97
12940377632124940807;ANS 151;Flowers,William;68.00;19.20;8.80;1.60;2.40;94.56;84.88
