Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18253111945264002851;ANT 251;Dew,Emily Keegan;73.62;20.85;2.98;0.85;1.70;96.12;86.38
4178349369855128791;ANT 251;Clarke,Tara Anne;91.53;5.65;1.69;1.13;0.00;98.67;88.76
10875669399219561568;ANT 251;Helms,Karey;94.23;3.85;0.00;0.00;1.92;98.79;88.85
6332617317361313873;ANT 251;Parrish,Wesley Gray;87.27;10.91;1.82;0.00;0.00;98.42;88.55
15858154873889085210;ANT 251;McDowell,Emily B;55.13;36.54;3.85;0.64;3.85;93.40;83.85
7204670857102174037;ANT 251;Wesp,Julie K;78.04;17.29;1.87;0.47;2.34;96.60;86.82
13660359124259531425;ANT 251;Walker,Kara;32.28;30.38;19.62;11.39;6.33;86.41;77.09
12637229939376493251;ANT 251;Grossman,Kathryn Mary;36.49;40.54;16.67;1.80;4.50;89.64;80.27
15346115029312814258;ANT 251;McGill,Dru Evan;61.42;30.71;5.51;1.57;0.79;94.65;85.04
4865221693444350978;ANT 251;Juarez,Chelsey Ann;40.12;30.81;18.60;6.40;4.07;89.05;79.65
4428108924116154835;ANT 251;Mullin,Mary Hale;14.29;43.57;24.29;12.86;5.00;84.07;74.93
14460419660229408446;ANT 251;Case,D. Troy;20.48;34.29;30.95;8.10;6.19;84.68;75.48
16104887544111110615;ANT 251;Chambers,Candice;32.67;44.55;14.85;1.98;5.94;88.93;79.60
2846750525437876238;ANT 251;Fournier,Nichole Allyse;35.90;58.97;2.56;0.00;2.56;91.92;82.56
16594201340601648563;ANT 251;Offenbecker PhD,Adrianne M.;30.30;45.45;9.09;6.06;9.09;87.48;78.18
1870307221045853603;ANT 251;Alterman,Lon;26.67;47.18;18.97;2.56;4.62;88.14;78.87
5203656309489419823;ANT 251;Paciulli,Lisa M;19.05;36.73;31.29;9.52;3.40;85.04;75.85
10475271560598547096;ANT 251;Johannesson,Erik G.;34.29;32.86;21.43;7.14;4.29;87.91;78.57
8145656774828332856;ANT 252;Greene,Alison Campbell;42.08;43.17;13.11;1.64;0.00;91.99;82.57
14835333758966406832;ANT 252;Dyer,Chelsey;82.20;13.14;1.27;1.69;1.69;97.07;87.25
2493012288603483386;ANT 252;Gastrow,Claudia;77.22;18.33;2.22;1.11;1.11;96.72;86.94
7567975685820523089;ANT 252;Doll,Christian Joseph;57.42;31.58;5.74;1.91;3.35;93.35;83.78
9684045502102447705;ANT 252;Friedman,Joshua B;52.36;33.05;8.15;3.00;3.43;92.31;82.79
4100415244630035157;ANT 252;Carroll,Jennifer J.;68.09;27.66;3.19;0.00;1.06;95.85;86.17
10066140557122811489;ANT 252;Dew,Emily Keegan;60.00;30.91;6.36;0.91;1.82;94.24;84.64
11879840685324423841;ANT 252;Jackson,Stevan Reagan;49.02;41.18;6.86;1.96;0.98;93.02;83.53
9530178441857945796;ANT 252;Haenn,Nora M;47.73;39.39;9.09;1.52;2.27;92.36;82.88
971717606688940691;ANT 252;Mullin,Mary Hale;24.07;49.38;22.22;3.09;1.23;88.44;79.20
6672074025289972737;ANT 252;Workman,Cassandra L.;26.57;41.55;19.32;7.73;4.83;87.00;77.73
4208281976234802124;ANT 252;Abillama,Raja;36.48;45.91;10.69;4.40;2.52;90.31;80.94
307228714115957872;ANT 252;Stawkowski,Magdalena Edyta;19.64;46.43;25.00;5.36;3.57;86.52;77.32
9648973676352857648;ANT 252;McManus,Shea Connolly;70.13;24.68;3.90;0.00;1.30;95.94;86.23
12679393505247982903;ANT 252;McGill,Dru Evan;53.04;38.26;4.35;0.87;3.48;93.18;83.65
339822986387757661;ANT 252;Thorn,Mary Katherine;66.67;21.16;6.35;1.59;4.23;94.11;84.44
14590069859379656839;ANT 252;Newell,Alexander Findly;33.13;47.85;12.27;3.68;3.07;89.76;80.43
11332118457075978193;ANT 252;Wormsley,William E;14.56;38.35;41.75;2.43;2.91;85.07;75.92
5147083688151381456;ANT 252;Wallace,Tim;19.35;38.71;30.65;6.45;4.84;85.32;76.13
16970590824142040660;ANT 252;Watson,Matthew Clay;57.83;32.61;7.39;0.87;1.30;94.06;84.48
4161798653076277537;ANT 252;Alterman,Lon;12.64;57.47;19.54;6.90;3.45;86.02;76.90
17499767285223773352;ANT 252;Reavely,Erik P;21.53;38.19;22.22;12.50;5.56;84.98;75.76
13503872643032138275;ANT 252;Johannesson,Erik G.;25.53;27.66;19.15;11.70;15.96;82.77;73.51
12542549913789644527;ANT 252;Ellovich,Risa S.;13.83;36.17;37.23;7.45;5.32;83.71;74.57
16299878173415099223;ANT 252;Donald,Roderick Kevin;16.67;33.33;21.43;7.14;21.43;80.83;71.67
3790393151320556771;ANT 252;Bhattarai,Harihar P;37.87;45.56;12.43;1.18;2.96;90.80;81.42
12534691269693630103;ANT 252;Paciulli,Lisa M;26.76;36.62;26.76;7.04;2.82;87.01;77.75
2619936729530473391;ANT 252;Solimeo,Samantha L;61.64;28.31;5.48;1.37;3.20;94.00;84.38
2979536242711537732;ANT 252;Murray,Seth;31.36;44.92;16.10;3.39;4.24;88.89;79.58
17177972744144983399;ANT 253;Grossman,Kathryn Mary;50.68;34.25;8.22;4.11;2.74;92.11;82.60
5507049335003957402;ANT 253;Millhauser,John;68.20;18.43;8.76;1.84;2.76;94.43;84.75
5463460005695235871;ANT 253;McGill,Dru Evan;63.03;23.53;5.88;0.00;7.56;93.08;83.45
8974493296212705391;ANT 253;Gingerich,Jospeh;14.37;38.32;31.14;10.78;5.39;83.69;74.55
1418937808215353609;ANT 253;Fitzpatrick,Scott Michael;14.56;41.75;28.64;8.74;6.31;84.10;74.95
5837679147848338107;ANT 253;Donald,Roderick Kevin;32.89;46.05;14.47;3.95;2.63;89.59;80.26
16427856625004928210;ANT 253;Johannesson,Erik G.;24.56;30.70;19.30;11.40;14.04;83.28;74.04
1989473796336736988;ANT 254;Wallace,Tim;39.30;44.54;12.23;1.75;2.18;91.10;81.70
1626863946689624152;ANT 261;Gambill,Landen Elizabeth;56.41;25.64;10.26;5.13;2.56;92.38;82.82
389009424459780967;ANT 261;Doll,Christian Joseph;51.61;28.23;9.68;4.84;5.65;91.05;81.53
10778790917053236855;ANT 261;Hamrick,Dayne;75.00;17.11;3.95;1.32;2.63;95.80;86.05
10910424921188887225;ANT 261;Jicha,Karl Armstrong;33.33;41.67;15.00;5.00;5.00;88.67;79.33
15804490385086782352;ANT 261;Hedlund,John  ;70.37;21.30;3.70;2.78;1.85;95.26;85.56
10787354764603566039;ANT 261;McDonald,Steve;47.44;38.46;8.97;2.56;2.56;92.04;82.56
1051688296288272644;ANT 261;Pierce,Leslie  ;71.43;23.81;4.76;0.00;0.00;96.38;86.67
13420135036149227855;ANT 261;Jackson,Stevan Reagan;44.25;40.71;10.62;1.77;2.65;91.65;82.21
18274031654968376251;ANT 261;Bray,Laura Ann;62.62;25.23;8.41;1.87;1.87;94.11;84.49
15414486276088262567;ANT 261;Sanchez,Heather Kay;72.97;17.12;4.50;0.90;4.50;95.05;85.32
10492847019318281615;ANT 261;Longo,Stefano B;27.54;43.48;18.84;5.80;4.35;87.68;78.41
17487289726243000465;ANT 261;Szabo,Adriana Mariana;53.85;40.38;5.77;0.00;0.00;94.35;84.81
16170216075120994650;ANT 261;Strange,Casey Lynn;44.74;42.11;13.16;0.00;0.00;92.61;83.16
5708367734154354286;ANT 261;Greene,Alison Campbell;35.48;47.31;17.20;0.00;0.00;91.18;81.83
5254413917446679757;ANT 261;Lawhorne,Jenelle  ;71.43;28.57;0.00;0.00;0.00;96.86;87.14
15687825764603029792;ANT 261;McManus,Lisa  ;64.00;25.00;6.00;3.00;2.00;94.24;84.60
13775065048365146435;ANT 261;Wyant,Amanda Dawn;61.05;24.21;7.37;4.21;3.16;93.19;83.58
849955867640756298;ANT 261;Bodenhamer,Aysha Allison;54.55;25.76;12.12;4.55;3.03;91.97;82.42
554047714456966701;ANT 261;Hamm,Lindsay Maxwell;28.99;28.99;8.70;23.19;10.14;83.64;74.35
14154332110610235979;ANT 261;Membrez-Weiler,Nicholas Joseph;81.82;18.18;0.00;0.00;0.00;98.00;88.18
14760368370816003153;ANT 261;Shriver,Thomas Eugene;51.61;38.71;9.68;0.00;0.00;93.71;84.19
