Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
280669031059388961;ARC 140;Schaffer,Kristen J;76.27;18.64;5.08;0.00;0.00;96.88;87.12
17691163354238457460;ARC 140;Abrams,Robin Fran;88.12;9.90;1.98;0.00;0.00;98.50;88.61
5131836489426841635;ARC 140;Harmon,Frank;63.04;32.61;0.00;0.00;4.35;94.63;85.00
4445488621137130624;ARC 140;Hallowell,George Dewey;68.03;26.23;4.92;0.00;0.82;95.75;86.07
1771544780415103731;ARC 140;Cherry,Louis W;90.91;9.09;0.00;0.00;0.00;99.00;89.09
12851488544953323467;ARC 141;Schaffer,Kristen J;50.00;41.91;4.41;1.47;2.21;93.10;83.60
11472995508008649671;ARC 162;Barrie,Thomas M;75.00;16.41;4.69;2.34;1.56;95.84;86.09
18304869349966861739;ARC 162;Redfield,Wendeline H;46.40;37.60;12.80;2.40;0.80;92.10;82.64
8109037112614679887;ARC 201;Erdim,Burak;64.10;35.90;0.00;0.00;0.00;96.05;86.41
2588928302210956643;ARC 201;Moon,Donghwan;84.62;15.38;0.00;0.00;0.00;98.31;88.46
9442879124869021945;ARC 201;Hoffman,Zach;37.84;59.46;2.70;0.00;0.00;92.89;83.51
17256689992284626496;ARC 201;Dickson-Mills,Michael Kitt;58.33;41.67;0.00;0.00;0.00;95.42;85.83
17916708437544047350;ARC 201;Elvin,George;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11659828116666124894;ARC 201;Morgado,Patricia E;47.22;47.22;5.56;0.00;0.00;93.64;84.17
9799729515419252525;ARC 201;Balkanay,Ezgi;76.92;23.08;0.00;0.00;0.00;97.46;87.69
10558466380612489565;ARC 201;Hobgood,Patrick Thomas;28.57;57.14;14.29;0.00;0.00;90.71;81.43
3669111212840346444;ARC 201;Necessary,Rebecca Jane;45.00;35.00;12.50;7.50;0.00;91.20;81.75
15898412461482005457;ARC 201;Wagner,Michael David;27.27;54.55;13.64;0.00;4.55;89.27;80.00
14247477582027392757;ARC 201;Pazienza,Epifanio Louis;40.00;30.00;30.00;0.00;0.00;90.40;81.00
6246936392218987760;ARC 201;Papiez,Maria;42.31;50.00;7.69;0.00;0.00;92.88;83.46
17232415743992849826;ARC 201;Conley,Mary;60.00;30.00;10.00;0.00;0.00;94.60;85.00
1811037630968763454;ARC 201;Lipchak,Paul J;16.67;50.00;33.33;0.00;0.00;87.50;78.33
17633712874840111809;ARC 201;Battaglia,Laura L;38.46;30.77;30.77;0.00;0.00;90.15;80.77
2546576742448514647;ARC 201;Stoll,Katrina Anna;38.46;53.85;7.69;0.00;0.00;92.46;83.08
15579709346579514793;ARC 201;Griffith,Matthew Henning;29.41;52.94;17.65;0.00;0.00;90.47;81.18
11039981703468177116;ARC 201;Vance III,Ulysses Sean;33.33;44.44;22.22;0.00;0.00;90.44;81.11
10516679862612450339;ARC 202;Morgado,Patricia E;46.88;50.00;0.00;0.00;3.13;93.22;83.75
14319279784851594138;ARC 202;Heffington,Jake;33.33;58.33;8.33;0.00;0.00;91.83;82.50
8993610815913438628;ARC 202;Elvin,George;94.74;5.26;0.00;0.00;0.00;99.42;89.47
629078513258218680;ARC 202;Erdim,Burak;92.50;7.50;0.00;0.00;0.00;99.18;89.25
9653345989318658354;ARC 202;Leonard,Jeremy;40.00;40.00;20.00;0.00;0.00;91.40;82.00
477833805956431606;ARC 202;Bell Jr,Bryan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16471827953676978965;ARC 202;Kranbuehl,Don David;36.36;50.00;9.09;0.00;4.55;90.73;81.36
12575088838760291080;ARC 202;Askey,Billy Arthur;71.43;21.43;0.00;7.14;0.00;95.43;85.71
669510293803011772;ARC 202;Harris,Edwin;85.71;14.29;0.00;0.00;0.00;98.43;88.57
16963343994503622231;ARC 202;Conley,Mary;44.00;40.00;16.00;0.00;0.00;92.24;82.80
7855796009465334655;ARC 202;Parsons,Michael Paul;41.67;58.33;0.00;0.00;0.00;93.58;84.17
12406584640552948259;ARC 202;Sheikholharam Mashhadi,Ehsan;60.00;30.00;10.00;0.00;0.00;94.60;85.00
2003532134808685153;ARC 202;Papiez,Maria;30.00;70.00;0.00;0.00;0.00;92.30;83.00
6186607370988999751;ARC 202;Necessary,Rebecca Jane;40.00;50.00;0.00;10.00;0.00;91.40;82.00
10009730707586662776;ARC 202;Moore,Jessica J;34.62;46.15;15.38;3.85;0.00;90.50;81.15
6708689872481516117;ARC 202;Queen,Sara Glee;38.46;53.85;7.69;0.00;0.00;92.46;83.08
7456875905852723751;ARC 202;Battaglia,Laura L;27.27;40.91;31.82;0.00;0.00;88.82;79.55
16236631289772622443;ARC 202;Pazienza,Epifanio Louis;27.27;72.73;0.00;0.00;0.00;92.00;82.73
7689923897957258534;ARC 211;Abrams,Robin Fran;93.28;4.20;2.52;0.00;0.00;99.01;89.08
17384656062978709130;ARC 232;Isley,Christopher;29.11;59.49;10.76;0.00;0.63;90.94;81.65
14361898372967740945;ARC 232;Gulling,Dana Kathleen;29.41;48.53;11.03;7.35;3.68;88.56;79.26
8687998494701198658;ARC 232;Petrarca,Vincent;44.09;45.16;10.75;0.00;0.00;92.77;83.33
2029923236877542928;ARC 232;Tobin,Sean J;50.54;47.31;2.15;0.00;0.00;94.34;84.84
6004180412048414788;ARC 232;Battaglia,Paul R;60.63;32.50;5.63;0.00;1.25;94.73;85.13
13372059959630551116;ARC 241;Schaffer,Kristen J;44.91;31.74;19.16;2.40;1.80;91.01;81.56
15489900498379719853;ARC 242;Schaffer,Kristen J;40.68;45.20;11.30;1.69;1.13;91.67;82.26
18438328365832894566;ARC 250;Leonard,Jeremy;77.27;20.45;2.27;0.00;0.00;97.27;87.50
13388662109797139808;ARC 250;Cooper,Ryan  ;58.33;37.50;0.00;4.17;0.00;94.58;85.00
11555241041899461930;ARC 250;Morgado,Patricia E;30.67;37.33;20.00;9.33;2.67;87.71;78.40
13952436951282020795;ARC 250;Balkanay,Ezgi;76.19;23.81;0.00;0.00;0.00;97.38;87.62
9718263890336168332;ARC 251;Protz,Shawn Stephen;88.62;9.76;0.00;0.00;1.63;98.26;88.37
16430281218921865120;ARC 251;Weiser-Ward,Michael Jay;78.10;17.14;0.00;0.95;3.81;96.26;86.48
3886855475057736476;ARC 251;Mabie,Shawna Marie;73.17;19.51;2.44;0.00;4.88;95.34;85.61
13315073310574693026;ARC 251;White,Erin S;68.06;26.39;4.17;0.00;1.39;95.65;85.97
1755717996731014613;ARC 251;Queen,Sara Glee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16614716177416768442;ARC 251;Hill,David Brian;53.21;39.74;5.13;0.64;1.28;93.83;84.29
16075807151778272309;ARC 292;Morgado,Patricia E;51.46;38.83;6.80;0.97;1.94;93.20;83.69
796629584457300155;ARC 301;Gulling,Dana Kathleen;36.84;50.00;10.53;0.00;2.63;91.21;81.84
3404882805446960556;ARC 301;Smith,Norman A;60.00;30.00;10.00;0.00;0.00;94.60;85.00
16099784350017055149;ARC 301;Mitchell,Elizabeth Louise Hyatt;11.11;88.89;0.00;0.00;0.00;90.22;81.11
16931000559259997011;ARC 301;Hoffman,Zach;25.00;41.67;25.00;8.33;0.00;87.58;78.33
8722741346220324936;ARC 301;Glueck,Jamey Edward;45.95;48.65;5.41;0.00;0.00;93.51;84.05
1096388725357934356;ARC 301;Moon,Donghwan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14803021391159166628;ARC 301;Hefner,Scott  ;35.71;64.29;0.00;0.00;0.00;92.93;83.57
17014490057877630615;ARC 301;Hobgood,Patrick Thomas;41.67;33.33;16.67;8.33;0.00;90.25;80.83
18250152280468211376;ARC 301;Protz,Shawn Stephen;50.00;50.00;0.00;0.00;0.00;94.50;85.00
14261199227704239143;ARC 301;Harris,Edwin;56.52;43.48;0.00;0.00;0.00;95.22;85.65
11309850149948780556;ARC 301;Hogan,Katherine Mercedes;61.29;38.71;0.00;0.00;0.00;95.74;86.13
3722540262970028162;ARC 301;Petrarca,Vincent;43.75;50.00;6.25;0.00;0.00;93.19;83.75
12368387502321049552;ARC 301;Weinstein,Ellen;31.03;65.52;3.45;0.00;0.00;92.07;82.76
12541765093027855853;ARC 301;Elvin,George;61.54;38.46;0.00;0.00;0.00;95.77;86.15
7744563772197374840;ARC 301;Barrie,Thomas M;58.33;33.33;8.33;0.00;0.00;94.58;85.00
16579546574255409916;ARC 301;Askey,Billy Arthur;46.15;53.85;0.00;0.00;0.00;94.08;84.62
13959329680456466694;ARC 301;Pazienza,Epifanio Louis;42.11;39.47;15.79;0.00;2.63;91.26;81.84
7502241702809785189;ARC 301;Griffith,Matthew Henning;33.33;57.14;9.52;0.00;0.00;91.71;82.38
11454461152203697481;ARC 301;Grady,James George;81.82;13.64;4.55;0.00;0.00;97.55;87.73
7411045280252942766;ARC 301;Martin,Timothy William;35.71;64.29;0.00;0.00;0.00;92.93;83.57
16265021828702140130;ARC 301;Abrams,Robin Fran;56.52;43.48;0.00;0.00;0.00;95.22;85.65
18365886403218100134;ARC 302;Protz,Shawn Stephen;77.50;22.50;0.00;0.00;0.00;97.53;87.75
12625105742048769925;ARC 302;Harris,Edwin;42.86;48.57;8.57;0.00;0.00;92.86;83.43
13252594448419616572;ARC 302;Hill,David Brian;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15160347650931391762;ARC 302;Burkett,Joseph Perry;46.15;53.85;0.00;0.00;0.00;94.08;84.62
11379172996331193507;ARC 302;Johnson,Andre;53.85;38.46;0.00;7.69;0.00;93.38;83.85
11710522987563257877;ARC 302;Askey,Billy Arthur;35.71;50.00;7.14;7.14;0.00;90.79;81.43
9748858280513956088;ARC 302;Weinstein,Ellen;54.55;45.45;0.00;0.00;0.00;95.00;85.45
18291025921603431890;ARC 302;Elvin,George;81.82;0.00;18.18;0.00;0.00;96.18;86.36
15013907224763569038;ARC 302;Griffith,Matthew Henning;40.00;45.00;15.00;0.00;0.00;91.90;82.50
4223308590709139827;ARC 302;Purnell,Marshall E.;56.76;37.84;2.70;2.70;0.00;94.43;84.86
8789201635057132848;ARC 302;Klink,Jessica Lynn;33.33;33.33;25.00;8.33;0.00;88.50;79.17
3328518908958660647;ARC 302;Pierson,Douglas;33.33;66.67;0.00;0.00;0.00;92.67;83.33
5673799390602718085;ARC 302;Hu,Jianxin;56.41;35.90;7.69;0.00;0.00;94.44;84.87
9683230507013002765;ARC 302;Inceoglu,Arda;66.67;25.00;8.33;0.00;0.00;95.50;85.83
1474053729535047271;ARC 302;Glueck,Jamey Edward;41.67;50.00;8.33;0.00;0.00;92.75;83.33
16645959836680237090;ARC 302;Gulling,Dana Kathleen;45.45;51.52;3.03;0.00;0.00;93.70;84.24
10746017048953054470;ARC 302;Battaglia,Paul R;38.64;40.91;20.45;0.00;0.00;91.20;81.82
16005516578562368453;ARC 302;Place,Wayne;79.17;20.83;0.00;0.00;0.00;97.71;87.92
13705074962697541448;ARC 331;Place,Wayne;32.10;51.23;13.58;1.23;1.85;90.37;81.05
4057936646439704448;ARC 332;Place,Wayne;22.49;44.38;24.85;2.96;5.33;86.80;77.57
13983162858541870555;ARC 401;Barrie,Thomas M;54.55;36.36;9.09;0.00;0.00;94.09;84.55
15697784809936869093;ARC 401;Battaglia,Paul R;91.67;8.33;0.00;0.00;0.00;99.08;89.17
18337884985221997643;ARC 401;Redfield,Wendeline H;72.22;22.22;5.56;0.00;0.00;96.39;86.67
3852714293217016466;ARC 402;Elvin,George;90.91;0.00;0.00;0.00;9.09;96.27;86.36
13960089866955882713;ARC 402;Barrie,Thomas M;72.73;18.18;9.09;0.00;0.00;96.09;86.36
9627960659687696093;ARC 402;Bizios,Georgia;29.41;64.71;0.00;0.00;5.88;90.47;81.18
2962726499434562479;ARC 402;Weinstein,Ellen;40.00;50.00;10.00;0.00;0.00;92.40;83.00
14906896875936183070;ARC 402;Tesar,Paul;64.29;21.43;14.29;0.00;0.00;94.64;85.00
866337572465594737;ARC 403;Moon,Donghwan;86.21;13.79;0.00;0.00;0.00;98.48;88.62
8920475701130679809;ARC 403;Kranbuehl,Don David;27.59;58.62;13.79;0.00;0.00;90.66;81.38
97385253680130888;ARC 403;Morgado,Patricia E;36.00;48.00;16.00;0.00;0.00;91.36;82.00
17064687569139960267;ARC 403;Weinstein,Ellen;42.86;54.29;2.86;0.00;0.00;93.43;84.00
4353439110208607710;ARC 403;Queen,Sara Glee;43.48;50.00;6.52;0.00;0.00;93.13;83.70
11941173144736765679;ARC 403;Moore,Jessica J;34.15;60.98;4.88;0.00;0.00;92.27;82.93
13161985765136043728;ARC 403;Hill,David Brian;12.50;87.50;0.00;0.00;0.00;90.38;81.25
16200410217221204087;ARC 404;Barrie,Thomas M;70.45;27.27;2.27;0.00;0.00;96.52;86.82
10469855321480925635;ARC 404;Cannon,Susan Cole;55.56;44.44;0.00;0.00;0.00;95.11;85.56
13035477631301673018;ARC 404;Griffith,Matthew Henning;29.73;62.16;5.41;0.00;2.70;90.92;81.62
14826467580252094588;ARC 404;Battaglia,Laura L;33.33;60.00;6.67;0.00;0.00;92.00;82.67
4498290194007018785;ARC 404;Redfield,Wendeline H;43.33;46.67;6.67;3.33;0.00;92.43;83.00
5670171538778283942;ARC 405;Griffith,Matthew Henning;48.94;48.94;2.13;0.00;0.00;94.17;84.68
15022587265701918073;ARC 405;Cannon,Susan Cole;54.84;45.16;0.00;0.00;0.00;95.03;85.48
10848484586795828006;ARC 405;Gulling,Dana Kathleen;20.00;60.00;10.00;0.00;10.00;87.20;78.00
9789746256208074107;ARC 405;Purnell,Marshall E.;41.67;50.00;8.33;0.00;0.00;92.75;83.33
10421810917885930766;ARC 405;Hobgood,Kenneth E;90.00;10.00;0.00;0.00;0.00;98.90;89.00
6093342015888881224;ARC 405;Martin,Timothy William;80.00;20.00;0.00;0.00;0.00;97.80;88.00
9440290835119741718;ARC 405;Place,Wayne;66.67;33.33;0.00;0.00;0.00;96.33;86.67
3958847686599537804;ARC 405;Hong,Davin Sock-Young;26.67;60.00;0.00;13.33;0.00;89.27;80.00
18198339675000564309;ARC 405;Rand,J. Patrick;50.00;44.44;5.56;0.00;0.00;93.94;84.44
12195920238735189860;ARC 414;Hu,Jianxin;42.02;51.26;5.04;0.84;0.84;92.70;83.28
6642390996975356020;ARC 414;Unger,Erica;51.81;34.94;12.05;1.20;0.00;93.25;83.73
6027451860463202059;ARC 414;Ladd Jr,Charles Ray;62.91;30.46;4.64;0.66;1.32;94.93;85.30
12294111128877227125;ARC 432;Isley,Christopher;25.56;65.56;8.89;0.00;0.00;90.92;81.67
18017016542452404409;ARC 432;Gulling,Dana Kathleen;22.06;63.24;13.24;1.47;0.00;89.81;80.59
3216520386005869621;ARC 432;Rand,J. Patrick;30.39;58.82;10.78;0.00;0.00;91.26;81.96
9469860184145989899;ARC 441;Erdim,Burak;76.86;21.49;1.65;0.00;0.00;97.29;87.52
11776321845408046428;ARC 441;Kentgens-Craig PhD,Margret;65.00;25.00;5.00;0.00;5.00;94.15;84.50
18301092892180436263;ARC 441;Clark,Roger Harrison;42.45;28.30;27.36;0.94;0.94;90.46;81.04
565645197128916475;ARC 441;Queen,Sara Glee;42.00;44.00;12.00;2.00;0.00;92.02;82.60
6801523438247587108;ARC 450;Moon,Donghwan;74.29;22.86;2.86;0.00;0.00;96.89;87.14
2475533785279047594;ARC 450;Hill,David Brian;80.95;19.05;0.00;0.00;0.00;97.90;88.10
991785132012498209;ARC 450;Gulling,Dana Kathleen;22.73;63.64;13.64;0.00;0.00;90.14;80.91
11165510609948542190;ARC 450;Morgado,Patricia E;45.00;32.50;20.00;2.50;0.00;91.45;82.00
15962750565310135414;ARC 450;Harmon,Frank;73.33;20.00;6.67;0.00;0.00;96.40;86.67
11907237394845112949;ARC 451;Leonard,Jeremy;87.50;12.50;0.00;0.00;0.00;98.63;88.75
5186053860206510177;ARC 451;Shue,Claire  ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4837194888137879532;ARC 451;Weiser-Ward,Michael Jay;63.64;18.18;3.03;6.06;9.09;91.76;82.12
4470703024347051401;ARC 451;steinrueck,nathaniel;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17703197742095594426;ARC 451;Hill,David Brian;67.74;29.03;3.23;0.00;0.00;96.13;86.45
9117031025042319382;ARC 490;Pesout,Ondrej;58.33;33.33;8.33;0.00;0.00;94.58;85.00
5471994337981804168;ARC 490;Gebrian,Adam;68.18;31.82;0.00;0.00;0.00;96.50;86.82
12194720366844477171;ARC 490;Kovacevic PhD,Igor;36.36;36.36;27.27;0.00;0.00;90.27;80.91
10064533448122752978;ARC 490;Bitnar,Thomas Edward;75.00;25.00;0.00;0.00;0.00;97.25;87.50
5348049197812885060;ARC 490;Perlik,Martin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
548229816739415081;ARC 490;Rice,Arthur R;81.82;18.18;0.00;0.00;0.00;98.00;88.18
7134038100288337679;ARC 490;Marchant Montenegro,Hernan Pedro;92.86;7.14;0.00;0.00;0.00;99.21;89.29
3483474867384778860;ARC 490;Battaglia,Paul R;50.00;44.44;5.56;0.00;0.00;93.94;84.44
5782860086908562134;ARC 492;Hu,Jianxin;92.31;7.69;0.00;0.00;0.00;99.15;89.23
1946570616266599213;ARC 500;Hu,Jianxin;88.89;11.11;0.00;0.00;0.00;98.78;88.89
14103030280051061890;ARC 500;Hill,David Brian;51.16;48.84;0.00;0.00;0.00;94.63;85.12
11120951564866145556;ARC 500;Purnell,Marshall E.;68.42;26.32;5.26;0.00;0.00;96.00;86.32
13958866542690556992;ARC 500;Pierson,Douglas;51.85;48.15;0.00;0.00;0.00;94.70;85.19
11870102455727130066;ARC 500;Elvin,George;77.27;18.18;4.55;0.00;0.00;97.05;87.27
15071603272037075213;ARC 500;Glueck,Jamey Edward;31.58;63.16;5.26;0.00;0.00;91.95;82.63
12193162335581655683;ARC 500;Griffith,Matthew Henning;41.67;50.00;8.33;0.00;0.00;92.75;83.33
785952793666711109;ARC 500;Cannon,Susan Cole;73.08;26.92;0.00;0.00;0.00;97.04;87.31
2592660581824068402;ARC 500;Harmon,Frank;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11644195302466205168;ARC 500;Coll-Barreu,Juan;50.00;50.00;0.00;0.00;0.00;94.50;85.00
7673667742811779611;ARC 500;Thomas,Robert William;37.50;62.50;0.00;0.00;0.00;93.13;83.75
12443510605865316735;ARC 500;Smith,Norman A;60.71;35.71;3.57;0.00;0.00;95.32;85.71
10714826606356346657;ARC 500;Hart,Jason Wilbur;66.67;33.33;0.00;0.00;0.00;96.33;86.67
