Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13841233300481871776;ARE 104;Best,Michael John;22.73;40.91;31.82;1.52;3.03;87.11;77.88
2885174374060318535;ARE 104;Edobor,Edeoba;12.20;36.59;41.46;8.54;1.22;84.12;75.00
5106987029042710770;ARE 104;Hendrickson,Melissa L;24.68;35.06;16.88;3.90;19.48;83.40;74.16
9219161627934267108;ARE 106;Branan,Robert Andrew;63.64;28.03;3.03;1.52;3.79;94.26;84.62
9406039428985294744;ARE 106;Coit,Marne;17.50;45.83;19.17;12.50;5.00;85.01;75.83
4251117568399942983;ARE 106;Campbell,Ronald K;47.58;36.29;13.71;1.61;0.81;92.30;82.82
8107596527025221835;ARE 112;Gigandet,Cynthia;5.88;29.41;17.65;17.65;29.41;75.53;66.47
9834613927332766590;ARE 112;Hendrickson,Melissa L;50.00;29.41;17.65;0.00;2.94;91.85;82.35
12391505614852968901;ARE 112;Rodriguez,Michael;58.33;0.00;25.00;8.33;8.33;88.75;79.17
13168251675192933282;ARE 112;Parker,Frederick B.;20.93;13.95;30.23;20.93;13.95;79.91;70.70
17200173064126189339;ARE 112;Kittner,Benjamin Robert;2.44;51.22;31.71;7.32;7.32;82.44;73.41
8736051057518934033;ARE 112;Weems Jr,Wallace Edward;8.86;43.04;41.77;3.80;2.53;84.28;75.19
5350286214819565861;ARE 113;Russ,John S;42.42;36.36;15.15;6.06;0.00;90.94;81.52
3546764352064335536;ARE 113;Rodriguez,Michael;27.78;43.33;15.56;8.89;4.44;87.39;78.11
13583880450500473078;ARE 113;Weems Jr,Wallace Edward;29.09;41.82;21.82;1.82;5.45;88.02;78.73
5234172506135368605;ARE 114;Hendrickson,Melissa L;26.89;33.61;24.37;10.08;5.04;85.99;76.72
13923557554704596830;ARE 114;Russ,John S;31.82;45.45;18.18;0.00;4.55;89.32;80.00
12454287495803994058;ARE 115;Edobor,Edeoba;16.79;32.85;34.31;10.95;5.11;83.69;74.53
6620376049138563403;ARE 115;Brennen-Lisko,Samantha Jane;51.28;38.46;2.56;0.00;7.69;92.08;82.56
16376878387960688892;ARE 115;Russ,John S;23.36;27.01;21.17;12.41;16.06;82.15;72.92
11989590605091111617;ARE 12;Sampson III,Herman A.;11.46;18.75;21.88;25.00;22.92;76.20;67.08
15901134297693140212;ARE 121;Phillips,Jonathan Lee;13.86;15.84;42.57;22.77;4.95;80.23;71.09
3915252329179267159;ARE 132;Phillips,Jonathan Lee;17.31;28.85;35.58;14.42;3.85;83.31;74.13
11595747944327500270;ARE 133;Coit,Marne;8.82;35.29;29.41;17.65;8.82;80.85;71.76
9712363957887716211;ARE 133;Treme,Julianne;33.33;33.33;19.70;9.09;4.55;87.52;78.18
2840687720561216234;ARE 133;Russ,John S;26.32;28.95;36.84;7.89;0.00;86.63;77.37
1380294459226059182;ARE 141;Phillips,Jonathan Lee;20.99;22.22;37.04;17.28;2.47;83.41;74.20
9278339603562066215;ARE 201;Li,Huitan;71.23;17.81;9.59;0.00;1.37;95.47;85.75
18114046270651134093;ARE 201;Shakya,Lumana;26.80;42.00;20.80;9.60;0.80;87.71;78.44
9448491213513140458;ARE 201;Shen,Jiyin;39.89;44.68;13.83;1.06;0.53;91.63;82.23
5236675640025982715;ARE 201;Chandra,Soumi;15.38;41.18;28.05;9.95;5.43;84.27;75.11
14891221000599992669;ARE 201;Cengiz,Ezgi;76.47;19.12;4.41;0.00;0.00;96.97;87.21
5267273973963263286;ARE 201;Treme,Julianne;24.31;27.98;28.44;14.68;4.59;84.52;75.28
1497960698451356701;ARE 201;Hooe,Austin Sage;40.70;26.63;21.11;4.52;7.04;88.35;78.94
198847004822050038;ARE 201;Liu,Mingyan;39.13;46.58;9.32;2.48;2.48;91.13;81.74
7014376030843892042;ARE 201;Choe,Kyoungin;45.26;29.12;19.65;5.61;0.35;90.79;81.33
10317480123243980520;ARE 201;Kim,Junyeob;33.33;34.67;24.00;6.67;1.33;88.53;79.20
11054056600963640162;ARE 201;Yao,Shiyue;35.83;32.92;18.75;10.00;2.50;88.32;78.96
6192485841290614208;ARE 201;Fu,Yufei;39.81;31.07;21.36;5.83;1.94;89.50;80.10
6930999213049304319;ARE 201;Paiement,Scott  ;44.75;39.66;13.56;0.68;1.36;92.02;82.58
10096619762331395739;ARE 201;Collins,Wilson  ;27.87;44.26;19.67;6.56;1.64;88.30;79.02
2592108457594304464;ARE 201;Kim,Ahn;31.77;36.46;18.23;10.94;2.60;87.70;78.39
17024392228030320921;ARE 201;Zhang,Yifei  ;37.27;37.27;20.00;3.64;1.82;89.83;80.45
15662886961382855999;ARE 201;Pi,Lulu;26.87;31.34;25.37;8.96;7.46;85.39;76.12
14835059681658984848;ARE 201;Kandilov,Ivan Todorov;32.37;37.57;26.01;4.05;0.00;89.15;79.83
14779360420435608437;ARE 201;Phillips,Jonathan Lee;31.58;31.58;20.53;6.32;10.00;86.16;76.84
17842603443088147776;ARE 201;Parker,Frederick B.;35.36;41.99;14.36;4.97;3.31;89.46;80.11
10566124574284017337;ARE 201;Wang,Ruixue  ;45.12;43.90;6.10;3.66;1.22;92.26;82.80
9563490713717904659;ARE 201;Dowd,Gregory  ;60.75;25.27;10.22;1.61;2.15;93.69;84.09
6042966709435785184;ARE 201;Zhumadilov,Daniyar  ;56.63;37.35;4.82;1.20;0.00;94.51;84.94
11812773970712350782;ARE 201;Sutherland,Sara Anne;36.09;44.36;13.53;6.02;0.00;90.41;81.05
14792728686740777717;ARE 201;Hu,Huiwen  ;36.17;36.17;19.15;8.51;0.00;89.36;80.00
8006889233068954959;ARE 201;Liu,Siyan  ;48.75;37.50;10.00;2.50;1.25;92.49;83.00
9965444862849696840;ARE 201;Choi,Timothy;56.82;30.68;11.36;1.14;0.00;93.89;84.32
4080159874599539677;ARE 201;Wang,Caiqin  ;68.75;20.00;10.00;0.00;1.25;95.19;85.50
12343401087556959338;ARE 201;Bouchard,Dylan David;46.07;33.51;14.66;2.62;3.14;91.14;81.68
9843236020623891426;ARE 201;Hendrickson,Melissa L;38.79;37.58;16.97;4.24;2.42;89.99;80.61
7354542205402467085;ARE 201;Qin,Jin  ;92.11;3.29;3.29;1.32;0.00;98.54;88.62
1545202192967606704;ARE 201;Zeytoon-Nejad,Ali;41.30;39.13;15.22;4.35;0.00;91.15;81.74
16089905817093005803;ARE 201;Roh,Hyeongyul  ;25.00;30.56;29.17;12.50;2.78;85.50;76.25
1800959981911492910;ARE 201;Naumenko,Alexandra Vasilievna;33.71;28.09;28.09;6.74;3.37;87.54;78.20
2659825272647484240;ARE 201;Royal,Patrick;28.26;36.96;19.57;13.04;2.17;86.89;77.61
16869605538374597903;ARE 201;Santeramo,Fabio Gaetano  ;25.42;23.73;32.20;13.56;5.08;84.34;75.08
13817021050171777684;ARE 201;Callahan,Scott Evans;17.99;39.57;26.62;10.79;5.04;84.65;75.47
10117639462216906488;ARE 201;Mai,Ziyi  ;27.43;34.51;24.78;10.62;2.65;86.62;77.35
10178922468854037292;ARE 201;Li,Huachen  ;20.00;57.78;17.78;2.22;2.22;88.31;79.11
3486106792102392168;ARE 201;Sampson III,Herman A.;34.78;28.26;18.48;14.13;4.35;86.85;77.50
16574314324542130045;ARE 201;Wu,Sui  ;39.13;39.13;19.57;0.00;2.17;90.70;81.30
1134626019706186538;ARE 201;Parton,Lee Charles;25.00;42.86;25.00;3.57;3.57;87.46;78.21
2304084718510093663;ARE 201;Walden,Michael L.;6.58;31.14;28.95;19.74;13.60;78.80;69.74
14884945447230355555;ARE 201;Pritchett,Irina;41.67;27.78;13.89;8.33;8.33;88.03;78.61
4473710817529907067;ARE 201;Kassi,Aymard N'Zi;25.58;27.91;27.91;13.95;4.65;84.84;75.58
15887717589559075430;ARE 201;Orang,Marjan  ;26.03;41.10;32.19;0.68;0.00;88.51;79.25
276879881645591797;ARE 201;Giguere,Christopher Scott;17.09;30.77;34.19;9.40;8.55;83.02;73.85
15839771929826855878;ARE 201;Turner,Emma Hanson;21.50;37.38;26.17;10.28;4.67;85.29;76.07
5823016140338749974;ARE 201;Eyer,Jonathan Nelson;16.88;44.16;33.77;3.90;1.30;86.31;77.14
2694054725737191798;ARE 201;Fan,Michael;25.60;48.00;24.00;2.40;0.00;88.94;79.68
