Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6281715359294801048;ARS 233;McIlwee I,John Clinton;90.00;10.00;0.00;0.00;0.00;98.90;89.00
13847253146504526318;ARS 251;Koch,Tom;82.35;17.65;0.00;0.00;0.00;98.06;88.24
2252179527327506772;ARS 251;Tonelli,Chris;80.65;19.35;0.00;0.00;0.00;97.87;88.06
1591093399327160101;ARS 252;Kube,Lutz;68.09;31.91;0.00;0.00;0.00;96.49;86.81
11040197981659072553;ARS 252;Ham,Oliver Benjamin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11402801217332379142;ARS 257;Ralston,Victoria Neal;89.13;4.35;0.00;0.00;6.52;96.85;86.96
18283368681355035608;ARS 257;Waschka II,Rodney Anthony;81.25;16.67;2.08;0.00;0.00;97.73;87.92
11679275928434351134;ARS 257;Moorman,Karen Elizabeth;84.62;11.54;3.85;0.00;0.00;97.92;88.08
17384923064906617330;ARS 259;Waschka II,Rodney Anthony;77.50;17.50;2.50;0.00;2.50;96.53;86.75
4332065327746318292;ARS 306;Waschka II,Rodney Anthony;78.72;12.77;8.51;0.00;0.00;96.81;87.02
11208538362359162379;ARS 346;Ray,Tracey E;90.00;0.00;10.00;0.00;0.00;97.90;88.00
17705382891093927841;ARS 351;Kramer,Jonathan Charles;90.16;4.92;1.64;0.00;3.28;97.77;87.87
13745327942197918137;ARS 352;McIlwee I,John Clinton;96.55;3.45;0.00;0.00;0.00;99.62;89.66
17681217885707155765;ARS 353;Kramer,Jonathan Charles;92.00;8.00;0.00;0.00;0.00;99.12;89.20
3146549006906402005;ARS 353;Arnold,Alison E.;68.18;28.79;0.00;0.00;3.03;95.59;85.91
17780598810369419104;ARS 354;Kramer,Jonathan Charles;85.51;10.14;0.00;1.45;2.90;97.25;87.39
481192155054591122;ARS 410;Ralston,Victoria Neal;92.86;2.86;2.86;0.00;1.43;98.50;88.57
5597612430693670665;ARS 414;Ralston,Victoria Neal;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14651229888997516828;ARS 433;Bergman,Allison H;61.54;30.77;0.00;0.00;7.69;93.46;83.85
12396048548513944335;ARS 494;Waschka II,Rodney Anthony;95.45;2.27;0.00;0.00;2.27;98.82;88.86
1215663498786656030;ARS 494;Kramer,Jonathan Charles;95.35;2.33;0.00;2.33;0.00;99.02;89.07
18203856147026937386;ARS 494;Scearce,J Mark;68.75;21.88;9.38;0.00;0.00;95.63;85.94
5131165291576336764;ARS 494;Gordon,Marsha;60.00;30.00;10.00;0.00;0.00;94.60;85.00
4421262778161952451;ARS 494B;Waschka II,Rodney Anthony;90.91;9.09;0.00;0.00;0.00;99.00;89.09
