Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
8157058141316023258;AS 121;Patten,Brandon Eric;69.23;15.38;15.38;0.00;0.00;95.08;85.38
16229367119993604483;AS 121;Rhodes,Madeleine;82.14;8.93;5.36;1.79;1.79;96.61;86.79
7770487483712593767;AS 121;Loftis,Derek;84.44;15.56;0.00;0.00;0.00;98.29;88.44
17475306335787004735;AS 121;Marichal,Victor;78.13;17.19;1.56;0.00;3.13;96.50;86.72
8137976026389029171;AS 121;Farrington,Nate;76.67;18.33;0.00;0.00;5.00;95.93;86.17
1535001985225806970;AS 121;Jones,Trevoron Leclaynance;82.76;13.79;3.45;0.00;0.00;97.76;87.93
3285562310355306368;AS 121;Barela,Joshua Jack;66.67;28.57;2.38;0.00;2.38;95.38;85.71
12723187341348704262;AS 121;Peedin,Timothy Keith;59.52;33.33;7.14;0.00;0.00;94.83;85.24
15552400575136386469;AS 121;Zahn,Nathan James;61.54;26.92;9.62;0.00;1.92;94.23;84.62
13804834257727010163;AS 122;Rhodes,Madeleine;96.43;3.57;0.00;0.00;0.00;99.61;89.64
16580393631804775818;AS 122;Loftis,Derek;74.29;25.71;0.00;0.00;0.00;97.17;87.43
3399970938461963609;AS 122;Carr,Sherri Leigh;96.55;0.00;0.00;0.00;3.45;98.59;88.62
5416881290044945115;AS 122;Marichal,Victor;77.97;20.34;0.00;0.00;1.69;97.07;87.29
2311397981513761947;AS 122;Farrington,Nate;58.97;35.90;5.13;0.00;0.00;94.97;85.38
16859042679660903274;AS 122;Jones,Trevoron Leclaynance;74.19;25.81;0.00;0.00;0.00;97.16;87.42
17485274576413410716;AS 122;Barela,Joshua Jack;82.35;17.65;0.00;0.00;0.00;98.06;88.24
1179282851786544538;AS 122;Peedin,Timothy Keith;65.00;30.00;5.00;0.00;0.00;95.65;86.00
13298835621124682073;AS 122;Zahn,Nathan James;60.00;35.56;4.44;0.00;0.00;95.16;85.56
12834327273002338546;AS 122;Keely,Susan R;54.29;34.29;11.43;0.00;0.00;93.83;84.29
11898671183775134126;AS 201;Rhodes,Madeleine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17850151395195813966;AS 201;Capra,Meagan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6521978460869154308;AS 201;Marron,Katie Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12168401850214145447;AS 221;Bergkamp,Sarah Lindsay;62.50;31.25;0.00;0.00;6.25;94.00;84.38
2715143542768613374;AS 221;Plate,Nolan;50.00;40.00;10.00;0.00;0.00;93.50;84.00
