Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9260533356308098129;BAE 100;Hale,Andy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3479337103504269940;BAE 123;Stephenson,Tommy;19.44;34.72;29.17;13.89;2.78;84.61;75.42
2437713826152174014;BAE 123;Collins,Charles A;30.21;47.92;20.83;1.04;0.00;90.03;80.73
6319320876070736395;BAE 123;Roberson,Gary T;8.66;37.01;25.20;15.75;13.39;80.27;71.18
6207477775146378481;BAE 133;Bostian,Kyle Edwin;42.11;42.11;15.79;0.00;0.00;92.05;82.63
1789621027241651192;BAE 133;Collins,Charles A;37.66;44.16;18.18;0.00;0.00;91.32;81.95
1158812769628957274;BAE 133;Veal,Matthew;23.48;45.22;24.35;4.35;2.61;87.50;78.26
15180429521513441127;BAE 200;Guertault,Lucie;48.55;31.16;13.04;4.35;2.90;91.30;81.81
897729871947508308;BAE 200;Pandey,Piyush;66.67;25.00;8.33;0.00;0.00;95.50;85.83
476435768372444517;BAE 200;Beck,Ashley Esther;42.86;44.05;9.52;2.38;1.19;91.93;82.50
8957476848464554184;BAE 200;Grabow,Garry L;5.88;47.06;31.37;7.84;7.84;82.59;73.53
5786150152713089652;BAE 200;Burchell,Michael R;25.85;53.06;18.37;2.04;0.68;89.39;80.14
8627836170658161226;BAE 201;Seaboch,Tim;36.07;52.46;11.48;0.00;0.00;91.82;82.46
10214164672157747189;BAE 202;Ellington,Grant;39.06;46.88;9.38;1.56;3.13;91.11;81.72
3614010633437373844;BAE 202;Stikeleather,Larry F.;68.18;16.67;12.12;1.52;1.52;94.53;84.85
14851706587029737772;BAE 203;Guertault,Lucie;55.17;32.76;8.62;1.72;1.72;93.34;83.79
4046027871173722047;BAE 203;Merriman,Laura S;83.33;12.50;4.17;0.00;0.00;97.75;87.92
5969258327329459341;BAE 203;Huffman,Rodney L.;40.00;35.38;12.31;6.15;6.15;89.09;79.69
8103424073664574554;BAE 204;Birgand,Francois Philippe;43.33;33.33;15.00;6.67;1.67;90.43;81.00
7496581972540649271;BAE 23;Roberson,Gary T;15.44;48.32;22.82;8.72;4.70;85.26;76.11
3882252464168617230;BAE 302;Kolar,Praveen;68.42;24.21;5.26;2.11;0.00;95.58;85.89
5815532009029952816;BAE 302;Yuan,Wenqiao;38.16;30.26;17.11;11.84;2.63;88.33;78.95
16983640148460813323;BAE 302;Sharma-Shivappa,Ratna Rani;21.54;40.00;23.08;10.77;4.62;85.52;76.31
1142851029256145616;BAE 305;Hale,Andy;37.76;40.82;12.24;7.14;2.04;89.89;80.51
8391449925723508974;BAE 311;Ellington,Grant;26.23;45.90;16.39;8.20;3.28;87.62;78.36
11870554956650379444;BAE 315;Hale,Andy;49.70;42.60;6.51;0.59;0.59;93.52;84.02
16489394193716055621;BAE 315;Chinn,Mari S;13.57;47.14;27.14;8.57;3.57;84.99;75.86
11154225760666691744;BAE 321;Sagues,Joe;71.43;19.05;9.52;0.00;0.00;95.90;86.19
10365170032320822918;BAE 321;Chinn,Mari S;31.58;31.58;15.79;15.79;5.26;86.16;76.84
9797797511989271455;BAE 322;Kolar,Praveen;67.39;21.74;8.70;2.17;0.00;95.11;85.43
5669573116737988547;BAE 323;Huffman,Rodney L.;21.15;40.38;15.38;5.77;17.31;83.44;74.23
874789022465540983;BAE 325;Stephenson,Tommy;51.11;36.67;10.00;0.00;2.22;92.96;83.44
3525129198341308348;BAE 325;Roberson,Gary T;44.00;38.40;13.60;2.40;1.60;91.52;82.08
11714049526285047880;BAE 325;Burchell,Michael R;29.03;45.16;12.90;6.45;6.45;87.68;78.39
17879335832750206148;BAE 33;Veal,Matthew;27.14;60.00;12.86;0.00;0.00;90.70;81.43
14777437766802867034;BAE 332;Li,Lingjuan Wang;54.17;35.42;8.33;2.08;0.00;93.71;84.17
18417747726557551411;BAE 343;Seaboch,Tim;33.33;47.62;14.29;0.00;4.76;89.81;80.48
9894013649982573103;BAE 344;Seaboch,Tim;75.00;20.00;0.00;0.00;5.00;95.75;86.00
7626121877022440282;BAE 361;Ward,Jason;43.59;38.46;12.82;0.00;5.13;90.97;81.54
512077915932153320;BAE 361;Stikeleather,Larry F.;9.38;46.88;35.94;7.81;0.00;84.88;75.78
18134980792779347995;BAE 371;Guertault,Lucie;58.73;28.57;9.52;3.17;0.00;93.87;84.29
4796938326162094391;BAE 371;Merriman,Laura S;40.00;36.67;23.33;0.00;0.00;91.07;81.67
8665217675476843869;BAE 371;Huffman,Rodney L.;21.51;43.01;23.66;7.53;4.30;86.20;76.99
8389578634306018633;BAE 376;Castro Bolinaga,Celso Francisco;73.68;21.05;5.26;0.00;0.00;96.58;86.84
4738213193549553956;BAE 401;Xiang,Lirong;78.87;18.31;1.41;1.41;0.00;97.25;87.46
17833469075435131200;BAE 401;Hale,Andy;44.00;43.20;9.60;3.20;0.00;92.24;82.80
4712279696818318396;BAE 401;Young,Sierra;39.39;51.52;6.06;0.00;3.03;91.82;82.42
7914541610981584550;BAE 402;Willits,Daniel H.;10.56;28.33;37.22;18.33;5.56;81.11;72.00
