Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14483487695082777092;BAET 135;Bai,Frank;88.24;11.76;0.00;0.00;0.00;98.71;88.82
876090026899179157;BAET 200;Guertault,Lucie;34.48;34.48;24.14;3.45;3.45;88.66;79.31
8811639073531024075;BAET 201;Stephenson,Tommy;36.96;45.65;13.04;3.26;1.09;90.78;81.41
3077812330594771783;BAET 323;Guertault,Lucie;37.89;35.79;11.58;8.42;6.32;88.43;79.05
1811816063267115123;BAET 332;Li,Lingjuan Wang;46.88;42.19;7.81;3.13;0.00;92.75;83.28
16476176104031660538;BAET 333;Yuan,Wenqiao;31.58;26.32;21.05;21.05;0.00;86.16;76.84
476714946264687771;BAET 343;Stephenson,Tommy;46.27;32.84;14.93;0.00;5.97;90.81;81.34
6151056139782810391;BAET 411;Hall PhD,Steven G;73.33;13.33;6.67;0.00;6.67;94.40;84.67
12242383279590470099;BAET 411;Ellington,Grant;12.00;48.00;40.00;0.00;0.00;86.32;77.20
17967355143913946203;BAET 432;Hale,Andy;50.00;32.00;10.00;6.00;2.00;91.70;82.20
2305443788154816416;BAET 432;Roberson,Gary T;34.62;40.38;21.15;3.85;0.00;89.92;80.58
17928960443976270144;BAET 443;Doll,Barbara A;55.56;40.00;4.44;0.00;0.00;94.67;85.11
10264821123429594925;BAET 450;Hale,Andy;68.75;31.25;0.00;0.00;0.00;96.56;86.88
