Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7040121036063302663;BBS 201;Sheppard,John Douglas;20.59;39.71;30.88;5.88;2.94;86.12;76.91
15507399265157797628;BBS 201;Barrangou,Rodolphe;45.83;43.75;8.33;0.00;2.08;92.58;83.13
15632139548970163384;BBS 301;Sheppard,John Douglas;27.45;41.18;19.61;3.92;7.84;86.92;77.65
15563560617490892533;BBS 301;Vann,Lucas;46.15;38.46;7.69;0.00;7.69;91.00;81.54
6488311076977665284;BBS 325;Wolfrum,Sebastian;45.90;42.62;11.48;0.00;0.00;92.90;83.44
16254902282814935067;BBS 325;Pernell,Chris;20.83;37.50;29.17;8.33;4.17;85.46;76.25
5798013879341899567;BBS 326;Wolfrum,Sebastian;80.00;10.00;10.00;0.00;0.00;96.80;87.00
16018494963239650396;BBS 426;Flores,Hayley;25.00;58.33;16.67;0.00;0.00;90.08;80.83
13536232611417469155;BBS 426;Sheppard,John Douglas;13.79;41.38;31.03;10.34;3.45;84.31;75.17
1705093725228146616;BBS 427;Wolfrum,Sebastian;42.86;42.86;14.29;0.00;0.00;92.29;82.86
17427463963952750727;BBS 526;Sheppard,John Douglas;38.10;52.38;9.52;0.00;0.00;92.24;82.86
