Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6873522230189781770;BCH 101;Presutti,David G;84.62;15.38;0.00;0.00;0.00;98.31;88.46
6704967698047523304;BCH 103;Simpson,Melanie A;76.74;11.63;5.81;2.33;3.49;95.35;85.58
18367363091669551654;BCH 103;Blackmon,Tiayonna  ;83.51;11.34;2.06;1.03;2.06;97.15;87.32
13498098633572834296;BCH 103;Ascencio-Ibanez,Trino;88.98;6.78;4.24;0.00;0.00;98.36;88.47
15146925140643741680;BCH 103;Hemenway,Cynthia L;83.67;12.24;1.02;0.00;3.06;97.18;87.35
1943613389310073994;BCH 220;Gracz,Hanna;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13324412971234644103;BCH 330;Hardin,Charles C.;54.74;30.53;12.63;1.05;1.05;93.23;83.68
1017015606153525272;BCH 351;Goshe,Michael B.;35.60;33.11;20.63;8.62;2.04;88.52;79.16
10383042309529335718;BCH 351;Kuo,Hung-Chieh;48.73;47.21;3.55;0.51;0.00;93.90;84.42
15189500912724160299;BCH 351;Rose,Bob;28.09;34.83;25.47;8.05;3.56;86.87;77.58
5770923032126697480;BCH 351;Wollenzien,Paul L;43.51;28.25;19.48;2.92;5.84;89.50;80.06
5921692914180903765;BCH 351;Hardin,Charles C.;45.45;37.55;11.07;1.19;4.74;91.23;81.78
15846650981900828751;BCH 351;Maxwell,Earl S.;33.62;24.26;17.02;15.32;9.79;85.00;75.66
12951418698875995992;BCH 451;Barycki,Joe;42.90;38.37;12.08;2.11;4.53;90.73;81.30
9883091442061522360;BCH 451;Sui,Ning;33.45;37.28;17.42;8.01;3.83;88.18;78.85
10710053669913867701;BCH 451;Hardin,Charles C.;45.57;34.18;10.55;5.91;3.80;90.64;81.18
16453221266859438403;BCH 451;Maxwell,Earl S.;39.78;37.02;11.60;3.87;7.73;89.12;79.72
11118659731078148222;BCH 451;Kuo,Hung-Chieh;40.00;36.00;16.00;8.00;0.00;90.20;80.80
12108967697543447598;BCH 451;Knopp,James Arthur;36.33;30.86;22.27;7.81;2.73;88.39;79.02
14206938078228947192;BCH 451H;Knopp,James Arthur;78.85;19.23;1.92;0.00;0.00;97.48;87.69
2127674837391294246;BCH 452;Brown,Dennis T;77.63;19.74;2.63;0.00;0.00;97.28;87.50
5884621273541056649;BCH 452;Ascencio-Ibanez,Trino;78.26;17.39;2.17;0.00;2.17;96.74;86.96
4956985786062817173;BCH 452;Hemenway,Cynthia L;53.33;33.33;6.67;0.00;6.67;92.20;82.67
9936680494030345207;BCH 452;Maxwell,Earl S.;63.64;36.36;0.00;0.00;0.00;96.00;86.36
1437362489667750520;BCH 453;Rellan-Alvarez,Ruben;69.23;26.92;3.85;0.00;0.00;96.23;86.54
15214192849424084184;BCH 453;Ascencio-Ibanez,Trino;77.32;16.49;6.19;0.00;0.00;96.89;87.11
16401900360926054024;BCH 453;Doherty,Colleen Jennifer;57.47;21.84;10.34;4.60;5.75;91.64;82.07
