Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11932066671789602579;BEC 220;Moore,Pa Nhia;88.84;7.91;2.79;0.00;0.47;98.35;88.47
2660781831711614019;BEC 220;Monroe Jr,Danny Scott;83.58;11.19;1.49;2.24;1.49;97.15;87.31
10225455914606592789;BEC 220;Lawless,Rick;75.00;15.44;5.15;1.47;2.94;95.56;85.81
18145868459408053347;BEC 220;Gurgel,Gisele Candia Passador;92.44;5.88;1.68;0.00;0.00;99.00;89.08
11378276545508663293;BEC 220;Anover,Ray M;94.35;5.08;0.00;0.00;0.56;99.21;89.27
17896421922034314557;BEC 220;Welsh,William D;95.83;1.39;1.39;1.39;0.00;99.13;89.17
774020550387734651;BEC 220;Flickinger,Michael Carl;92.86;3.57;3.57;0.00;0.00;98.86;88.93
7534019667694093083;BEC 320;Bruno-Barcena,Jose Manuel;50.00;32.14;14.29;0.00;3.57;92.00;82.50
12461480040889375350;BEC 330;van Zanten,John H.;73.57;25.00;0.71;0.00;0.71;96.81;87.07
15077559224966547185;BEC 363;Smith-Moore,Caroline Michael;84.78;15.22;0.00;0.00;0.00;98.33;88.48
13024756920554748102;BEC 363;Elhanafi,Driss;75.00;13.64;9.09;2.27;0.00;95.89;86.14
5888749208930730982;BEC 363;Flickinger,Michael Carl;75.00;25.00;0.00;0.00;0.00;97.25;87.50
5476556581300179902;BEC 363;Gurgel,Gisele Candia Passador;88.68;9.43;1.89;0.00;0.00;98.57;88.68
17028794146127684386;BEC 420;Bruno-Barcena,Jose Manuel;40.38;32.69;11.54;7.69;7.69;88.44;79.04
2298237646323930449;BEC 425;Siegel,Sara;68.52;27.78;3.70;0.00;0.00;96.17;86.48
3632036048731406999;BEC 425;Elhanafi,Driss;95.00;5.00;0.00;0.00;0.00;99.45;89.50
13623709328277118698;BEC 425;Sambandan,Deepa;75.00;25.00;0.00;0.00;0.00;97.25;87.50
12282283665959798239;BEC 426;Flores,Hayley;69.57;30.43;0.00;0.00;0.00;96.65;86.96
10379845469334412875;BEC 426;Sheppard,John Douglas;24.49;61.22;14.29;0.00;0.00;90.27;81.02
