Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2365297674681675133;BIT 100;Srougi,Melissa Christina;72.73;15.91;11.36;0.00;0.00;95.86;86.14
912397481557551231;BIT 100;Noel,Sophie;87.50;12.50;0.00;0.00;0.00;98.63;88.75
6721972948717256621;BIT 100;Dums,Jacob Thomas;46.15;30.77;7.69;7.69;7.69;89.46;80.00
6457720685522407044;BIT 100;Chen,Stefanie;33.33;60.00;6.67;0.00;0.00;92.00;82.67
1446747354668747751;BIT 100;Garcia,Christina Valerie Boma;42.86;50.00;7.14;0.00;0.00;93.00;83.57
7996001578434780425;BIT 100;Lentz,Thomas Bridges;63.33;20.00;16.67;0.00;0.00;94.30;84.67
12297834190481311541;BIT 100;Ott,Laura Elizabeth;31.25;56.25;12.50;0.00;0.00;91.19;81.88
674297749212692367;BIT 100;Carson,Susan;60.00;33.33;6.67;0.00;0.00;94.93;85.33
7402024956128917207;BIT 100;Ashwell,Chris;76.92;19.23;3.85;0.00;0.00;97.08;87.31
7083525774758211554;BIT 210;Miller,Eric S.;80.00;10.00;2.50;5.00;2.50;95.80;86.00
18913232397767143;BIT 210;Carson,Susan;92.86;7.14;0.00;0.00;0.00;99.21;89.29
3567176090512555006;BIT 211;Miller,Eric S.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
12631133382700191101;BIT 295;Haggerty,Raymond;81.25;12.50;6.25;0.00;0.00;97.31;87.50
3036407204938095805;BIT 295;Goller,Carlos Christopher;88.10;9.52;0.00;0.00;2.38;97.98;88.10
6641993005753024025;BIT 402;Chen,Stefanie;89.74;7.69;2.56;0.00;0.00;98.62;88.72
6636939717034482388;BIT 402;Brown,Phillip E;81.82;9.09;9.09;0.00;0.00;97.09;87.27
1100526524034813670;BIT 402;Haggerty,Raymond;73.33;13.33;6.67;0.00;6.67;94.40;84.67
11501424788857164042;BIT 402;Dums,Jacob Thomas;83.33;16.67;0.00;0.00;0.00;98.17;88.33
17455887556675961470;BIT 410;Srougi,Melissa Christina;53.23;38.71;8.06;0.00;0.00;94.05;84.52
6196688281352762715;BIT 410;Huggins,Hayden Paul;45.83;50.00;4.17;0.00;0.00;93.63;84.17
476213327859063670;BIT 410;Brown,Phillip E;64.29;32.14;0.00;0.00;3.57;95.00;85.36
207300141771914223;BIT 410;Haggerty,Raymond;46.67;43.33;6.67;0.00;3.33;92.47;83.00
15261744542562711091;BIT 410;Chen,Stefanie;40.91;54.55;1.52;1.52;1.52;92.59;83.18
9816057840913891464;BIT 410;Bullock Jr,David Allen;67.86;25.00;7.14;0.00;0.00;95.75;86.07
3331893012097935839;BIT 410;Cartwright,Emily;58.33;36.11;5.56;0.00;0.00;94.86;85.28
14357141437583606659;BIT 410;Goller,Carlos Christopher;17.24;55.17;17.24;6.90;3.45;86.76;77.59
12098992382672528310;BIT 410;Dums,Jacob Thomas;70.00;22.00;6.00;2.00;0.00;95.70;86.00
12030233910535833212;BIT 410;Noel,Sophie;29.63;55.56;14.81;0.00;0.00;90.78;81.48
14494582609327344107;BIT 410;Hasley,Andrew O;37.50;43.75;18.75;0.00;0.00;91.25;81.88
11253783658083857932;BIT 410;Sjogren,Carly;34.78;47.83;4.35;4.35;8.70;88.91;79.57
11251657434440485922;BIT 410;Sengupta,Arnab;44.64;48.21;5.36;1.79;0.00;93.02;83.57
3258422987269016636;BIT 410;Samsa,Leigh Ann;50.00;37.50;9.38;3.13;0.00;92.94;83.44
2513132162830988550;BIT 410;Lazear,Eric;39.58;52.08;6.25;2.08;0.00;92.31;82.92
3990226571709336265;BIT 410;Stefan,Lihua Ye;70.59;29.41;0.00;0.00;0.00;96.76;87.06
15231196443471841590;BIT 410;Robertson,Sabrina Elizabeth;63.64;30.91;1.82;0.00;3.64;94.73;85.09
4757839677919789158;BIT 410;Garcia,Christina Valerie Boma;32.20;57.63;8.47;0.00;1.69;91.19;81.86
2947265190798225663;BIT 410;Lentz,Thomas Bridges;57.41;37.04;5.56;0.00;0.00;94.76;85.19
6920208311842620432;BIT 410;Ott,Laura Elizabeth;53.03;40.91;6.06;0.00;0.00;94.23;84.70
