Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17747836987901445093;BMA 560;Gross,Kevin;73.33;26.67;0.00;0.00;0.00;97.07;87.33
4340712642287085256;BMA 567;Gross,Kevin;75.00;25.00;0.00;0.00;0.00;97.25;87.50
8294600178090629148;BMA 573;Alexanderian,Alen;25.00;50.00;25.00;0.00;0.00;89.25;80.00
3668614417241137856;BMA 590;Gross,Kevin;79.17;20.83;0.00;0.00;0.00;97.71;87.92
11493069822931903544;BMA 591;Olufsen,Mette;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17651312991219441325;BMA 771;Olufsen,Mette;94.12;5.88;0.00;0.00;0.00;99.35;89.41
4946099992395461704;BMA 771;Cang,Zixuan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6540568564938314741;BMA 771;Flores,Kevin Bryant;77.27;18.18;4.55;0.00;0.00;97.05;87.27
7269867343408445620;BMA 771;Lloyd,Alun L;73.68;21.05;5.26;0.00;0.00;96.58;86.84
4153834636301787851;BMA 771;Lubkin,Sharon R;63.64;27.27;9.09;0.00;0.00;95.09;85.45
12174121504590854775;BMA 772;Lloyd,Alun L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16505355004732751950;BMA 772;Ke,Ruian;41.67;41.67;16.67;0.00;0.00;91.92;82.50
1771327900161808400;BMA 772;Gross,Kevin;58.82;41.18;0.00;0.00;0.00;95.47;85.88
11695336949267736649;BMA 773;Smith,Charles Eugene;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4368982848379947854;BMA 774;Lubkin,Sharon R;40.00;20.00;0.00;0.00;40.00;81.40;72.00
746118852661712379;BMA 790;Flores,Kevin Bryant;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15150637640739097993;BMA 790;Banks,Harvey Thomas;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1381770555468562836;BMA 801;Cang,Zixuan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11860770487705943434;BMA 801;Sullivant,Seth M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17493070925240145392;BMA 801;Lloyd,Alun L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13332264909027269422;BMA 801;Gross,Kevin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13570309470307480534;BMA 815;Gross,Kevin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7836042654435095296;BMA 815;Olufsen,Mette;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16637861020199317662;BMA 815;Lloyd,Alun L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7728217257684257150;BMA 893;Sullivant,Seth M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7532861286526335851;BMA 893;Lloyd,Alun L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1753770243459375322;BMA 893;Lubkin,Sharon R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13787093613970105132;BMA 893;Flores,Kevin Bryant;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9166271485206103018;BMA 895;Lubkin,Sharon R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10815210238829235361;BMA 895;Gross,Kevin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3011772939762844651;BMA 895;Lloyd,Alun L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
