Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
810042917427809765;BME 201;Husseini,Naji Sami;49.04;40.61;9.96;0.38;0.00;93.32;83.83
13126414328037092745;BME 201;Sawicki,Gregory Stephen;69.03;22.58;5.16;1.94;1.29;95.30;85.61
16282316314936724961;BME 201;Steele,Brooke Noelani;52.46;28.69;13.11;3.28;2.46;92.07;82.54
207727067316578644;BME 203;Brudno,Yev;38.61;53.47;6.93;0.99;0.00;92.36;82.97
13133055924338726108;BME 203;LaBean,Thomas H;65.93;27.47;5.49;0.00;1.10;95.37;85.71
16017128507095955416;BME 203;Narayan,Roger Jagdish;85.94;13.28;0.78;0.00;0.00;98.38;88.52
9366126158577001952;BME 203;Ivanisevic,Albena;60.56;25.35;7.04;5.63;1.41;93.41;83.80
16229635807710142383;BME 203;Luo,Mark Tzy-Jiun;23.02;53.97;17.46;5.56;0.00;88.67;79.44
12109189394175127667;BME 204;Gamcsik,Michael;40.30;56.72;1.49;1.49;0.00;92.99;83.58
12702536052477021476;BME 204;Queen,Hailey A;68.09;31.91;0.00;0.00;0.00;96.49;86.81
18127794355015241293;BME 204;Gu,Zhen;64.62;33.85;1.54;0.00;0.00;95.95;86.31
12571067680219328479;BME 204;McCarty,Gregory S;44.51;50.00;5.49;0.00;0.00;93.35;83.90
11651702515925575235;BME 205;Adkins,Amy;40.15;45.99;12.41;0.73;0.73;91.81;82.41
12533135462263278955;BME 205;Sharma,Nitin;56.69;27.39;14.65;0.00;1.27;93.39;83.82
578148658203725841;BME 207;Ceballos,Silvia;81.82;16.04;0.53;0.53;1.07;97.52;87.70
1478399092202617344;BME 207;Martin,Tim;60.00;20.00;20.00;0.00;0.00;93.60;84.00
8999782831684047743;BME 207;Foster,Marc  ;62.03;27.85;10.13;0.00;0.00;94.81;85.19
7684255895351599896;BME 207;Favorov,Oleg V;82.51;15.30;2.19;0.00;0.00;97.86;88.03
16128207391048558188;BME 209;MacDonald,Margo  ;32.65;55.10;10.20;2.04;0.00;91.16;81.84
83406193597370625;BME 209;Husseini,Naji Sami;37.50;44.85;15.44;0.74;1.47;90.99;81.62
7258507676718661112;BME 209;Brudno,Yev;40.28;52.78;6.94;0.00;0.00;92.74;83.33
15733211018034675479;BME 210;Qaqish,Olgha Bassam;77.94;17.65;2.94;0.00;1.47;96.84;87.06
15336912059352475;BME 210;Walker,Glenn M;34.88;37.67;22.33;3.72;1.40;89.44;80.09
10962009349315390816;BME 215;Husseini,Naji Sami;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9562693963223868869;BME 219;Brudno,Yev;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8751664606181848998;BME 252;Sano,Mike;89.86;4.35;3.62;1.45;0.72;98.01;88.12
5752901139582724057;BME 252;Cartee,Lianne A.;87.67;8.90;3.42;0.00;0.00;98.30;88.42
4933089465858819199;BME 252;Mente,Peter L;82.54;12.70;1.59;0.00;3.17;96.97;87.14
7897240880203128669;BME 298;Wiggin,Michael Bruce;78.98;15.92;3.18;1.91;0.00;96.99;87.20
14999879292627358686;BME 298;Petrella PhD,Ross Aaron;89.81;9.26;0.93;0.00;0.00;98.79;88.89
4385251435187354573;BME 299;Sano,Mike;93.33;0.00;0.00;0.00;6.67;97.27;87.33
13874786712397836502;BME 301;Cartee,Lianne A.;56.41;40.29;1.83;1.47;0.00;94.73;85.16
7765787001471959399;BME 302;Freytes PhD,Donald Osvaldo;58.05;33.71;6.74;0.75;0.75;94.34;84.76
9276896253795874608;BME 302;Sproul,Erin Pardue;13.56;76.27;8.47;0.00;1.69;89.14;80.00
4776694254593820764;BME 302;Loboa-Polefka,Elizabeth Grace;70.81;23.60;3.11;0.62;1.86;95.80;86.09
6585992514287777143;BME 311;Orun,Hatice;47.35;34.51;14.60;1.77;1.77;91.86;82.39
12528468315194351712;BME 312;Callender,Stephen;41.86;46.51;11.63;0.00;0.00;92.44;83.02
6717524199275343113;BME 315;Zaharoff,David A.;50.96;35.58;12.50;0.96;0.00;93.16;83.65
17733431828273898069;BME 325;Gamcsik,Michael;46.71;50.00;3.29;0.00;0.00;93.81;84.34
2816077604538426444;BME 335;Narayan,Roger Jagdish;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12159218359829102681;BME 342;Husseini,Naji Sami;50.00;36.76;8.82;2.94;1.47;92.59;83.09
2096884439629798965;BME 342;Mente,Peter L;29.63;50.00;16.67;3.70;0.00;89.85;80.56
15446543421290330462;BME 345;Adkins,Amy;46.31;38.93;9.40;3.36;2.01;91.88;82.42
4527849574076953183;BME 345;Husseini,Naji Sami;61.97;29.58;1.41;5.63;1.41;94.13;84.51
17868601686199754737;BME 352;Sano,Mike;92.36;6.94;0.69;0.00;0.00;99.09;89.17
10968786955672835506;BME 352;DiMeo Sr,Andrew J.;77.08;17.19;5.21;0.00;0.52;96.80;87.03
656250605506818053;BME 352;Daniels,Richard Anthony;73.58;22.64;1.89;0.00;1.89;96.34;86.60
