Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6316314669950503526;BSC 295;Parks,Lisa D;45.56;42.22;11.11;1.11;0.00;92.68;83.22
9715901188035077811;BSC 295;Baker,Christa;94.12;5.88;0.00;0.00;0.00;99.35;89.41
1806923157355965602;BSC 295;Gates,Terry Allen;71.43;17.86;3.57;3.57;3.57;94.71;85.00
4818283712954017910;BSC 295;Paciulli,Lisa M;55.56;11.11;33.33;0.00;0.00;91.78;82.22
1159727314904404377;BSC 295;Landin,Jennifer Marie;61.90;28.57;4.76;0.00;4.76;93.90;84.29
2419108414208604069;BSC 295;Nielsen,Dahlia M.;60.00;30.00;10.00;0.00;0.00;94.60;85.00
11474423408099171443;BSC 295;Kelley,Bobbie;78.26;8.70;8.70;4.35;0.00;95.87;86.09
11404594777900358552;BSC 295;Thomas,Dana Christine;92.86;7.14;0.00;0.00;0.00;99.21;89.29
13054915307763951470;BSC 303;Codallo,Megan;80.82;12.33;4.11;0.00;2.74;96.66;86.85
1268573606780162559;BSC 303;Eastwood Jr,Dennis;78.95;17.11;3.95;0.00;0.00;97.29;87.50
12471905506330654494;BSC 303;Thomas,Dana Christine;95.38;1.54;3.08;0.00;0.00;99.18;89.23
10847693897194259363;BSC 303;Anderson,Jill;96.15;1.92;1.92;0.00;0.00;99.38;89.42
16553986999062911628;BSC 305;Hawkins,Cassidy;76.19;9.52;4.76;0.00;9.52;94.05;84.29
4498231900647228024;BSC 305;Cody,Becky;80.77;19.23;0.00;0.00;0.00;97.88;88.08
5242819923177141043;BSC 305;Eastwood Jr,Dennis;88.46;11.54;0.00;0.00;0.00;98.73;88.85
5408923641013620545;BSC 305;Codallo,Megan;95.45;4.55;0.00;0.00;0.00;99.50;89.55
7618010627532599226;BSC 305;Kelley,Bobbie;88.00;6.67;1.33;0.00;4.00;97.35;87.47
8086486889657223496;BSC 492;Parker,Mary Magdalene;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8124579365295597200;BSC 492;Thomas,Dana Christine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9901537235607155272;BSC 492;Lee,Jennifer E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9575136411211881030;BSC 492;Lubischer,Jane L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6238079735018817118;BSC 492;Flores,Jason Francisco;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12548567873573188024;BSC 492;Grant,William Cullen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8725189245802453813;BSC 493;Parker,Mary Magdalene;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11321679431264316335;BSC 493;Thomas,Dana Christine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16909191113659536701;BSC 493;Lee,Jennifer E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4218165205707374703;BSC 493;Lubischer,Jane L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11671220797136505578;BSC 494;Parker,Mary Magdalene;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6401291292388892949;BSC 494;Thomas,Dana Christine;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2725795382072432828;BSC 494;Lee,Jennifer E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9560563137316831063;BSC 494;Lubischer,Jane L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8548965530981684136;BSC 495;Jacquet,Benoit Victor;95.12;4.88;0.00;0.00;0.00;99.46;89.51
1963373322880603979;BSC 495;Hartstone-Rose PhD,Adam;84.38;15.63;0.00;0.00;0.00;98.28;88.44
15036590926594340353;BSC 495;Zanno,Lindsay E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14176176512956522072;BSC 495;Engell,Miles Dean;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12556971020779784285;BSC 495;Paciulli,Lisa M;87.50;12.50;0.00;0.00;0.00;98.63;88.75
3073607303626601675;BSC 495;Rodgers,Maria L.;77.78;11.11;11.11;0.00;0.00;96.44;86.67
9705853338273374944;BSC 495;Carmona Baez,Aldo  ;90.48;9.52;0.00;0.00;0.00;98.95;89.05
10413491720817652590;BSC 495;Langerhans,Brian;95.45;4.55;0.00;0.00;0.00;99.50;89.55
10893861355174707642;BSC 495;Flores,Jason Francisco;84.85;9.09;3.03;3.03;0.00;97.42;87.58
4094474603450035742;BSC 495;Thompson,Elizabeth Ellen Anderson;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14443704788019840786;BSC 495;Ross,Ann Helen;88.89;0.00;0.00;0.00;11.11;95.44;85.56
1996495671500648654;BSC 495;Gates,Terry Allen;92.86;7.14;0.00;0.00;0.00;99.21;89.29
16758896200570067217;BSC 495;Zhou,Amanda Yi-Hui;50.00;50.00;0.00;0.00;0.00;94.50;85.00
2690194530363107217;BSC 495;Campbell,Jennifer L;56.52;30.43;13.04;0.00;0.00;93.91;84.35
7465377173436829322;BSC 497;Gardner,Marian-Elizabeth B.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11377169261080139772;BSC 498;Gardner,Marian-Elizabeth B.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18055917899460565587;BSC 514;Engell,Miles Dean;54.55;40.91;4.55;0.00;0.00;94.55;85.00
17511932596981495904;BSC 516;Thompson,Elizabeth Ellen Anderson;78.31;18.07;3.61;0.00;0.00;97.25;87.47
13952591941122898575;BSC 546;Johnstone III,William Miller;96.55;3.45;0.00;0.00;0.00;99.62;89.66
