Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6805613203357235363;BUS 110;Dunn,Robert J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13358663334465427387;BUS 225;Fuzesi,Barbara;69.71;15.88;6.76;0.88;6.76;93.79;84.09
11499063549839652887;BUS 225;Hart,Melissa M;72.00;23.11;3.11;0.00;1.78;96.08;86.36
5744196805514232135;BUS 225;Davis Jr,Carl Luke;64.29;25.00;7.14;0.89;2.68;94.38;84.73
761209593726526001;BUS 225;Sloan,William B;31.58;33.33;29.82;3.51;1.75;88.26;78.95
935817598842393160;BUS 280;Janca,Peter C;72.73;9.09;9.09;0.00;9.09;93.36;83.64
2862956224919482773;BUS 320;Koch,Christian;24.65;46.78;21.37;6.07;1.14;88.02;78.77
14264893234694175329;BUS 320;Danielsen,Bartley R;56.18;30.59;11.18;1.18;0.88;93.56;84.00
1172675410267245926;BUS 320;Hergeth,Helmut H;98.28;1.72;0.00;0.00;0.00;99.81;89.83
7253475763295844256;BUS 320;Davis Jr,Carl Luke;76.51;19.69;3.38;0.31;0.10;96.99;87.22
2913484333114067277;BUS 320;Sloan,William B;35.04;35.58;21.24;4.96;3.19;88.78;79.43
12677254515093770239;BUS 320;Hart,Melissa M;37.17;30.09;18.58;8.85;5.31;87.87;78.50
2998297650493853090;BUS 320;Jones,Michelle R;26.29;39.91;24.88;7.04;1.88;87.43;78.17
12808206819381354046;BUS 320;Eagan,Dennis E;36.84;34.21;23.68;2.63;2.63;89.37;80.00
13889025302430826160;BUS 340;Parker,Neal Ingram;63.75;29.58;3.33;2.08;1.25;94.89;85.25
9322858471326677700;BUS 340;Ashbaugh,Bradley K;52.42;37.10;7.66;1.61;1.21;93.31;83.79
2637664002061064775;BUS 340;Cheek,Morgan;55.95;41.67;0.00;0.00;2.38;94.44;84.88
10942260422431088192;BUS 340;Khan,Sarah S;60.92;28.74;5.17;3.45;1.72;93.98;84.37
5207096763750320156;BUS 340;Fowler,Sherry L.;26.99;49.69;11.04;4.29;7.98;87.61;78.34
7834019646582766656;BUS 340;Gaweda,Adam  ;43.42;42.11;9.21;3.95;1.32;91.67;82.24
10196668533561817915;BUS 340;Earp,Julie;30.84;59.81;8.41;0.93;0.00;91.36;82.06
6854524750366424425;BUS 340;Mohseni,Maryam;56.52;32.02;9.88;0.79;0.79;93.83;84.27
9253521201344576506;BUS 340;Payton,Fay Cobb;17.23;64.12;14.69;2.54;1.41;88.49;79.32
12277044618093650904;BUS 340;Yuill,James J;29.00;44.00;22.00;3.50;1.50;88.84;79.55
17447628080261440011;BUS 340;Bergey,Paul K;20.17;42.86;22.41;10.36;4.20;85.64;76.44
18051887426300145293;BUS 340;Sanford,Carlos;19.05;61.90;14.29;0.00;4.76;88.24;79.05
1484884164531027307;BUS 350;Reiland,Thomas W;39.74;35.76;17.88;4.64;1.99;90.06;80.66
2923137892858993486;BUS 350;Balan,Tonya E;41.24;43.41;11.52;2.50;1.34;91.48;82.07
16419145033160239886;BUS 350;Youngblood,Curtis;28.88;38.51;24.29;3.50;4.81;87.60;78.32
6794992668893907786;BUS 350;Hammond,Robert Guthrie;19.34;35.37;33.10;6.10;6.10;84.77;75.57
4510432177861796589;BUS 350;Stonebraker,Jeffrey S;51.25;33.75;15.00;0.00;0.00;93.14;83.63
9821234221889480773;BUS 351;Thompson,Wayne;74.69;20.82;3.67;0.00;0.82;96.60;86.86
5829925008742799697;BUS 351;Usman,Basiru;79.84;16.87;1.65;0.82;0.82;97.21;87.41
4644610768013088459;BUS 351;Mankad,Shawn;42.86;45.81;8.37;2.46;0.49;92.24;82.81
5940101580250521200;BUS 351;Ravi,Rakesh;64.79;24.41;8.92;0.94;0.94;94.77;85.12
3393951769586066218;BUS 351;Ajmani,Vivek Balraj;58.15;32.07;6.52;1.63;1.63;93.93;84.35
6007387618665181846;BUS 351;Fowler,Sherry L.;29.02;47.67;16.58;3.11;3.63;88.82;79.53
14640637869876773630;BUS 351;Ichoua,Soumia;27.45;58.82;11.76;0.00;1.96;90.25;80.98
17866192572375211343;BUS 351;Habek,George;12.82;53.85;28.94;2.93;1.47;86.49;77.36
12095634644929935327;BUS 360;Verhallen PhD,Pieter F. E.;59.22;34.19;4.31;1.35;0.94;94.53;84.94
12131411175422021489;BUS 360;Byrnes,Thomas Joseph;37.55;47.83;12.25;1.58;0.79;91.35;81.98
17430073481554596222;BUS 360;Thum,Edward;46.98;41.28;6.76;2.85;2.14;92.28;82.81
17127803798507506095;BUS 360;Khan,Imran M;68.67;27.26;2.71;1.20;0.15;96.00;86.31
12160445396125705543;BUS 360;Nealon,Patrice Fontaine;58.02;40.74;1.23;0.00;0.00;95.26;85.68
4034249412759338993;BUS 360;Carvajal Zaera,Enrique;93.75;6.25;0.00;0.00;0.00;99.31;89.38
