Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10763874499814841355;CBS 493;Meurs,Kathryn;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3989505340118831534;CBS 561;Piedrahita,Jorge A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13979584198342519756;CBS 563;Acker,Debbie Reno;96.88;3.13;0.00;0.00;0.00;99.66;89.69
654389757103247858;CBS 565;Buchler,Nick;73.58;22.64;3.77;0.00;0.00;96.72;86.98
2979010716735223667;CBS 565;Yoder,Jeff;73.61;18.06;6.94;1.39;0.00;96.13;86.39
5847906251765002479;CBS 570;Breen,Matthew;67.57;32.43;0.00;0.00;0.00;96.43;86.76
15978593650235812201;CBS 586;Reiskind,Michael Hay;91.67;8.33;0.00;0.00;0.00;99.08;89.17
11810679055984924293;CBS 586;Walker,Kara;80.00;20.00;0.00;0.00;0.00;97.80;88.00
13550653131021529943;CBS 595;Correa-Gutierrez,Maria Teresa;88.24;11.76;0.00;0.00;0.00;98.71;88.82
13343770912857083082;CBS 595;Cowen,Peter;93.75;6.25;0.00;0.00;0.00;99.31;89.38
2004051935518689440;CBS 595;Lanzas,Cristina;83.33;16.67;0.00;0.00;0.00;98.17;88.33
6739766651469982867;CBS 595;Kennedy-Stoskopf,Suzanne;80.00;20.00;0.00;0.00;0.00;97.80;88.00
10837002248827548832;CBS 595;Fletcher Jr,Oscar J;60.00;40.00;0.00;0.00;0.00;95.60;86.00
13880959546213522159;CBS 624;Gookin PhD,Jody L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6724515855191228333;CBS 650;Rhea,Sarah;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6519254555583992678;CBS 650;Lanzas,Cristina;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3029178619349584178;CBS 650;Cowen,Peter;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8019389861739683005;CBS 650;Levine,Jay F;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12318404551559890014;CBS 660;Piedrahita,Jorge A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14478650007189471704;CBS 662;Sannes,Philip L.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12829288992518017836;CBS 662;Fish,Richard E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6291983274045298462;CBS 680;Fisher,Matthew Bruce;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6302150137959460587;CBS 682;Crespo,Rocio;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13143880038050890152;CBS 695;Gonzalez,Liara M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8556404586419559420;CBS 695;Crespo,Rocio;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4969624243843403511;CBS 695;Blikslager,Anthony T;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2644588682684708473;CBS 695;Gimeno,Isabel M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9909692779844839348;CBS 705;Meitzen,John Edward;83.33;16.67;0.00;0.00;0.00;98.17;88.33
11370353333971026102;CBS 705;Brooks,Eric;75.00;25.00;0.00;0.00;0.00;97.25;87.50
6392073090407368769;CBS 705;Ghashghaei,Troy;55.56;44.44;0.00;0.00;0.00;95.11;85.56
6121427294894507622;CBS 760;Levine,Jay F;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15981432721700564706;CBS 762;Baynes,Ronald E;58.82;35.29;5.88;0.00;0.00;94.88;85.29
2141574534949972216;CBS 762;Fleisher,Lloyd Norman;57.58;33.33;6.06;0.00;3.03;93.82;84.24
15300944479716326340;CBS 764;Ziegler,Amanda Lee;81.25;18.75;0.00;0.00;0.00;97.94;88.13
15619802103301392149;CBS 764;Blikslager,Anthony T;77.27;18.18;4.55;0.00;0.00;97.05;87.27
6049694174345525670;CBS 770;Rodriguez-Puebla,Marcelo;71.79;25.64;2.56;0.00;0.00;96.64;86.92
491022054368250718;CBS 770;Ghashghaei,Troy;35.71;50.00;14.29;0.00;0.00;91.50;82.14
1491623120977109273;CBS 770;Breen,Matthew;30.77;53.85;15.38;0.00;0.00;90.85;81.54
2400991045969794835;CBS 771;Rodriguez-Puebla,Marcelo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3059532036872657266;CBS 771;Horowitz,Jonathan M;55.00;35.00;10.00;0.00;0.00;94.05;84.50
9685536238968337710;CBS 775;Lanzas,Cristina;80.00;20.00;0.00;0.00;0.00;97.80;88.00
1185159572674486910;CBS 787;Baynes,Ronald E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10165603735375587707;CBS 787;Riviere,Jim E;66.67;33.33;0.00;0.00;0.00;96.33;86.67
1075950031819838808;CBS 795;Cullen,John Michael;60.00;30.00;0.00;10.00;0.00;93.60;84.00
15416813382955405858;CBS 795;Law,Jerry M;14.29;57.14;28.57;0.00;0.00;87.71;78.57
9873087090677816638;CBS 800;Jones,Samuel L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5918491340834258589;CBS 803;Law,Jerry M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17722652850714140143;CBS 805;Belcher,Scott M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17731065346872191174;CBS 805;Patisaul,Heather;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4402841692807348904;CBS 806;Stewart,Amy Stieler;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1024790616946981562;CBS 806;Jones,Samuel L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3856623845364286013;CBS 810;Peng,Xinxia;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7779096350156483253;CBS 810;Lascelles,Duncan X.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
