Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13040160425123718856;CE 214;Martinez,Meredith;14.42;29.81;33.65;9.62;12.50;81.55;72.40
12964299668332406149;CE 214;Welton,Steven;18.94;35.40;22.67;9.94;13.04;82.92;73.73
3903269108446310543;CE 214;Samayoa Avalos,Julio Alfredo;19.70;13.64;31.82;13.64;21.21;78.89;69.70
16596379071304002124;CE 214;Parish PhD,David W.;18.57;28.57;31.43;7.14;14.29;82.19;73.00
10369089555094910640;CE 214;Brodbeck,Taylor  ;23.75;42.50;23.75;7.50;2.50;86.99;77.75
11303134248406452865;CE 214;Guddati,Murthy;13.82;29.82;25.09;13.45;17.82;79.97;70.84
14672996373239113651;CE 214;Hassan,Tasnim;13.47;26.53;28.98;19.59;11.43;80.24;71.10
6444859628339521946;CE 214;Seracino,Rudi;16.48;21.02;28.98;14.20;19.32;79.28;70.11
1551426830224902911;CE 214;Jayaprakash,Arjun  ;20.99;38.27;28.40;7.41;4.94;85.51;76.30
5611935062479594025;CE 214;Flanagan,Kelly P;18.42;27.19;28.07;14.91;11.40;81.82;72.63
9464822848765642617;CE 214;Morrison,Machel Leigh;15.92;26.75;23.57;12.10;21.66;79.48;70.32
15212526082165712387;CE 214;Pourghaz,Moe;8.64;17.28;27.78;16.05;30.25;74.89;65.80
14121776871718666507;CE 214;Malladi,Haritha;15.09;37.11;28.30;8.18;11.32;82.80;73.65
1809122305691691932;CE 214;Ulker,Mehmet Baris Can;6.67;20.00;43.33;10.00;20.00;77.40;68.33
15549238121987238535;CE 214;Ullmer,Emily D.;11.11;31.94;31.94;9.72;15.28;80.50;71.39
12756263394297810153;CE 214;Tayebali,Akhtarhusein A;12.31;29.74;35.38;9.74;12.82;81.02;71.90
1809547003644806715;CE 214;Syed,Sammiuddin Quadri;8.16;30.61;30.61;13.27;17.35;78.98;69.90
1618437547609416539;CE 214;Savadatti,Siddharth;15.79;23.68;31.58;13.16;15.79;80.21;71.05
13627452456951841933;CE 214;Subramanian,Vijay;13.82;24.34;30.26;16.45;15.13;79.66;70.53
10726485086332676921;CE 214;Rahman,M. Shamimur;6.67;26.67;40.00;22.22;4.44;79.96;70.89
12937308321609385221;CE 214;Krishna,Shree;13.04;34.78;28.26;10.87;13.04;81.52;72.39
1979016758671241098;CE 215;Syed,Sammiuddin Quadri;20.00;28.42;28.42;10.53;12.63;82.46;73.26
13274432539373151450;CE 215;Parish PhD,David W.;20.83;31.25;29.17;14.58;4.17;84.21;75.00
8571023844638154330;CE 215;Brown Jr,Thomas Hunter;45.18;41.12;10.66;2.54;0.51;92.24;82.79
8891018040368761070;CE 225;Kim,Youngsoo R;18.25;34.13;28.97;10.71;7.94;83.59;74.40
562671544290746549;CE 225;Henry,Robert;22.45;40.82;30.61;6.12;0.00;87.18;77.96
15935590433970071498;CE 225;Sandhu,Harleen;45.19;34.62;19.23;0.00;0.96;91.76;82.31
4369013707709706383;CE 225;Akono,Ange Therese;42.86;42.86;14.29;0.00;0.00;92.29;82.86
1726293933980952241;CE 225;Ziccarelli,Andrew;24.46;35.25;29.50;8.63;2.16;86.37;77.12
1517394296815453583;CE 225;Gupta,Abhinav;23.26;37.21;23.26;6.98;9.30;85.05;75.81
10634212244036158930;CE 225;Seracino,Rudi;30.61;46.94;18.37;2.04;2.04;89.51;80.20
8741707182907745828;CE 225;Mabry,Nehemiah J.;31.08;36.49;21.62;8.11;2.70;87.82;78.51
4292714522416383727;CE 225;Tayebali,Akhtarhusein A;12.15;28.04;29.91;15.89;14.02;79.96;70.84
3838934117396558423;CE 225;Flanagan,Kelly P;11.22;22.45;37.76;18.37;10.20;79.72;70.61
11016264226417647371;CE 250;Johnson,Jeremiah;23.62;53.02;19.16;2.36;1.84;88.66;79.42
5599164596899547637;CE 250;Miller,Jonathan William;15.69;46.77;30.15;5.54;1.85;86.05;76.89
4512310824196901853;CE 250;DeCarolis,Joseph F;22.65;39.74;25.64;8.12;3.85;86.15;76.92
13032723304389636937;CE 250;Frey,Chris;14.91;32.46;36.84;11.40;4.39;83.36;74.21
8535359847179545108;CE 261;Liu,Min;27.71;43.37;16.87;8.43;3.61;87.59;78.31
11602299978713965762;CE 263;Kaminsky,Jessica;61.82;28.18;7.27;0.91;1.82;94.35;84.73
17084722706054271527;CE 263;Albert,Alex;35.00;46.67;15.00;0.00;3.33;90.35;81.00
14729661500654353057;CE 263;Jaselskis,Edward J;18.18;40.91;27.27;9.09;4.55;85.09;75.91
3602389707583856036;CE 263;Liu,Min;9.38;28.13;25.00;31.25;6.25;79.41;70.31
10780535793876237049;CE 263;Smith,Benjamin Charles;15.19;46.20;25.95;5.06;7.59;84.78;75.63
3036790054691120120;CE 263;Welton,Steven;9.78;39.13;41.30;7.61;2.17;83.77;74.67
16819024745987804076;CE 282;Dietrich,Casey;11.73;27.55;40.31;15.31;5.10;81.67;72.55
10420147032800130911;CE 282;Miller,Jonathan William;25.00;27.08;24.31;13.89;9.72;83.63;74.38
15603136224083526911;CE 282;Aziz PhD,Tarek Nadim;17.36;30.58;30.58;12.40;9.09;82.64;73.47
15315410841466214966;CE 282;San Juan Blanco,Jorge Emilio;12.99;57.14;25.97;2.60;1.30;86.92;77.79
12065527926875406225;CE 282;Mahinthakumar,Kumar;11.38;21.56;41.32;13.77;11.98;79.77;70.66
12475097238335615666;CE 282;Libera,Dominic Anthony;11.11;50.00;27.78;5.56;5.56;84.67;75.56
7013657601335526037;CE 282;Garcia Menendez,Fernando;17.50;32.50;30.63;6.25;13.13;82.68;73.50
9578500728185647240;CE 282;Kusum,Samrin Ahmed  ;10.91;20.00;27.27;20.00;21.82;76.93;67.82
14788459542967736193;CE 282;Pesantez,Jorge;29.13;44.66;19.42;4.85;1.94;88.71;79.42
15020255596336646027;CE 282;Ducoste,Joel Jean;9.62;34.62;48.08;5.77;1.92;83.52;74.42
4427058507853936235;CE 297;Seracino,Rudi;14.52;19.35;25.81;24.19;16.13;78.34;69.19
10028039790123577476;CE 297;DeCarolis,Joseph F;12.12;38.38;31.31;13.13;5.05;83.06;73.94
14233859722134012725;CE 297;Aziz PhD,Tarek Nadim;13.84;37.74;35.85;9.43;3.14;84.11;74.97
7186510267632920498;CE 297;Smith,Benjamin Charles;25.00;40.38;25.00;7.69;1.92;87.13;77.88
12253229549017717831;CE 297;Liu,Min;24.14;51.72;17.24;6.90;0.00;88.55;79.31
874658262122994672;CE 297;Leming,Michael Lloyd;11.32;54.72;24.53;5.66;3.77;85.53;76.42
874907986974015483;CE 301;Rasdorf,William John;36.07;40.16;18.03;4.92;0.82;89.93;80.57
7311674504925312008;CE 301;Miller,Jonathan William;32.03;42.19;14.84;7.03;3.91;88.46;79.14
13586364136174067174;CE 301;Uddin,S M Jamil;62.22;31.11;2.22;2.22;2.22;94.51;84.89
9057579992530720388;CE 301;Bonilla Ventura,Minerva Lissette;14.58;60.42;18.75;2.08;4.17;87.06;77.92
2840670054326496744;CE 305;Findley,Daniel J;22.73;68.18;9.09;0.00;0.00;90.59;81.36
4895092448000326616;CE 305;List,George F;26.12;66.42;7.46;0.00;0.00;91.13;81.87
5243864726227463519;CE 305;Hajbabaie,Ali;35.66;39.86;19.58;4.90;0.00;89.99;80.63
3204261422905793141;CE 305;Williams Jr,Billy M;28.08;54.68;15.27;0.99;0.99;90.07;80.79
1168048056649211006;CE 305;Stone,John R.;30.00;54.00;13.00;2.00;1.00;90.30;81.00
826315076499000107;CE 305;Tanvir,Shams;30.95;57.14;9.52;2.38;0.00;90.98;81.67
10676313957497157690;CE 305;Hummer,Joseph E;26.96;50.43;13.91;3.48;5.22;88.31;79.04
8808334740787245644;CE 305;Arocho Rosa,Ingrid del Mar;25.64;43.59;20.51;5.13;5.13;87.21;77.95
8829577697556088830;CE 313;Mabry,Nehemiah J.;11.11;37.04;37.04;7.41;7.41;82.81;73.70
4718160021472626309;CE 313;Malladi,Haritha;8.22;32.88;36.99;9.59;12.33;80.59;71.51
2941410212863242018;CE 313;Tayebali,Akhtarhusein A;11.18;26.32;35.53;10.53;16.45;79.64;70.53
14159398705885422142;CE 313;Rahman,M. Shamimur;10.34;22.66;47.29;13.79;5.91;80.88;71.77
