Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1163558161314875427;CH 100;Petrovich,Lori M;39.80;47.96;10.20;0.00;2.04;91.74;82.35
17578713904578041817;CH 100;Banks,Alton Joseph;14.71;50.00;22.06;1.47;11.76;84.59;75.44
13360853064305067701;CH 101;Kramer,Kirsten;25.31;28.55;24.23;12.04;9.88;83.99;74.74
8627044110806657550;CH 101;Thapliyal,Veena;66.45;21.29;9.03;1.72;1.51;94.61;84.95
7393517434918838647;CH 101;Fowler,Daniel;31.56;34.15;21.38;8.61;4.30;87.32;78.01
6262396733607119502;CH 101;Sultana,Nigar  ;79.73;16.44;2.93;0.23;0.68;97.23;87.43
3025021277576656406;CH 101;Varner,Travis Peter;35.96;30.12;21.85;7.19;4.88;87.87;78.51
12253889226999178638;CH 101;Petrovich,Lori M;33.48;30.85;18.57;9.21;7.89;86.62;77.28
10440846907979069720;CH 101;Lalloo,Naish  ;40.75;34.75;15.31;5.46;3.73;89.74;80.33
15854693171835504791;CH 101;Martin,Marion R;37.66;32.70;21.02;5.11;3.50;88.97;79.59
3894666395444301896;CH 101;Ghiladi,Reza A;22.08;35.93;30.79;5.75;5.44;85.57;76.35
11134488487621677691;CH 101;Maggard,Paul Anthony;37.46;31.86;19.91;6.78;3.98;88.58;79.20
8071120082004619901;CH 101;Sremaniak,Laura E;21.27;29.64;29.64;10.63;8.82;83.60;74.39
2196599790157512893;CH 101;Ison,Ana;21.50;25.26;29.69;10.58;12.97;82.39;73.17
2368722782052947006;CH 101;McCarty,Gregory S;27.64;39.02;25.61;3.66;4.07;87.53;78.25
11044865925222333508;CH 101;Del Negro,Lori;32.98;42.15;15.87;4.76;4.23;88.82;79.49
8870133413964822361;CH 101;Neyhart,Gregory Allen;29.00;26.00;22.00;13.00;10.00;84.39;75.10
6655313446654282277;CH 101;Brown,Philip;12.48;25.78;50.90;7.06;3.78;82.74;73.61
7002180182810664510;CH 101;Rabah,Ghada Abed;33.78;34.11;22.30;5.16;4.66;88.06;78.72
15029242998611959835;CH 101;Jakubikova,Elena;14.96;32.10;29.41;11.60;11.93;81.81;72.66
1779491294581719431;CH 101;Folmer,Jacob Cornelis Willem;19.11;30.64;32.78;12.03;5.44;83.79;74.60
5928737521063152000;CH 101;Weare,Walter Warren;7.98;34.94;35.54;12.80;8.73;81.14;72.06
1652173588222928036;CH 101;Feducia,Jeremiah;24.04;39.23;24.04;9.14;3.54;86.35;77.11
10123619826837367371;CH 101;Bowden,Edmond Francis;26.18;25.89;24.85;11.09;11.98;83.58;74.32
3307027694046249807;CH 101;Banks,Alton Joseph;40.51;36.71;14.77;4.64;3.38;90.04;80.63
16077445992691980771;CH 101;Canelas,Dorian A;21.70;37.02;24.68;8.94;7.66;84.83;75.62
6466393184161575996;CH 101;Ison,Elon Ayinde;24.00;29.33;28.00;13.33;5.33;84.57;75.33
12863162964186769166;CH 101;Smirnova,Tatyana I.;23.81;23.81;38.10;9.52;4.76;84.48;75.24
12895738537674764458;CH 101;Bigham,Eric C;19.10;32.58;29.21;12.36;6.74;83.69;74.49
13977603510788114445;CH 102;Fowler,Daniel;85.00;11.67;3.33;0.00;0.00;98.02;88.17
9058114119313991681;CH 102;Petrovich,Lori M;81.36;10.17;6.78;1.69;0.00;96.93;87.12
8050188637634494999;CH 102;Trainor,Zach  ;94.74;5.26;0.00;0.00;0.00;99.42;89.47
