Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15499608827068625744;CHE 205;Bullard,Lisa G;32.51;39.41;19.21;2.46;6.40;88.24;78.92
14238665075896220466;CHE 205;Dickey,Michael David;28.42;32.79;22.40;6.56;9.84;85.62;76.34
470627254838299282;CHE 205;Granger,Leah  ;35.35;33.33;18.18;10.10;3.03;88.14;78.79
18437717585885703371;CHE 205;Golpour,Hassan;26.53;59.18;8.16;2.04;4.08;89.47;80.20
1966082976136102778;CHE 205;Rumyantsev,Artem;28.17;50.70;15.49;2.82;2.82;89.14;79.86
186701263976884587;CHE 205;Abolhasani,Milad;30.21;37.50;20.83;6.25;5.21;87.43;78.13
3915159481875407473;CHE 205;Wei,Qingshan;34.86;41.28;15.60;1.83;6.42;88.98;79.63
13803817711693652937;CHE 205;Tang,Wentao;22.22;16.67;38.89;5.56;16.67;81.44;72.22
17862278238871090020;CHE 205;Hsiao,Lilian C;30.54;38.32;23.95;5.99;1.20;88.41;79.10
1495158940046149160;CHE 205;San Miguel,Adriana;28.74;41.38;16.09;6.90;6.90;87.10;77.82
12290903622056328466;CHE 205;Crook,Nathan Charles;44.44;34.72;11.11;4.17;5.56;90.28;80.83
3909187514133281692;CHE 205;Santiso,Erik Emilio;28.87;37.63;23.71;7.22;2.58;87.59;78.30
3320159517619583976;CHE 205;Menegatti,Stefano;21.67;50.00;18.33;5.00;5.00;87.05;77.83
3315070087060322209;CHE 205;Joshipura,Ishan Dhiren;53.85;30.77;7.69;7.69;0.00;92.62;83.08
17417901972015920977;CHE 205;Keung,Albert Jun Qi;43.06;43.06;12.50;0.00;1.39;92.07;82.64
10522682659982783860;CHE 205;Beisel,Chase;30.65;46.77;18.28;1.08;3.23;89.36;80.05
16666173741483609656;CHE 205;Cooper,Matthew Ellis;50.00;31.25;12.50;0.00;6.25;91.38;81.88
2795561687365532571;CHE 205;Reeves,Gregory T;29.55;32.73;25.91;7.73;4.09;86.89;77.59
13624211499585266230;CHE 205;Li,Fanxing;19.83;45.45;27.27;7.44;0.00;86.97;77.77
14716340759979679020;CHE 205;Genzer,Jan;25.81;29.03;17.74;12.90;14.52;83.13;73.87
16888483320243297418;CHE 225;Cooper,Matthew Ellis;61.95;27.43;9.73;0.88;0.00;94.66;85.04
10930606253424535285;CHE 225;Golpour,Hassan;70.71;23.23;6.06;0.00;0.00;96.17;86.46
3023109151268700916;CHE 225;Wei,Qingshan;82.72;15.43;1.23;0.00;0.62;97.79;87.96
6560183885572209187;CHE 225;Crook,Nathan Charles;53.95;28.95;13.16;3.95;0.00;92.83;83.29
9906417765984948414;CHE 225;Lim,Phooi K.;50.00;37.84;8.11;1.35;2.70;92.61;83.11
2431617539675633482;CHE 225;Genzer,Jan;45.78;44.58;7.83;1.20;0.60;92.83;83.37
1347904081878035997;CHE 225;Reeves,Gregory T;53.33;37.04;5.93;0.74;2.96;93.24;83.70
10303211249349843941;CHE 225;Rao,Balaji;31.14;37.28;26.32;2.19;3.07;88.43;79.12
4605750715763382695;CHE 225;Beisel,Chase;60.75;35.51;0.93;0.00;2.80;94.75;85.14
11327303613157967671;CHE 225;Lamb,H Henry;24.59;37.70;34.43;1.64;1.64;87.44;78.20
6472732643456109376;CHE 311;Hsiao,Lilian C;37.10;45.16;17.74;0.00;0.00;91.31;81.94
9259149698868717934;CHE 311;Efimenko,Kirill;34.15;50.61;13.41;1.22;0.61;90.99;81.65
5206100468901606584;CHE 311;Menegatti,Stefano;76.12;17.91;1.49;1.49;2.99;96.03;86.27
4681946391962878881;CHE 311;Khan,Saad A;37.97;58.29;3.74;0.00;0.00;92.80;83.42
6652497948452508515;CHE 311;Fedkiw,Peter S.;19.05;63.49;15.87;1.59;0.00;89.19;80.00
14744239546845042202;CHE 311;Westmoreland,Phil;25.41;61.48;11.48;1.64;0.00;90.32;81.07
3899453345102539942;CHE 311;Santiso,Erik Emilio;49.53;34.58;13.08;1.87;0.93;92.49;82.99
11081022254792811087;CHE 311;Abolhasani,Milad;29.55;52.27;11.36;4.55;2.27;89.52;80.23
5665197699768938400;CHE 311;Parsons,Gregory N;21.05;42.11;26.32;5.26;5.26;86.05;76.84
8731188776191103093;CHE 311;Cooper,Matthew Ellis;29.80;52.32;14.57;1.99;1.32;90.03;80.73
16743907955009370722;CHE 311;Henderson,Wesley;47.92;32.29;15.63;1.04;3.13;91.56;82.08
10290078406365207046;CHE 312;Kelly,Robert M;29.47;54.74;9.47;1.05;5.26;89.51;80.21
5816329859383031760;CHE 312;Westmoreland,Phil;21.09;46.94;27.21;2.72;2.04;87.44;78.23
4878377581453743566;CHE 312;Li,Fanxing;22.79;45.59;25.00;2.94;3.68;87.32;78.09
17277554014418544658;CHE 312;Hsiao,Lilian C;39.00;45.00;13.00;3.00;0.00;91.39;82.00
1893734548709178358;CHE 312;Menegatti,Stefano;78.79;18.18;3.03;0.00;0.00;97.36;87.58
4992823469327423564;CHE 312;Neal,Luke Michael;39.13;30.43;26.09;0.00;4.35;89.39;80.00
3917575671930456683;CHE 312;Khan,Saad A;41.52;47.37;11.11;0.00;0.00;92.46;83.04
5133520427700931807;CHE 312;Abolhasani,Milad;28.81;54.24;16.95;0.00;0.00;90.47;81.19
8790276077158979315;CHE 312;Lamb,H Henry;31.58;48.42;13.68;6.32;0.00;89.84;80.53
6548711989612137950;CHE 312;Santiso,Erik Emilio;75.28;22.47;2.25;0.00;0.00;97.06;87.30
3038040718213327714;CHE 312;Henderson,Wesley;32.13;42.53;22.17;2.71;0.45;89.64;80.32
11422640162316164269;CHE 312H;Henderson,Wesley;72.22;27.78;0.00;0.00;0.00;96.94;87.22
16831409104353327291;CHE 315;Velev,Orlin Dimitrov;40.00;43.67;15.10;0.82;0.41;91.60;82.20
9323315263517234242;CHE 315;Tang,Wentao;30.91;29.09;30.91;9.09;0.00;87.49;78.18
10741213208763445651;CHE 315;Hall,Carol K.;34.12;28.24;23.53;7.06;7.06;86.87;77.53
1725071735505168621;CHE 315;Cooper,Matthew Ellis;57.47;24.14;14.94;2.30;1.15;93.02;83.45
10800954247653186990;CHE 315;Granger,Leah  ;47.54;36.07;14.75;0.00;1.64;92.26;82.79
5464610324969118185;CHE 315;Parsons,Gregory N;33.80;36.62;15.49;9.86;4.23;87.93;78.59
16095523968381037078;CHE 315;Lim,Phooi K.;24.14;46.55;29.31;0.00;0.00;88.72;79.48
15588173715124510294;CHE 315;Gubbins,Keith E;39.58;41.67;13.54;0.00;5.21;90.44;81.04
2040876901999039308;CHE 315;Santiso,Erik Emilio;50.00;38.89;11.11;0.00;0.00;93.39;83.89
6765598474905255841;CHE 316;Santiso,Erik Emilio;34.67;48.00;13.33;0.00;4.00;90.28;80.93
7114807341730284717;CHE 316;Hall,Carol K.;29.58;39.44;23.94;4.23;2.82;88.17;78.87
347263664220773710;CHE 316;Granger,Leah  ;46.15;40.38;11.54;1.92;0.00;92.54;83.08
11649681197451176660;CHE 316;Dickey,Michael David;28.04;44.86;22.43;0.93;3.74;88.53;79.25
1622570964302114992;CHE 316;Velev,Orlin Dimitrov;47.29;39.53;13.18;0.00;0.00;92.88;83.41
17054309979468869427;CHE 316;Spontak,Richard J;24.41;40.94;32.28;2.36;0.00;87.98;78.74
13389623394586107886;CHE 316;Vento,Justin  ;51.72;27.59;10.34;0.00;10.34;90.55;81.03
9906964936191790736;CHE 316;Lim,Phooi K.;45.61;42.11;8.77;0.00;3.51;92.09;82.63
8160978234978084650;CHE 330;Golpour,Hassan;64.63;33.33;1.36;0.68;0.00;95.84;86.19
1348301308657875608;CHE 330;Lim,Phooi K.;27.39;68.79;3.82;0.00;0.00;91.63;82.36
3801186021157499142;CHE 330;Cooper,Matthew Ellis;56.96;40.87;1.74;0.00;0.43;94.96;85.39
11302213506235033694;CHE 331;Golpour,Hassan;91.84;8.16;0.00;0.00;0.00;99.10;89.18
8493758179477811798;CHE 331;Cooper,Matthew Ellis;77.78;22.22;0.00;0.00;0.00;97.56;87.78
4490239295783393215;CHE 331;Lim,Phooi K.;34.48;48.28;17.24;0.00;0.00;91.07;81.72
5310494510079379622;CHE 395;Bullard,Lisa G;75.00;20.59;4.41;0.00;0.00;96.81;87.06
994410110499329103;CHE 395;Rao,Balaji;93.33;6.67;0.00;0.00;0.00;99.27;89.33
529286664131952926;CHE 395;Frye,Aaron;90.48;4.76;4.76;0.00;0.00;98.48;88.57
16976002986526552012;CHE 395;Haugh,Jason M;48.15;44.44;3.70;0.00;3.70;92.81;83.33
8577035933660078903;CHE 395;Crook,Nathan Charles;82.00;14.00;4.00;0.00;0.00;97.62;87.80
9262496659032887785;CHE 395;Hsiao,Lilian C;81.69;5.63;9.86;0.00;2.82;96.15;86.34
9764762389536669105;CHE 395;Cooper,Matthew Ellis;96.61;1.69;1.69;0.00;0.00;99.46;89.49
5886018206893471982;CHE 395;Ollis,David F;91.80;6.56;0.00;0.00;1.64;98.61;88.69
204267422594502895;CHE 395;Dickey,Michael David;88.46;9.62;1.92;0.00;0.00;98.54;88.65
11203233061906184941;CHE 395;Peretti,Steven W.;75.76;24.24;0.00;0.00;0.00;97.33;87.58
14262436435316186389;CHE 395;Westmoreland,Phil;85.29;13.24;1.47;0.00;0.00;98.24;88.38
12086402951487742744;CHE 435;San Miguel,Adriana;30.91;48.48;16.97;3.03;0.61;89.92;80.61
14596976788288950651;CHE 435;Tang,Wentao;27.91;27.91;30.23;9.30;4.65;85.79;76.51
1144021087613103798;CHE 435;Keung,Albert Jun Qi;53.28;36.24;9.17;1.31;0.00;93.68;84.15
8956661468739949369;CHE 435;Peretti,Steven W.;48.90;32.35;15.07;2.21;1.47;91.99;82.50
222485382583278531;CHE 435;Suresh Babu,Arun Vishnu;10.00;60.00;30.00;0.00;0.00;87.10;78.00
10403970649887449557;CHE 435;Reeves,Gregory T;48.38;40.43;10.11;0.72;0.36;93.06;83.57
6171064672943984036;CHE 435;Jasper,Warren J;40.68;38.98;10.17;5.08;5.08;89.92;80.51
3347439837826033532;CHE 446;Granger,Leah  ;43.96;40.66;12.09;3.30;0.00;91.97;82.53
13218686322504982435;CHE 446;Neal,Luke Michael;33.02;50.00;14.15;0.94;1.89;90.46;81.13
4096210495720181416;CHE 446;Haugh,Jason M;36.36;49.70;13.94;0.00;0.00;91.61;82.24
15919194512606155638;CHE 446;San Miguel,Adriana;23.46;40.78;29.61;6.15;0.00;87.39;78.16
17917293483112039119;CHE 446;Keung,Albert Jun Qi;36.13;48.17;14.14;1.05;0.52;91.19;81.83
16950989911926617306;CHE 446;Lamb,H Henry;22.92;41.67;35.42;0.00;0.00;87.98;78.75
17189439023506404322;CHE 446;Parsons,Gregory N;41.38;46.31;9.36;2.96;0.00;92.02;82.61
15471613549098630712;CHE 446;Rao,Balaji;22.42;48.48;21.82;3.64;3.64;87.47;78.24
12871141748394011857;CHE 446;Lim,Phooi K.;12.87;35.64;38.61;4.95;7.92;83.19;74.06
7854422440344221209;CHE 446;Li,Fanxing;32.50;35.00;25.00;5.00;2.50;88.33;79.00
6546972704243713910;CHE 447;Lamb,H Henry;37.01;42.86;17.53;2.60;0.00;90.80;81.43
17695067859949220556;CHE 447;Keung,Albert Jun Qi;24.39;58.54;14.63;0.00;2.44;89.49;80.24
16774281169891711101;CHE 447;Rao,Balaji;23.45;39.31;32.41;3.45;1.38;87.23;78.00
6371339633331851521;CHE 447;Haugh,Jason M;29.03;58.06;3.23;3.23;6.45;89.29;80.00
7370342530675519592;CHE 448;Haugh,Jason M;53.74;40.14;6.12;0.00;0.00;94.30;84.76
8035150880501224912;CHE 450;Cooper,Matthew Ellis;76.52;20.12;2.74;0.61;0.00;97.02;87.26
6053702396481268210;CHE 450;Li,Fanxing;59.83;35.47;4.70;0.00;0.00;95.11;85.51
5718130927821813612;CHE 450;Peretti,Steven W.;48.43;40.36;9.87;1.12;0.22;93.05;83.57
9834396441393003912;CHE 451;Bullard,Lisa G;89.94;9.20;0.86;0.00;0.00;98.81;88.91
8883736899134344020;CHE 451;Peretti,Steven W.;47.54;37.70;11.48;3.28;0.00;92.43;82.95
10021633419259453335;CHE 452;Crook,Nathan Charles;83.33;16.67;0.00;0.00;0.00;98.17;88.33
555241442052178143;CHE 460;Parsons,Gregory N;64.41;32.20;3.39;0.00;0.00;95.75;86.10
8131795169552739468;CHE 461;Spontak,Richard J;41.67;47.22;11.11;0.00;0.00;92.47;83.06
3127499931986438822;CHE 461;Genzer,Jan;26.00;68.00;6.00;0.00;0.00;91.26;82.00
8557211651771453116;CHE 462;Efimenko,Kirill;50.00;33.33;8.33;8.33;0.00;92.00;82.50
10664761275470980212;CHE 462;Velev,Orlin Dimitrov;58.82;35.29;0.00;0.00;5.88;93.71;84.12
1762541534861564499;CHE 463;Selle,Kurt;50.00;50.00;0.00;0.00;0.00;94.50;85.00
4101643560745333653;CHE 463;Rutter PhD,Charles David;72.73;18.18;9.09;0.00;0.00;96.09;86.36
6283119692024074925;CHE 463;Pancorbo,Jennifer;66.67;25.00;8.33;0.00;0.00;95.50;85.83
645156665753359610;CHE 465;Velev,Orlin Dimitrov;70.18;24.56;3.51;0.00;1.75;95.84;86.14
18116010667387271941;CHE 467;Khan,Saad A;34.62;61.54;3.85;0.00;0.00;92.42;83.08
7415835118139471707;CHE 497;Bullard,Lisa G;98.44;1.56;0.00;0.00;0.00;99.83;89.84
5854600173218668021;CHE 498;Bullard,Lisa G;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18433879532762504780;CHE 525;Reeves,Gregory T;57.14;42.86;0.00;0.00;0.00;95.29;85.71
16740986814053278077;CHE 531;Golpour,Hassan;92.31;7.69;0.00;0.00;0.00;99.15;89.23
16844390385345051435;CHE 532;Golpour,Hassan;60.00;20.00;20.00;0.00;0.00;93.60;84.00
16499460508067908064;CHE 532;Cooper,Matthew Ellis;66.67;33.33;0.00;0.00;0.00;96.33;86.67
10824463615291265908;CHE 543;Spontak,Richard J;51.72;48.28;0.00;0.00;0.00;94.69;85.17
5233928146272244514;CHE 543;Genzer,Jan;63.64;33.33;3.03;0.00;0.00;95.70;86.06
6372874559011480372;CHE 546;Granger,Leah  ;40.00;60.00;0.00;0.00;0.00;93.40;84.00
3844633822562488727;CHE 546;Neal,Luke Michael;42.86;28.57;28.57;0.00;0.00;90.86;81.43
792950282350667765;CHE 546;Rao,Balaji;20.00;60.00;20.00;0.00;0.00;89.20;80.00
17756595490316388310;CHE 546;Parsons,Gregory N;60.00;40.00;0.00;0.00;0.00;95.60;86.00
7296912854479668361;CHE 548;Haugh,Jason M;66.67;33.33;0.00;0.00;0.00;96.33;86.67
13513503451786206922;CHE 551;Reeves,Gregory T;58.33;29.17;8.33;4.17;0.00;93.75;84.17
2154237975868239102;CHE 551;Haugh,Jason M;76.81;20.29;1.45;1.45;0.00;97.01;87.25
16392950042663652922;CHE 551;Rao,Balaji;54.65;34.88;6.98;0.00;3.49;93.27;83.72
13384582754360335453;CHE 551;Beisel,Chase;83.33;16.67;0.00;0.00;0.00;98.17;88.33
16354407662725364697;CHE 551;Lamb,H Henry;33.33;61.90;4.76;0.00;0.00;92.19;82.86
4875312617625370104;CHE 552;Crook,Nathan Charles;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2517079807927692338;CHE 560;Parsons,Gregory N;93.33;6.67;0.00;0.00;0.00;99.27;89.33
6791937490475086639;CHE 563;Selle,Kurt;100.00;0.00;0.00;0.00;0.00;100.00;90.00
