Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4911871639099386746;CLA 110;De Simoni,Alberto;33.33;41.67;8.33;4.17;12.50;87.25;77.92
6234831608630673643;CLA 110;Heinen,Dustin Ryan;62.50;0.00;12.50;12.50;12.50;88.38;78.75
12315553690582329513;CLA 115;De Simoni,Alberto;70.15;22.39;5.97;0.75;0.75;95.75;86.04
8285018733835803072;CLA 115;Mathews,Gary Lynn;47.52;37.59;9.22;2.84;2.84;91.89;82.41
2126567165148130046;CLA 115;Heinen,Dustin Ryan;69.47;24.21;3.16;1.05;2.11;95.48;85.79
17160556115967108009;CLA 115;Myers,Sara;41.25;28.75;16.25;7.50;6.25;88.54;79.13
17993495111388918303;CLA 115;Myers,Micah Young;59.12;27.74;8.03;4.38;0.73;93.61;84.01
6117170138545768952;CLA 210;Heinen,Dustin Ryan;28.16;33.21;19.13;9.03;10.47;85.24;75.96
7482987339668453176;CLA 210;Ellis,Tyler;50.00;25.47;11.32;6.60;6.60;90.07;80.57
17456849456439672017;CLA 210;Myers,Micah Young;45.86;30.83;17.29;5.26;0.75;91.04;81.58
73528945249319732;CLA 215;Mathews,Gary Lynn;71.43;23.81;0.00;0.00;4.76;95.43;85.71
9968289297245660179;CLA 320;De Simoni,Alberto;80.82;13.70;5.48;0.00;0.00;97.34;87.53
1529087900001035571;CLA 320;Mathews,Gary Lynn;62.30;31.15;4.92;0.00;1.64;94.87;85.25
13619362431955467309;CLA 320;Heinen,Dustin Ryan;64.44;17.78;8.89;6.67;2.22;93.20;83.56
6851434128582855485;CLA 325;Heinen,Dustin Ryan;47.30;29.73;14.86;2.70;5.41;90.55;81.08
10203688284891918583;CLA 325;Myers,Micah Young;56.25;43.75;0.00;0.00;0.00;95.19;85.63
