Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
8568968996105500447;COM 103;Klem,Rachel A;87.63;10.31;2.06;0.00;0.00;98.43;88.56
18247975934520142515;COM 103;Hall,John;42.86;35.71;14.29;7.14;0.00;90.86;81.43
16789857022789705204;COM 110;Nguyen,David  ;90.00;10.00;0.00;0.00;0.00;98.90;89.00
1475998152703298484;COM 110;Woods,Kurtis Martire;69.77;16.28;6.98;4.65;2.33;94.35;84.65
10255210405043785182;COM 110;He,Yezi;97.50;0.00;0.00;2.50;0.00;99.23;89.25
5731295073241740656;COM 110;Qiao,Jinzhe;86.15;9.23;3.08;1.54;0.00;97.86;88.00
17144229066635979279;COM 110;Abiona,Richard Adebowale;92.31;7.69;0.00;0.00;0.00;99.15;89.23
15721763890263280158;COM 110;Akorli,Ernestine Emefa;97.62;0.00;0.00;2.38;0.00;99.26;89.29
6433273784364031863;COM 110;Mueller,Katelin Aspre;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14068722499949755890;COM 110;Wahba,Jodi Sauders;40.00;51.67;8.33;0.00;0.00;92.57;83.17
5944919654895457405;COM 110;Murphy,Kirsten Angeline;84.62;12.82;0.00;0.00;2.56;97.54;87.69
1037580946771281212;COM 110;Vincent,Nicole Raegina;76.32;10.53;7.89;0.00;5.26;95.03;85.26
397418696523489692;COM 110;Sopher,Mindy B.;48.21;30.36;16.07;0.00;5.36;91.09;81.61
1897025603705935996;COM 110;Ghasemzade,Sara;90.00;10.00;0.00;0.00;0.00;98.90;89.00
1091792818322560987;COM 110;Maldonado,Chandra Ann;91.23;8.77;0.00;0.00;0.00;99.04;89.12
4749751889265325490;COM 110;Worth,Tory;95.00;0.00;0.00;2.50;2.50;98.20;88.25
2971928496835899068;COM 110;Rose,Alycen;94.44;5.56;0.00;0.00;0.00;99.39;89.44
3029522421930243574;COM 110;Risko,Morgan  ;95.12;4.88;0.00;0.00;0.00;99.46;89.51
14640715671122917391;COM 110;Matthews,Julia Maggie;66.13;25.81;8.06;0.00;0.00;95.47;85.81
14012178286088648233;COM 110;Howell,Iris  ;85.00;12.50;0.00;0.00;2.50;97.60;87.75
7090438485222765551;COM 110;Stout,Bryce  ;85.71;8.93;3.57;0.00;1.79;97.54;87.68
12224665333927607785;COM 110;Jannat,Tasnim;95.08;3.28;1.64;0.00;0.00;99.30;89.34
15065092774697468545;COM 110;Stanley,Emma Jayne;70.00;25.00;5.00;0.00;0.00;96.20;86.50
1321329109483580898;COM 110;Fennimore,Jack;69.23;19.23;3.85;1.92;5.77;94.12;84.42
