Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15424702507043920445;COP 100;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11946052084264286044;COP 100;Wade,Robb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1185464941538727609;COP 101;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12105826163420919728;COP 200;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6400098004960468348;COP 200;Wade,Robb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13988110790801437026;COP 300;Wade,Robb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8907187014480540382;COP 300;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12669466182720402719;COP 400;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2385778999493937647;COP 500;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11267041670575755911;COP 500;Wade,Robb;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6249952890002457945;COP 500;Matney,Susan M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17916412435164157865;COP 500;Bukhay,Bessie Dudley;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16932387548292225084;COP 501;Bell,Arnold Steven;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1516838264682631942;COP 501;Matney,Susan M.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2111373658182341819;COP 501;Bukhay,Bessie Dudley;0.00;0.00;0.00;0.00;0.00;0.00;0.00
