Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11912606770481571270;COS 100;Falk,Lisa;88.16;7.89;3.07;0.88;0.00;98.21;88.33
6666059831888096076;COS 100;Thomas,Carrie;75.00;15.28;5.56;2.78;1.39;95.72;85.97
18195128437148750237;COS 100;Mader,Gregory Charles;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2834367896914890758;COS 100;Rich,Sabina  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4036605456108414642;COS 110;Simpson,Jamila Rashida;85.44;6.80;4.85;0.00;2.91;97.04;87.18
14765052600200562209;COS 295;Hollingshead,Justine R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8222503159275008866;COS 295;Alexieff,Elizabeth W;97.92;0.00;0.00;0.00;2.08;99.15;89.17
16662762386300572834;COS 295;Ramirez,Melissa Virginia;70.00;30.00;0.00;0.00;0.00;96.70;87.00
11357477167297524282;COS 295;Wade,Wesley Jackson;88.46;0.00;3.85;0.00;7.69;96.04;86.15
17214796566126090828;COS 295;Grays,Shaefny;86.67;13.33;0.00;0.00;0.00;98.53;88.67
7923731268978441690;COS 295;Simpson,Jamila Rashida;87.78;8.89;2.22;0.00;1.11;98.10;88.22
4908348011610377888;COS 295;Bullock,Marcy Lee;84.93;8.22;3.42;0.68;2.74;97.04;87.19
2587720204876334885;COS 295;Thomas,Carrie;73.97;19.18;4.11;1.37;1.37;96.04;86.30
11432762599507187190;COS 295A;Anderson,Jill;90.57;6.92;1.26;0.00;1.26;98.46;88.55
3206789101313039198;COS 295A;Seiling,Erin;91.67;4.76;2.38;0.00;1.19;98.49;88.57
5956387691448654104;COS 295A;Lamb,Susan Smith;94.29;4.29;0.00;1.43;0.00;99.09;89.14
