Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2915373356311340348;CRD 701;Nikoi,Nii Kotei;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12395825432506784308;CRD 701;Hessler,Jennifer Marie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9011234235806340682;CRD 701;Johnston,Andrew Robert;96.77;3.23;0.00;0.00;0.00;99.65;89.68
13087275935256240987;CRD 701;Wiley,Steve;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4240580667939968481;CRD 701;Bollmer,Grant;84.62;15.38;0.00;0.00;0.00;98.31;88.46
18145863173852020213;CRD 701;Packer,Jeremy;93.55;3.23;3.23;0.00;0.00;98.97;89.03
7997300212922930522;CRD 701;Rieder,David M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10509369909799912434;CRD 702;Rieder,David M;96.97;0.00;0.00;0.00;3.03;98.76;88.79
8171165792993384918;CRD 702;Goodwin,Jean;90.91;9.09;0.00;0.00;0.00;99.00;89.09
6071972494223758037;CRD 702;Burgess,Helen Jane;65.63;34.38;0.00;0.00;0.00;96.22;86.56
15769242241462359216;CRD 702;Gallagher,Victoria J;75.00;20.83;4.17;0.00;0.00;96.83;87.08
10654395795180277472;CRD 702;May,Matthew Scott;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16926986214425876240;CRD 702;Miller,Carolyn Rae;77.27;22.73;0.00;0.00;0.00;97.50;87.73
3160768880931232828;CRD 702;Zagacki,Kenneth S.;76.47;23.53;0.00;0.00;0.00;97.41;87.65
9079316190889103739;CRD 703;Ertem Eray,Tugce;77.78;22.22;0.00;0.00;0.00;97.56;87.78
15835242483389339869;CRD 703;Binder,Andrew Ray;63.16;36.84;0.00;0.00;0.00;95.95;86.32
15552669622377671373;CRD 703;de Souza e Silva,Adriana Araujo;86.11;8.33;2.78;2.78;0.00;97.64;87.78
11899674979916740485;CRD 703;Swarts,Jason;73.33;26.67;0.00;0.00;0.00;97.07;87.33
15802574037087175630;CRD 703;Johnson,Melissa A;75.76;24.24;0.00;0.00;0.00;97.33;87.58
1858396871172837515;CRD 703;Keyton,Joann;100.00;0.00;0.00;0.00;0.00;100.00;90.00
