Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7487610656827907846;CS 10;Spears,Janet F;30.77;10.26;15.38;12.82;30.77;79.05;69.74
8168823772433171346;CS 10;Erickson,Emily Joan;45.45;18.18;9.09;13.64;13.64;86.27;76.82
6475784257052335767;CS 101;Erickson,Emily Joan;40.82;18.37;8.16;14.29;18.37;84.31;74.90
15223922948451638503;CS 101;Unruh Snyder,Lori June;52.27;18.18;6.82;13.64;9.09;88.61;79.09
5177733032374811501;CS 101;Spears,Janet F;34.15;19.51;17.07;7.32;21.95;83.00;73.66
3535697929560435868;CS 103;Unruh Snyder,Lori June;83.33;5.56;0.00;0.00;11.11;94.83;85.00
558441619766060288;CS 103;Spears,Janet F;95.12;2.44;0.00;0.00;2.44;98.73;88.78
2957944216159218214;CS 11;Spears,Janet F;12.17;28.70;29.57;10.43;19.13;79.56;70.43
18358950861606908365;CS 11;Patterson,Robert P.;32.26;12.90;19.35;9.68;25.81;80.94;71.61
1700137777205210427;CS 111;Johnson,Amy M;13.58;30.86;27.16;22.22;6.17;81.48;72.35
3326033858674206717;CS 111;Unruh Snyder,Lori June;71.43;28.57;0.00;0.00;0.00;96.86;87.14
14891301361006179101;CS 111;Patterson,Robert P.;32.33;19.55;19.55;24.81;3.76;84.51;75.19
17090468696217580663;CS 111;Beseli,Amber Lynn;19.23;28.21;30.77;11.54;10.26;82.65;73.46
480885310090519517;CS 111;Lassiter PhD,Bridget Robinson;50.00;32.69;7.69;3.85;5.77;91.23;81.73
8426825835080099719;CS 111;Spears,Janet F;20.31;28.13;35.16;10.94;5.47;83.89;74.69
10253019997492823665;CS 116;Vann,Matthew Christopher;14.58;39.58;25.00;14.58;6.25;83.31;74.17
9992975828396384857;CS 118;Vann,Rachel Atwell;10.84;26.51;27.71;15.66;19.28;78.51;69.40
9173802147332302286;CS 118;Post,Angela Rose;10.34;27.59;37.93;10.34;13.79;80.14;71.03
3441304580559875517;CS 121;Erickson,Emily Joan;25.93;20.37;18.52;20.37;14.81;81.48;72.22
12990352756086231828;CS 122;Erickson,Emily Joan;20.00;33.33;26.67;15.56;4.44;84.09;74.89
4466747141553219414;CS 124;Spears,Janet F;70.83;8.33;16.67;0.00;4.17;93.88;84.17
1247480137199623791;CS 152;Everman,Wesley J;31.48;38.89;22.22;1.85;5.56;88.20;78.89
13611158179404903389;CS 154;Warren Jr,Leon S.;18.67;29.33;30.67;5.33;16.00;82.12;72.93
6018649203451000887;CS 155;Zhou,Qiyu;18.18;59.09;4.55;18.18;0.00;86.91;77.73
13879952527965465659;CS 155;Cooper,Richard J;9.76;34.15;26.83;24.39;4.88;81.05;71.95
17946765414084287762;CS 155;Miller,Grady L.;21.57;41.18;27.45;5.88;3.92;86.27;77.06
10210690605542540411;CS 162;Vann,Matthew Christopher;23.81;23.81;20.95;8.57;22.86;80.95;71.71
821246600048472676;CS 162;Fisher,Loren Ray;25.00;39.06;21.88;6.25;7.81;85.97;76.72
11956789737327573140;CS 163;Jordan,David L;15.79;38.95;20.00;15.79;9.47;82.74;73.58
15471967259981017206;CS 164;Dunphy,Edward James;7.69;26.92;41.35;6.73;17.31;79.17;70.10
15238736563976845212;CS 165;Edmisten,Keith L;26.37;50.55;13.19;5.49;4.40;88.16;78.90
18166321772241040713;CS 166;Heiniger,Ronnie William;28.37;38.30;19.86;9.93;3.55;87.09;77.80
7537624472365533803;CS 166;Spears,Janet F;25.00;28.57;26.19;14.29;5.95;84.49;75.24
14109098495208160746;CS 167;Post,Angela Rose;30.19;24.53;18.87;11.32;15.09;83.64;74.34
2422471134251956525;CS 167;Heiniger,Ronnie William;51.22;34.15;12.20;0.00;2.44;92.68;83.17
3755129382863931763;CS 167;Weisz,P Randall;42.31;13.85;18.46;13.08;12.31;85.50;76.08
2701274844284207296;CS 167;Spears,Janet F;26.58;16.46;30.38;13.92;12.66;82.30;73.04
8360268249207274270;CS 190;Yelverton,Fred H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15746377473992531408;CS 190;Erickson,Emily Joan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12930386138786857841;CS 190;Cooper,Richard J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13862759116367766003;CS 191;Patterson,Robert P.;63.27;28.57;8.16;0.00;0.00;95.14;85.51
14279368239193212316;CS 200;Zhou,Qiyu;13.89;41.67;38.89;2.78;2.78;85.25;76.11
932828291496758773;CS 200;Erickson,Emily Joan;27.27;63.64;9.09;0.00;0.00;91.09;81.82
8458055492890844801;CS 200;Peacock,Charles H.;23.40;53.19;21.28;0.00;2.13;88.81;79.57
13923309698829741330;CS 200;Bowman,Daniel C;22.86;48.57;14.29;5.71;8.57;86.37;77.14
