Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9521100984172594147;CSC 110;Stallmann,Matt;38.00;26.00;20.00;6.00;10.00;86.98;77.60
11765260616475383392;CSC 110;Price,Thomas William;52.56;23.72;10.70;4.65;8.37;90.27;80.74
10824449357426270846;CSC 110;Akram,Bita  ;65.26;17.89;5.26;6.32;5.26;92.81;83.16
17402860908253098289;CSC 110;Barnes,Tiffany M.;56.34;28.17;9.86;0.00;5.63;92.52;82.96
16936716042749532228;CSC 111;Titus,Kim;45.69;42.24;9.48;0.86;1.72;92.39;82.93
3409134943420675837;CSC 111;Jiao,Shuyin;41.57;38.76;14.89;1.12;3.65;90.76;81.35
11865915095906848183;CSC 111;Gaweda,Adam  ;70.28;17.67;6.02;1.61;4.42;94.48;84.78
8846535733208807380;CSC 111;Wright,David R.;44.67;30.93;13.75;6.53;4.12;90.00;80.55
16580067492956407978;CSC 111;Marini,ToniAnn;46.05;27.97;14.97;5.37;5.65;89.80;80.34
8091640426930841966;CSC 112;Marini,ToniAnn;28.32;31.86;21.24;7.08;11.50;85.12;75.84
8759675812726466021;CSC 112;Rodman,Robert David;44.48;29.36;13.37;5.52;7.27;89.27;79.83
382788548603767635;CSC 112;Battestilli,Lina;33.70;45.65;16.30;1.09;3.26;89.88;80.54
13510420818859513109;CSC 112;Anjum,Bushra;17.65;11.76;29.41;0.00;41.18;75.65;66.47
16990124267207644498;CSC 112;Freeh,Vincent W;45.63;36.62;10.42;5.92;1.41;91.37;81.92
648676998456311697;CSC 112;Nelson,Thomas E;37.69;32.69;17.69;3.08;8.85;88.11;78.73
17669333358524265240;CSC 113;Battestilli,Lina;70.93;22.24;5.25;1.05;0.53;95.91;86.20
15112492275579455914;CSC 113;Marini,ToniAnn;43.35;36.87;12.66;4.75;2.37;90.84;81.41
1455368622801345128;CSC 114;Dulberg,Martin S;47.97;21.14;13.01;5.69;12.20;88.18;78.70
11334770315921939689;CSC 116;Schmidt,Jessica Young;46.03;29.37;7.94;7.94;8.73;89.06;79.60
8789066857389831299;CSC 116;Balik,Suzanne M;37.25;37.25;9.80;10.78;4.90;88.49;79.12
4864373084671623369;CSC 116;Mcleod,Sterling;38.79;28.45;12.07;11.21;9.48;86.97;77.59
10449420038431200616;CSC 116;Batista de Melo,Caio;32.63;44.21;5.26;8.42;9.47;87.54;78.21
