Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
601506885880470417;D 100;Grubbs,Allison Elizabeth;80.08;12.29;5.93;0.85;0.85;96.79;86.99
10217790976512952721;D 100;Allen,Tania Leigh;72.32;16.96;7.27;1.04;2.42;95.29;85.57
3285993407305339811;D 100;Liu,Lu;78.91;14.00;4.36;1.64;1.09;96.59;86.80
7230438421542935656;D 100;Marchant Montenegro,Hernan Pedro;62.33;30.89;2.98;1.90;1.90;94.61;84.99
7765805322990640135;D 100;Malecha,Marvin J;68.48;23.22;5.21;1.42;1.66;95.23;85.55
5167707453540646081;D 100A;Malecha,Marvin J;78.69;18.03;0.00;0.00;3.28;96.67;86.89
15881460294315634173;D 101;Queen,Sara Glee;71.77;20.41;4.76;1.36;1.70;95.64;85.92
13674076645548122475;D 101;White,Erin S;68.25;28.57;0.00;1.59;1.59;95.71;86.03
17927828392254493338;D 101;Peterson,Herb Vincent;83.58;8.96;2.99;0.00;4.48;96.55;86.72
1764439018216121384;D 101;Rice,Arthur R;83.33;12.79;1.55;0.39;1.94;97.35;87.52
6490033570918512197;D 101;Malecha,Marvin J;69.08;24.52;5.54;0.43;0.43;95.83;86.14
11063333284453255275;D 102;Rieder,Kathleen Callahan;65.29;25.48;7.01;1.91;0.32;95.00;85.35
2792854891640385292;D 103;Rieder,Kathleen Callahan;51.01;30.74;15.88;1.35;1.01;92.45;82.94
6296539822267003332;D 103;Stephens,Alonzo Theodore;84.30;10.74;4.13;0.00;0.83;97.61;87.77
18403725287338529117;D 104;Van Gorder,Sally;36.36;50.00;13.64;0.00;0.00;91.64;82.27
4321999269960410839;D 104;McDonald,Rosa;31.15;57.38;9.84;0.00;1.64;90.95;81.64
16443048499772697114;D 104;Heffington,Jake;42.37;47.46;10.17;0.00;0.00;92.64;83.22
16894540889319091863;D 104;Bissinger,Michael Robert;37.70;50.82;11.48;0.00;0.00;92.00;82.62
3228149115379834101;D 104;Queen,Sara Glee;57.14;35.71;5.36;0.00;1.79;94.21;84.64
10309036040537991693;D 104;Kelly,Daniel;35.14;51.35;13.51;0.00;0.00;91.51;82.16
11106582838518492067;D 104;Craven,Claire;40.68;50.85;6.78;0.00;1.69;92.29;82.88
14954781952626215476;D 104;Schacht,Marie Jennings;38.46;51.28;10.26;0.00;0.00;92.21;82.82
11359693610633751285;D 104;Magallanes,Fernando H.;56.96;43.04;0.00;0.00;0.00;95.27;85.70
17492595518899085057;D 104;Isenhour,David;52.38;23.81;14.29;0.00;9.52;90.48;80.95
10530135872697835301;D 104;Calabro,Vincent;28.57;67.86;3.57;0.00;0.00;91.79;82.50
2246961245400532837;D 104;Karkow,Christian Andrew;50.00;37.80;12.20;0.00;0.00;93.28;83.78
5542179180738740457;D 104;Martin,Francisco  ;14.29;75.00;10.71;0.00;0.00;89.50;80.36
1820624252327460494;D 104;Marchant Montenegro,Hernan Pedro;85.33;14.67;0.00;0.00;0.00;98.39;88.53
15871531846621942816;D 104;Hooper,Percy Rivera;88.89;7.41;0.00;0.00;3.70;97.67;87.78
13163582223731456284;D 104;Cindric,Michael Anthony;30.77;53.85;15.38;0.00;0.00;90.85;81.54
11519484119504329277;D 104;Piedrafita Iglesias,Santiago J;71.67;28.33;0.00;0.00;0.00;96.88;87.17
1711762630827548766;D 104;Temple,William F.;50.00;50.00;0.00;0.00;0.00;94.50;85.00
3060381492672125891;D 105;Weinstein,Ellen;45.45;48.76;4.96;0.83;0.00;93.34;83.88
11857771138872367193;D 105;Cox,Chandra D;69.33;21.33;4.00;1.33;4.00;94.76;85.07
17939313346155663760;D 105;Oronsaye,Iyare Emmanuel Christopher;57.89;15.79;21.05;5.26;0.00;92.21;82.63
5948133061212849568;D 105;Sun,Yingying;50.00;44.74;2.63;0.00;2.63;93.45;83.95
1577377034220613265;D 105;Calabro,Vincent;50.00;41.67;5.56;0.00;2.78;93.11;83.61
10578878461693559406;D 105;Queen,Sara Glee;51.65;45.05;3.30;0.00;0.00;94.35;84.84
3018068335807709495;D 105;Gill,Carolina;64.10;33.33;2.56;0.00;0.00;95.79;86.15
8081831206027528617;D 105;Karkow,Christian Andrew;40.43;47.87;8.51;2.13;1.06;91.85;82.45
2288661280546241246;D 105;Raymond,Dana Gordon;69.57;26.09;2.17;0.00;2.17;95.78;86.09
18419668540289323335;D 105;Ham,Derek Allen;76.67;20.00;3.33;0.00;0.00;97.10;87.33
6238452209310411846;D 105;Buie,Tim;45.28;47.17;7.55;0.00;0.00;93.23;83.77
17096241422126906045;D 105;Chi,Victoria;43.33;56.67;0.00;0.00;0.00;93.77;84.33
17325633414503689596;D 105;Bissinger,Michael Robert;48.48;45.45;6.06;0.00;0.00;93.73;84.24
7477838554104720655;D 105;Armstrong,Helen Saunders;77.78;22.22;0.00;0.00;0.00;97.56;87.78
8900812465317607656;D 105;Davis,Meredith Joy;51.72;44.83;3.45;0.00;0.00;94.34;84.83
1928037310254906955;D 105;Cindric,Michael Anthony;61.54;38.46;0.00;0.00;0.00;95.77;86.15
9471745866239236560;D 105;Piedrafita Iglesias,Santiago J;91.53;8.47;0.00;0.00;0.00;99.07;89.15
12817961591388703795;D 105;Marchant Montenegro,Hernan Pedro;88.46;11.54;0.00;0.00;0.00;98.73;88.85
8306309402368704151;D 105;Magallanes,Fernando H.;60.00;38.67;1.33;0.00;0.00;95.47;85.87
11859638199200140899;D 105;Temple,William F.;68.97;31.03;0.00;0.00;0.00;96.59;86.90
8416497800483255630;D 105;Rieder,Kathleen Callahan;78.57;17.86;3.57;0.00;0.00;97.29;87.50
18271033345597264341;D 231;Flinchum,Russell Alan;62.50;25.00;6.25;5.00;1.25;93.88;84.25
14363541297038013991;D 231;Liu,Lu;31.58;57.89;10.53;0.00;0.00;91.42;82.11
5745665113708888835;D 231;Raub,Cymbre Quincy;64.73;24.64;9.66;0.48;0.48;94.91;85.27
15585609842522936341;D 292;Gates,Jay R;92.31;7.69;0.00;0.00;0.00;99.15;89.23
6310084098936492677;D 292;Raub,Cymbre Quincy;60.00;0.00;20.00;10.00;10.00;88.60;79.00
2680879121359579922;D 292;Stephens,Alonzo Theodore;78.57;18.25;1.59;0.00;1.59;97.01;87.22
17755273374124541387;D 292B;Stephens,Alonzo Theodore;98.29;1.71;0.00;0.00;0.00;99.81;89.83
