Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5520032097947314955;DAN 120;Beasley,Amy Love;97.06;0.00;2.94;0.00;0.00;99.38;89.41
7328116646640841100;DAN 120;Forbes,Brianna;90.00;10.00;0.00;0.00;0.00;98.90;89.00
7037657622597597531;DAN 202;Mckinney,Zach;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10829727445964842896;DAN 210;Oliver,Christa;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2282650151779755609;DAN 210;Mullins,Tara Zaffuto;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15952097059544317480;DAN 210;Ott,Francine Elizabeth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14558288074804298605;DAN 210;Belk,Autumn Mist;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11030157214489960045;DAN 227;Kagendo,Joy Ireri;86.67;11.11;2.22;0.00;0.00;98.31;88.44
5590564677269216401;DAN 230;Belk,Autumn Mist;63.27;30.61;6.12;0.00;0.00;95.35;85.71
15876683437558516718;DAN 232;Belk,Autumn Mist;60.00;35.00;5.00;0.00;0.00;95.10;85.50
3661273702163840837;DAN 240;Kalb,Macy Renee;97.67;2.33;0.00;0.00;0.00;99.74;89.77
10279948905110018655;DAN 240;Domingue,Peggy S;82.14;17.86;0.00;0.00;0.00;98.04;88.21
437377213457084155;DAN 241;Domingue,Peggy S;72.73;18.18;9.09;0.00;0.00;96.09;86.36
5146101361738488715;DAN 260;Forbes,Brianna;98.21;1.79;0.00;0.00;0.00;99.80;89.82
13417339723857538122;DAN 260;Presswood,Ife Michelle;96.88;3.13;0.00;0.00;0.00;99.66;89.69
1202176893440609361;DAN 260;Ott,Francine Elizabeth;94.87;2.56;0.00;0.00;2.56;98.67;88.72
11387142114132403088;DAN 263;Oliver,Christa;97.14;2.86;0.00;0.00;0.00;99.69;89.71
17959749344069295139;DAN 263;Munday,Virginia;94.12;5.88;0.00;0.00;0.00;99.35;89.41
4066499695360882369;DAN 264;Beaty,Allison Nicole;83.33;11.11;5.56;0.00;0.00;97.61;87.78
1290802570007615080;DAN 264;Oliver,Christa;97.30;0.00;2.70;0.00;0.00;99.43;89.46
7605431570536998063;DAN 264;Beasley,Amy Love;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7917715442391610628;DAN 264;Munday,Virginia;81.25;18.75;0.00;0.00;0.00;97.94;88.13
1186640902346026536;DAN 265;Beaty,Allison Nicole;88.24;11.76;0.00;0.00;0.00;98.71;88.82
7913030334986905752;DAN 265;Oliver,Christa;70.00;30.00;0.00;0.00;0.00;96.70;87.00
18350171854866122980;DAN 265;Munday,Virginia;88.89;0.00;11.11;0.00;0.00;97.67;87.78
3186689561833586574;DAN 272;Mullins,Tara Zaffuto;86.36;13.64;0.00;0.00;0.00;98.50;88.64
