Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
806942931317686465;DDN 685;Davis,Meredith Joy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7506542791175809340;DDN 701;Rider,Traci Rose;92.86;7.14;0.00;0.00;0.00;99.21;89.29
13482315540516442516;DDN 701;Ham,Derek Allen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2963080482642719147;DDN 701;Baran,Perver Korca;71.43;28.57;0.00;0.00;0.00;96.86;87.14
7464855614057985386;DDN 702;Rider,Traci Rose;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10874352363863398887;DDN 702;Baran,Perver Korca;92.00;8.00;0.00;0.00;0.00;99.12;89.20
13096222331201287587;DDN 740;Rider,Traci Rose;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14896682229434556235;DDN 740;Deming,M. Elen;77.78;22.22;0.00;0.00;0.00;97.56;87.78
14856495347707745387;DDN 741;Deming,M. Elen;90.91;9.09;0.00;0.00;0.00;99.00;89.09
8622679678583438782;DDN 741;Liu,Lu;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3083823367816728325;DDN 779;Moore,Robin C.;93.75;6.25;0.00;0.00;0.00;99.31;89.38
13114937104897559329;DDN 795;Deming,M. Elen;85.71;10.71;3.57;0.00;0.00;98.07;88.21
14320955933316394505;DDN 795;Rider,Traci Rose;71.43;14.29;0.00;7.14;7.14;93.29;83.57
4261228839912924299;DDN 795;Rice,Arthur R;96.30;3.70;0.00;0.00;0.00;99.59;89.63
15684331868638527319;DDN 795;Place,Wayne;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14792963494433480142;DDN 795;McCoy,Emily;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16861190924335245558;DDN 795;Abrams,Robin Fran;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2522924272519697773;DDN 795;Liu,Lu;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7376046127213160911;DDN 795;Mouat Croxatto,Cecilia  ;87.50;12.50;0.00;0.00;0.00;98.63;88.75
13141405284868870062;DDN 795;Joines PhD,Sharon Melissa Bennett;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10134950238368741157;DDN 795;Khachatoorian,Haig;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11181589635493942892;DDN 795;Raub,Cymbre Quincy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14037261564783699363;DDN 795;Davis,Meredith Joy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8202690659651315747;DDN 809;Cho,Soolyeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15841140984218489818;DDN 809;Deming,M. Elen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10286164848738324734;DDN 809;Rice,Arthur R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11254456166332076305;DDN 810;Deming,M. Elen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15351723634098420588;DDN 810;Rider,Traci Rose;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4654918262566526602;DDN 810;Joines PhD,Sharon Melissa Bennett;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7768213697520678039;DDN 810;Rice,Arthur R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15829822654286030089;DDN 810;Pasalar,Celen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7679303786734510377;DDN 810;Littlejohn,Deborah K;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6960883290103249732;DDN 810;Place,Wayne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6619058541396391634;DDN 810;Hu,Jianxin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13808104809465442933;DDN 830;Pasalar,Celen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18154692229572146702;DDN 830;Allen,Tania Leigh;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10340760972838573109;DDN 830;Cho,Soolyeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2462143351538329382;DDN 830;Ham,Derek Allen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8239126812824421748;DDN 830;Peterson,Matthew O;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6503669852610382551;DDN 830;Place,Wayne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14201505012617862530;DDN 830;Abrams,Robin Fran;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3086951923696577596;DDN 830;Rice,Arthur R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18051617595517847538;DDN 830;Joines PhD,Sharon Melissa Bennett;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4387166436695020152;DDN 830;Davis,Meredith Joy;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9475395258070845964;DDN 830;Hu,Jianxin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8823465905664514470;DDN 890;Deming,M. Elen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2460769077828175739;DDN 890;Boone,Kofi Malik;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18121266842458934547;DDN 890;Place,Wayne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1785087325177262092;DDN 890;Rice,Arthur R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2861040361035729474;DDN 890;Cho,Soolyeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14806478638911633326;DDN 890;Baran,Perver Korca;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15117667297826342546;DDN 893;Pasalar,Celen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6835052979449142038;DDN 893;Boone,Kofi Malik;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2645384714986613119;DDN 893;Joines PhD,Sharon Melissa Bennett;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17717173280759546107;DDN 893;Deming,M. Elen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13783553119692637034;DDN 893;Ham,Derek Allen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16569826978549864710;DDN 893;Noel,Lesley-Ann Melanie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6506531558611576614;DDN 893;Cho,Soolyeon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8234325451951530221;DDN 893;Abrams,Robin Fran;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15114450716667924453;DDN 893;Littlejohn,Deborah K;0.00;0.00;0.00;0.00;0.00;0.00;0.00
