Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13735794261590190535;DS 100;Greder,Katherine;60.00;24.00;10.00;2.00;4.00;93.00;83.40
14735339466549176227;DS 100;Marchant Montenegro,Hernan Pedro;69.83;30.17;0.00;0.00;0.00;96.68;86.98
3425785447834091329;DS 100;Rieder,Kathleen Callahan;45.16;35.48;12.90;3.23;3.23;91.06;81.61
16473300540621361404;DS 200;Greder,Katherine;77.78;17.28;2.47;0.00;2.47;96.57;86.79
10224338250717751528;DS 200;Williamson,Bess;78.57;21.43;0.00;0.00;0.00;97.64;87.86
13172664474858354047;DS 200;Noel,Lesley-Ann Melanie;61.40;19.30;14.04;0.00;5.26;92.77;83.16
1436294836315199835;DS 200;Allen,Tania Leigh;68.75;22.92;8.33;0.00;0.00;95.73;86.04
5455081111368537937;DS 481;Allen,Tania Leigh;80.43;13.04;4.35;0.00;2.17;96.76;86.96
1620868125816316682;DS 481;Scearce,J Mark;68.63;29.41;1.96;0.00;0.00;96.35;86.67
10708851805619315559;DS 481;Mouat Croxatto,Cecilia  ;97.96;0.00;2.04;0.00;0.00;99.57;89.59
11473338551338254404;DS 481;Rieder,Kathleen Callahan;72.73;23.64;3.64;0.00;0.00;96.64;86.91
17473420932680737496;DS 483;Allen,Tania Leigh;84.31;15.69;0.00;0.00;0.00;98.27;88.43
14207887955574948661;DS 483;Scearce,J Mark;76.19;11.90;9.52;2.38;0.00;95.95;86.19
11949685190434149314;DS 483;Rieder,Kathleen Callahan;82.35;17.65;0.00;0.00;0.00;98.06;88.24
