Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2034050781086460448;DSC 201;Harding,Mahmoud  ;75.86;17.24;3.45;0.00;3.45;95.97;86.21
17387310869511325201;DSC 201;Kraft,Natalie  ;82.35;13.73;0.00;0.00;3.92;96.88;87.06
3610746388438046595;DSC 201;Porter,Kristin Elizabeth;84.21;7.89;2.63;2.63;2.63;96.68;86.84
8032092082869640165;DSC 201;Sanei,Hamid  ;83.33;0.00;5.56;11.11;0.00;95.39;85.56
11330829083219381741;DSC 202;Zakaria,Zarifa;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6049891336554969273;DSC 202;Harr III,James Buffington;67.74;22.58;1.61;3.23;4.84;94.19;84.52
17340449045859181486;DSC 205;Prillaman,Barb;88.89;8.89;2.22;0.00;0.00;98.56;88.67
15992341472788446997;DSC 205;Blackburn,Chris James;52.94;35.29;5.88;0.00;5.88;92.47;82.94
8095390688580163763;DSC 225;Hadley,Emily  ;95.83;4.17;0.00;0.00;0.00;99.54;89.58
2981515277896694104;DSC 235;Ayala,Jessy;85.00;5.00;0.00;5.00;5.00;95.85;86.00
13613698722214015534;DSC 295;Domingue,Peggy S;69.23;30.77;0.00;0.00;0.00;96.62;86.92
14528201782233451442;DSC 295;Urquhart,Ryan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10279341029242944995;DSC 295;Phelps,Christin Gulick;75.00;6.25;6.25;6.25;6.25;93.50;83.75
8475757176620559039;DSC 295;Ayala,Jessy;78.43;5.88;11.76;0.00;3.92;95.27;85.49
927335859683678633;DSC 295;Hadley,Emily  ;80.00;20.00;0.00;0.00;0.00;97.80;88.00
15964970815687001355;DSC 295;Desai,Vrinda Deepal;81.25;18.75;0.00;0.00;0.00;97.94;88.13
17315245059629530506;DSC 295;Stokes,David;87.50;12.50;0.00;0.00;0.00;98.63;88.75
10042493795222062531;DSC 295;Harding,Mahmoud  ;66.67;21.21;0.00;9.09;3.03;93.61;83.94
16627603463794336906;DSC 295;Sanei,Hamid  ;87.50;12.50;0.00;0.00;0.00;98.63;88.75
2683544100658538077;DSC 295;Harr III,James Buffington;66.67;22.22;5.56;0.00;5.56;94.11;84.44
11652251295933409394;DSC 405;Al-Ghandour PhD,Majed N.;93.75;4.17;2.08;0.00;0.00;99.10;89.17
14051130379394439617;DSC 406;McClure,Jeanne Marie;80.00;10.00;0.00;0.00;10.00;94.80;85.00
15955243960845011916;DSC 406;Neves,Priscila;84.91;11.32;0.00;1.89;1.89;97.40;87.55
9250303063448509944;DSC 412;Embry,Trenton;94.44;0.00;0.00;0.00;5.56;97.72;87.78
7939399650236137302;DSC 412;Paul,Juliette Marie;92.00;0.00;0.00;2.00;6.00;96.92;87.00
4029574943210988577;DSC 495;Desai,Vrinda Deepal;78.95;21.05;0.00;0.00;0.00;97.68;87.89
10644311310255953236;DSC 495;Al-Ghandour PhD,Majed N.;82.69;9.62;7.69;0.00;0.00;97.33;87.50
3285157376803898998;DSC 495;Ortiz Marrero,Carlos;98.28;1.72;0.00;0.00;0.00;99.81;89.83
1814815441303777077;DSC 495;Porter,Kristin Elizabeth;83.33;0.00;16.67;0.00;0.00;96.50;86.67
18177524693503668848;DSC 495;Appling,Tracy Ann;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6360924035955204116;DSC 495;Flores-Toro,Joe;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15490625948716810749;DSC 495;Washington PhD,Sylvia Hood;66.67;27.78;0.00;0.00;5.56;94.67;85.00
8483960613775285217;DSC 495;Manschot,Cole  ;83.05;8.47;1.69;1.69;5.08;96.10;86.27
13836816715054485579;DSC 495;Sanei,Hamid  ;85.00;5.00;0.00;10.00;0.00;96.35;86.50
2358010963478484664;DSC 495;Saibaba,Arvind Krishna;38.46;30.77;0.00;0.00;30.77;84.00;74.62
9424951387863804901;DSC 495;Murray,Ryan;63.64;27.27;0.00;0.00;9.09;93.27;83.64
166322877205916639;DSC 495;Harding,Mahmoud  ;67.16;14.93;8.96;1.49;7.46;92.96;83.28
1240596174410269328;DSC 495;Suarez,Adam;77.78;0.00;0.00;0.00;22.22;90.89;81.11
14076350703343241889;DSC 495;Harr III,James Buffington;77.78;5.56;7.41;1.85;7.41;94.22;84.44
8251332670985903291;DSC 495;Ayala,Jessy;78.57;21.43;0.00;0.00;0.00;97.64;87.86
14199192065414258320;DSC 495;Kruskamp,Nicholas  ;89.39;1.52;4.55;1.52;3.03;97.17;87.27
16688211811169379487;DSC 595;House,John S;92.86;7.14;0.00;0.00;0.00;99.21;89.29
6103854820277971244;DSC 595;Liu,Paul;95.45;4.55;0.00;0.00;0.00;99.50;89.55
12297675636311985765;DSC 595;Su,Hao;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10675527355810461335;DSC 595;McDonald,Steve;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2340877213139092258;DSC 595;Pazdernik,Karl Timothy LeRoy;60.00;30.00;0.00;0.00;10.00;92.60;83.00
