Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15800698614625121610;E 101;Thomas,Kalene Marie;85.71;11.80;2.48;0.00;0.00;98.18;88.32
13688297426678839272;E 101;Queen,Hailey A;85.40;12.39;0.88;0.88;0.44;98.00;88.14
11413357511286440882;E 101;Marshall,Lisa;87.16;9.63;2.75;0.00;0.46;98.17;88.30
14215457319684575276;E 101;Bottomley,Laura J;94.21;4.63;1.16;0.00;0.00;99.25;89.31
9294870751099484076;E 101;Baldwin,Tameshia Ballard;73.73;19.61;5.88;0.00;0.78;96.29;86.55
7780291641096887165;E 101;Shaw,Nancy C.;87.20;10.43;1.90;0.00;0.47;98.26;88.39
2894928753344376230;E 101;Marini,ToniAnn;84.58;12.25;2.77;0.00;0.40;97.91;88.06
18296776257721214320;E 101;Teran,Julio Enrique;84.78;11.59;0.72;2.17;0.72;97.60;87.75
3898935082075859257;E 101;Koehler,Brian D;90.35;7.34;1.93;0.39;0.00;98.67;88.76
15280640833294484328;E 101;Qaqish,Olgha Bassam;92.57;7.43;0.00;0.00;0.00;99.18;89.26
1512008392886381499;E 101;Robbins,MaryClare;93.20;4.80;1.20;0.40;0.40;98.93;89.00
5541059071450047971;E 101;Parish PhD,David W.;87.39;7.66;3.15;1.35;0.45;97.89;88.02
16228221281725898921;E 101;Hargrove,Linda Leigh;82.76;12.64;2.87;0.57;1.15;97.36;87.53
6625211037057485440;E 101;Sharara,Mahmoud A;75.00;15.91;4.55;4.55;0.00;95.89;86.14
8402709700574573612;E 101;Findley,Daniel J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17357826663885763126;E 101;Linton,Linnea;60.23;24.56;5.85;3.51;5.85;92.58;82.98
5332855722368039625;E 101;Bradford,Philip David;81.25;10.00;3.75;1.25;3.75;96.19;86.38
12299059831117633336;E 101;Brown,Niko;84.19;11.54;2.56;0.85;0.85;97.58;87.74
359874213024504923;E 101;Eckard,Lori;80.84;12.57;1.20;0.00;5.39;96.16;86.35
11751485978252899168;E 101;Jones,Daniela Sofia;94.74;5.26;0.00;0.00;0.00;99.42;89.47
8482315164910429048;E 101;Fox,Garey A.;90.06;9.39;0.55;0.00;0.00;98.85;88.95
3107004928805700749;E 101;Adams PhD,Javon Marcell;93.98;2.26;2.63;0.00;1.13;98.74;88.80
5879915207945967786;E 101;Tran,Cheryl Heeter;91.75;1.03;4.12;2.06;1.03;97.96;88.04
9803494086494117801;E 101;Robinson,Myles Donovan;68.36;15.82;9.04;4.52;2.26;94.03;84.35
17889621696441868912;E 101;Miller Jr,Chess Levern;71.53;16.67;9.03;0.69;2.08;95.20;85.49
8364146969388268794;E 101;Hunt III,William F;92.78;6.19;1.03;0.00;0.00;99.10;89.18
1115195002308216098;E 101;Byrd Jr,Medwick V;84.04;11.50;2.35;0.94;1.17;97.47;87.63
12910910303753872973;E 101;List,George F;75.68;16.22;6.49;1.08;0.54;96.30;86.54
16538260259093104245;E 101;Hall PhD,Steven G;74.40;18.40;4.80;2.40;0.00;96.22;86.48
2830180544041563441;E 101;Lasher,Dana Alfred;96.72;3.28;0.00;0.00;0.00;99.64;89.67
16947898075393051141;E 101;Reyhanoglu,Mahmut;80.21;14.58;3.13;1.04;1.04;96.99;87.19
12424324342453076615;E 101;Glimcher,Shelley Anne;80.49;12.20;3.25;3.25;0.81;96.63;86.83
3141169791166386926;E 101;Alderman,Cheryl SK;83.42;11.40;3.11;0.52;1.55;97.30;87.46
15930476361246820403;E 101;Parry,Elizabeth Anne;92.50;7.50;0.00;0.00;0.00;99.18;89.25
9288342973687596680;E 101;Roberts,Kim G;91.95;8.05;0.00;0.00;0.00;99.11;89.19
8739246494350023399;E 101;Starling,Anna;89.71;8.57;1.14;0.00;0.57;98.58;88.69
9163156482730785430;E 101;Sharma-Shivappa,Ratna Rani;74.36;20.51;1.92;1.28;1.92;96.15;86.41
1750516575345712125;E 101;Aziz PhD,Tarek Nadim;95.12;2.44;2.44;0.00;0.00;99.22;89.27
16774031435311626373;E 101;Fahmy,Adel Fawzi;85.45;11.82;1.82;0.00;0.91;97.95;88.09
6771197767962906173;E 101;Adams,Jasmine;92.68;4.07;2.44;0.00;0.81;98.71;88.78
4519033767808951214;E 101;Podowitz-Thomas,Stephen Richard;60.34;29.31;8.62;1.72;0.00;94.43;84.83
16524602130308219326;E 101;Genut,Lindsey S;86.86;11.68;0.73;0.73;0.00;98.34;88.47
2510281314263102033;E 101;Pasquinelli,Melissa;76.42;17.07;4.07;1.63;0.81;96.43;86.67
10920882664255979216;E 101;Cass,Cheryl Parzel;85.19;12.04;1.85;0.93;0.00;98.00;88.15
5605322375494197672;E 101;Gorga PhD,Russell E;77.93;15.17;4.83;0.69;1.38;96.54;86.76
10047425550611634058;E 101;Forgety,Alice F.;83.43;11.83;4.73;0.00;0.00;97.70;87.87
880697261465701730;E 101;Erb,David A;71.07;17.36;4.96;1.65;4.96;94.50;84.79
5163091456357055403;E 101;Shryock,Richard Scott;81.72;15.05;2.15;0.00;1.08;97.45;87.63
17480184477749255986;E 101;Bahram,BiBi;92.31;4.40;2.20;0.00;1.10;98.60;88.68
5705602613771083900;E 101;Lewis,Heather S;49.09;45.45;4.55;0.00;0.91;93.67;84.18
1653725903183671758;E 101;Balik,Maury;84.21;12.28;0.00;0.00;3.51;97.21;87.37
12089003945548831766;E 102;Ozaltin,Nur Ozge;88.97;7.98;2.66;0.38;0.00;98.44;88.56
11632396776865933079;E 102;Koehler,Brian D;91.20;8.00;0.40;0.40;0.00;98.91;89.00
11351647531920069448;E 102;Robbins,MaryClare;86.52;4.78;5.65;0.87;2.17;97.13;87.26
6857700906158204874;E 102;Marshall,Lisa;88.93;8.20;2.05;0.41;0.41;98.37;88.48
758082340323609500;E 102;Shaw,Nancy C.;84.26;8.80;4.17;2.31;0.46;97.25;87.41
18256576766163607840;E 102;Baldwin,Tameshia Ballard;82.13;12.93;4.18;0.00;0.76;97.39;87.57
18407895139836889487;E 102;Teran,Julio Enrique;84.45;12.18;2.10;0.42;0.84;97.74;87.90
16675553367395094627;E 102;Jones,Daniela Sofia;95.40;2.30;1.92;0.38;0.00;99.23;89.27
10156657899875932712;E 102;Deering,Lisa Retzlaff;80.75;9.94;3.11;3.73;2.48;96.08;86.27
1713614090434749301;E 102;Bottomley,Laura J;90.23;7.14;0.75;1.50;0.38;98.44;88.53
12986360461920446412;E 102;Qaqish,Olgha Bassam;94.25;3.83;1.15;0.38;0.38;99.06;89.12
11750510375204131210;E 102;Hargrove,Linda Leigh;84.51;9.39;2.35;1.41;2.35;97.08;87.23
14171573865156566328;E 102;Queen,Hailey A;89.47;6.22;2.87;0.48;0.96;98.17;88.28
1572117436265737419;E 102;Thomas,Kalene Marie;94.51;5.49;0.00;0.00;0.00;99.40;89.45
8477082332208587867;E 102;Galvez,Derius Jamal;84.62;12.82;2.56;0.00;0.00;98.05;88.21
5940939906321619056;E 102;Parish PhD,David W.;91.46;5.28;2.03;0.41;0.81;98.53;88.62
7497641913752553032;E 102;Adams PhD,Javon Marcell;85.81;10.81;0.68;0.00;2.70;97.56;87.70
7532835561554556234;E 102;Stimpson,Matthew T.;94.39;3.06;1.02;0.51;1.02;98.87;88.93
12897774206218937650;E 102;Byrd Jr,Medwick V;93.00;4.00;1.00;1.00;1.00;98.63;88.70
9813840219499543304;E 102;Hall PhD,Steven G;86.60;5.15;6.19;2.06;0.00;97.49;87.63
7283625669109503621;E 102;Hunt III,William F;89.69;7.22;2.06;1.03;0.00;98.45;88.56
16577735947046457046;E 102;Roberts,Kim G;89.69;8.25;0.00;1.03;1.03;98.35;88.45
17752721730362197754;E 102;Fox,Garey A.;76.67;20.00;0.83;0.83;1.67;96.68;86.92
2632581553168608869;E 102;Ybarra,Gary;79.55;18.21;1.40;0.28;0.56;97.39;87.59
12188333937416296431;E 102;Robinson,Myles Donovan;72.27;20.91;4.09;1.36;1.36;95.86;86.14
16059442821048545237;E 102;Bullard,Lisa G;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11351059269893464010;E 102;List,George F;81.19;12.87;3.96;0.99;0.99;97.04;87.23
5608887739175204825;E 102;Cass,Cheryl Parzel;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3472419888109874471;E 102;Glimcher,Shelley Anne;69.70;24.24;4.85;1.21;0.00;95.94;86.24
1673436808095118352;E 102;Lavelle,Jerome Philip;57.89;32.63;8.42;1.05;0.00;94.32;84.74
6313232943779130910;E 115;Batista de Melo,Caio;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11100701525501898804;E 115;Haque,Abida  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00
409254682510589498;E 115;Marini,ToniAnn;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6445263821247062176;E 115;Jiao,Shuyin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15193500714968105442;E 115;T. Tabarsi,Benyamin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13725917406578158384;E 115;Sthapit,Sandeep;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6269464493974209970;E 115;Bahler,Dennis R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2780728157902785920;E 122;Stimpson,Matthew T.;57.45;22.34;12.77;1.06;6.38;91.91;82.34
11951656976974159695;E 122;Baldwin,Tameshia Ballard;57.00;22.00;10.00;1.00;10.00;91.07;81.50
5631844972316934970;E 122;Roberts,Kim G;35.82;31.34;22.39;1.49;8.96;87.72;78.36
8786123450034781577;E 122;Queen,Hailey A;35.71;28.57;14.29;3.57;17.86;85.43;76.07
13505792316083205130;E 144;Mbaneme,Veronica;97.14;2.86;0.00;0.00;0.00;99.69;89.71
5737888341418034642;E 144;Adams PhD,Javon Marcell;96.41;1.20;1.80;0.60;0.00;99.31;89.34
9018894283551318002;E 144;Daniel,Angie L;91.07;7.74;0.60;0.60;0.00;98.84;88.93
10761719490055973112;E 145;Adams PhD,Javon Marcell;97.78;2.22;0.00;0.00;0.00;99.76;89.78
9127636553140111441;E 145;Daniel,Angie L;96.43;3.57;0.00;0.00;0.00;99.61;89.64
11269063587370279588;E 201;Gruber,Rachael;94.40;5.60;0.00;0.00;0.00;99.38;89.44
1069920298174628349;E 201;Parish PhD,David W.;81.13;16.98;1.89;0.00;0.00;97.74;87.92
4444356520755467718;E 298;Misra,Veena;0.00;0.00;0.00;0.00;0.00;0.00;0.00
