Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
95580829000632213;EA 501;Pandolfo,Tamara J.;82.46;17.54;0.00;0.00;0.00;98.07;88.25
10245559387807221568;EA 501;Taylor,Linda;73.91;21.74;0.00;0.00;4.35;95.83;86.09
16593204128093092445;EA 502;Pandolfo,Tamara J.;71.88;25.00;3.13;0.00;0.00;96.59;86.88
6772531556054040451;EA 502;Graham,Stephen Edward;84.00;16.00;0.00;0.00;0.00;98.24;88.40
1854817886827960775;EA 502;Kallestad,Waverly Anne;54.55;38.96;3.90;1.30;1.30;93.96;84.42
7198004695201264191;EA 502;Hofelt,Christopher Scott;74.51;11.76;0.00;0.00;13.73;93.08;83.33
13582873610821925425;EA 503;Graham,Stephen Edward;95.12;4.88;0.00;0.00;0.00;99.46;89.51
12043516548954274321;EA 503;Kallestad,Waverly Anne;74.47;21.28;4.26;0.00;0.00;96.77;87.02
2336769997815267366;EA 503;Hofelt,Christopher Scott;63.29;30.38;2.53;0.00;3.80;94.57;84.94
6129079664301476674;EA 504;Nichols,Elizabeth Guthrie;96.55;3.45;0.00;0.00;0.00;99.62;89.66
9184883364155529734;EA 505;Richmond-Bryant,Jennifer;92.16;5.88;1.96;0.00;0.00;98.94;89.02
1457262574357932093;EA 505;Taylor,Linda;65.71;34.29;0.00;0.00;0.00;96.23;86.57
13933781527938588389;EA 505;Kallestad,Waverly Anne;93.75;0.00;0.00;0.00;6.25;97.44;87.50
5703302329446273885;EA 506;Pandolfo,Tamara J.;83.33;14.29;2.38;0.00;0.00;97.93;88.10
2026734643665142756;EA 507;Blank,Gary B.;77.78;22.22;0.00;0.00;0.00;97.56;87.78
16381075870070965445;EA 508;Graham,Stephen Edward;78.95;21.05;0.00;0.00;0.00;97.68;87.89
12146507511287533468;EA 520;Dumdum,Lyra Perez;82.14;10.71;3.57;0.00;3.57;96.61;86.79
8225459355951642786;EA 521;Dumdum,Lyra Perez;93.55;0.00;0.00;3.23;3.23;97.68;87.74
6914455091834804980;EA 522;Cleveland III,Tommy;77.78;16.67;5.56;0.00;0.00;97.00;87.22
11552011643903381531;EA 523;Dumdum,Lyra Perez;84.62;15.38;0.00;0.00;0.00;98.31;88.46
667068948553244335;EA 590;Graham,Stephen Edward;84.62;11.54;3.85;0.00;0.00;97.92;88.08
7029190099218117132;EA 590;Richmond-Bryant,Jennifer;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12590408438918969582;EA 590;Blank,Gary B.;95.00;5.00;0.00;0.00;0.00;99.45;89.50
13372276840815916112;EA 590;Dumdum,Lyra Perez;83.33;16.67;0.00;0.00;0.00;98.17;88.33
11881061231000925137;EA 590;Pandolfo,Tamara J.;70.83;29.17;0.00;0.00;0.00;96.79;87.08
8113397154440427882;EA 590;LePrevost,Catherine;70.27;24.32;2.70;0.00;2.70;95.65;85.95
1252393925580716926;EA 590;Kallestad,Waverly Anne;71.43;28.57;0.00;0.00;0.00;96.86;87.14
9675014838367999108;EA 590;Shea,Damian;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16847840771008092375;EA 665;Pandolfo,Tamara J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2133185653349930143;EA 665;Taylor,Linda;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6314055064440256787;EA 665;Richmond-Bryant,Jennifer;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12013574553498769010;EA 665;Goldfarb,Barry;0.00;0.00;0.00;0.00;0.00;0.00;0.00
