Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11178847869010090092;EAC 301;Felder,Deborah Pitts;65.00;30.00;5.00;0.00;0.00;95.65;86.00
3767801934933634654;EAC 301;Dones,Abe;82.35;11.76;0.00;0.00;5.88;96.29;86.47
12300989840956503881;EAC 301;Luckadoo,Deborah C;25.00;58.33;8.33;8.33;0.00;89.25;80.00
51642280999515368;EAC 301;Froeschner,Christopher P;54.55;36.36;0.00;0.00;9.09;92.27;82.73
12744315165837077113;EAC 301;Watts,Tierza Rene;70.00;14.00;4.00;2.00;10.00;92.90;83.20
10235066937425596959;EAC 301;Thompson,Tara Lynn;76.47;17.65;5.88;0.00;0.00;96.82;87.06
8684805498912711958;EAC 301;Barnhart,Mary Jane Yemma;65.00;35.00;0.00;0.00;0.00;96.15;86.50
5002488406455784848;EAC 301;Townsend,Tyler Warren;42.86;38.10;14.29;0.00;4.76;90.86;81.43
6222322389012917411;EAC 301;Coombes,Eileen Marin;70.00;20.00;0.00;5.00;5.00;94.20;84.50
9055289838287952131;EAC 301;Hunt,Lynne C;83.33;11.11;5.56;0.00;0.00;97.61;87.78
14718971173149879563;EAC 301;Gierka,Robert E;25.00;75.00;0.00;0.00;0.00;91.75;82.50
16665585143398046515;EAC 301;Moore,Tieshia M;50.00;25.00;14.29;7.14;3.57;90.57;81.07
9296259702095188092;EAC 496;Moore,Tieshia M;61.54;23.08;0.00;7.69;7.69;91.92;82.31
1571267619759468492;EAC 496B;Carter Jr,Vernon Franklin;25.00;41.67;25.00;0.00;8.33;86.75;77.50
941805837645705485;EAC 517;Gentius,Paula;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17635357244052041668;EAC 517;Olson,Barry A;89.29;10.71;0.00;0.00;0.00;98.82;88.93
13850797975003024996;EAC 517;Davis,Tiffany Juanita;75.00;25.00;0.00;0.00;0.00;97.25;87.50
15427697238765244275;EAC 517;Moore,Kathryn M.;94.55;5.45;0.00;0.00;0.00;99.40;89.45
18036933223541946092;EAC 517;Rockenbach,Alyssa Nicole;88.64;11.36;0.00;0.00;0.00;98.75;88.86
15774267012430877805;EAC 522;Hoggan,Chad David;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15025089429625407873;EAC 522;Lari,Pooneh;89.47;0.00;0.00;0.00;10.53;95.68;85.79
18094478504307690259;EAC 522;Barcinas PhD,Susan J;91.30;4.35;0.00;0.00;4.35;97.74;87.83
6674976275428749847;EAC 522;Lohr,Kathy Diane;73.68;21.05;0.00;0.00;5.26;95.53;85.79
14040274475800873369;EAC 532;Akroyd,Duane;88.89;8.33;0.00;2.78;0.00;98.22;88.33
16944302245823739397;EAC 536;Akroyd,Duane;69.44;27.78;2.78;0.00;0.00;96.36;86.67
9832379949903486043;EAC 536;Figuers,Carol C;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15542281126526665168;EAC 538;Barcinas PhD,Susan J;93.33;4.44;0.00;0.00;2.22;98.60;88.67
13842502840934400434;EAC 538;Warren,Carrol Lynn;94.74;0.00;0.00;0.00;5.26;97.84;87.89
2702910622464944012;EAC 538;Fleener,Jayne;85.71;7.14;0.00;0.00;7.14;96.29;86.43
11653863160561625335;EAC 538;Orders,Amy;77.78;22.22;0.00;0.00;0.00;97.56;87.78
3199953438139287931;EAC 538;Bowles,Tuere A.;94.44;5.56;0.00;0.00;0.00;99.39;89.44
15405045197542090119;EAC 538;Lari,Pooneh;97.37;0.00;0.00;0.00;2.63;98.92;88.95
4522109140923452815;EAC 538;Hoggan,Chad David;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12138423010403407634;EAC 538;Lohr,Kathy Diane;88.14;0.00;1.69;1.69;8.47;95.64;85.76
7031735561649770169;EAC 539;Orders,Amy;88.10;9.52;0.00;0.00;2.38;97.98;88.10
12321616026376536327;EAC 539;Pakornsawat,Tracy Lorraine;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14219331265434383847;EAC 539;Mehlenbacher,Bradley S;100.00;0.00;0.00;0.00;0.00;100.00;90.00
