Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7491352972645880730;ECD 101;Artis,Frankye B.;56.86;15.69;17.65;1.96;7.84;90.75;81.18
6415571005282221479;ECD 102;Morell,George Kenneth;63.64;30.30;6.06;0.00;0.00;95.39;85.76
3227313516155543967;ECD 102;Nelson,Julie Renee;53.57;17.86;7.14;3.57;17.86;88.11;78.57
2080226956840683878;ECD 102;Artis,Frankye B.;69.49;10.17;10.17;5.08;5.08;93.08;83.39
16872456384024542774;ECD 220;Luzader,Meghan;96.30;3.70;0.00;0.00;0.00;99.59;89.63
668608628841918545;ECD 220;Cooley,Veronica Jean;93.44;6.56;0.00;0.00;0.00;99.28;89.34
2222865388143246133;ECD 220;Bullett,Jone Kala;89.86;10.14;0.00;0.00;0.00;98.88;88.99
2705941166651197540;ECD 220;LaBarbera-Mascote,Lisa;96.00;2.67;1.33;0.00;0.00;99.43;89.47
7580273390846687416;ECD 220;Blair,Timothy Scott;84.06;14.49;1.45;0.00;0.00;98.10;88.26
1567164902940904411;ECD 221;Spencer,Natalie Faye;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18336976110193120570;ECD 221;Shores,Angela Smith;84.62;7.69;7.69;0.00;0.00;97.54;87.69
13615026019334272933;ECD 222;Grimmett,Juliette;85.00;10.00;2.50;0.00;2.50;97.35;87.50
12031518858811169499;ECD 223;Wical,Gabe;88.52;11.48;0.00;0.00;0.00;98.74;88.85
2760312290300715411;ECD 224;Young,Leah Nicole;82.35;17.65;0.00;0.00;0.00;98.06;88.24
2009469249313836485;ECD 224;Brown,Jennifer Marie;72.13;21.31;3.28;0.00;3.28;95.62;85.90
4883575966576197161;ECD 224;Santiago,Nelson;97.50;2.50;0.00;0.00;0.00;99.73;89.75
16152924655880066018;ECD 224;Stroud,Ian Thomas;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9933974129379510825;ECD 224;Omorogbe,Jasmine Jarla;95.00;5.00;0.00;0.00;0.00;99.45;89.50
14201042303238195261;ECD 224;Bradley,Roderick Edward;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15999366515303277888;ECD 224;Medina,Mary Christine;93.75;6.25;0.00;0.00;0.00;99.31;89.38
11164086653865302507;ECD 224;Dones,Abe;92.78;5.15;2.06;0.00;0.00;99.00;89.07
7256582215957831329;ECD 224;Simpson,Melissa Ann;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12223685548367709649;ECD 224;Oxendine,Derek Ray;94.55;5.45;0.00;0.00;0.00;99.40;89.45
5071308931845863135;ECD 224;Jackson,Felicia Yvette;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11193959651221032426;ECD 224;Ray,Tracey E;91.67;4.76;2.38;1.19;0.00;98.61;88.69
4969063035556689063;ECD 225;McKenzie,Jameco;93.18;3.41;2.27;1.14;0.00;98.80;88.86
1317241631132425861;ECD 225;Bunch,Quashon JaMere;96.77;3.23;0.00;0.00;0.00;99.65;89.68
13601740818513267406;ECD 225;Basdeo Mountjoy,Molly;90.00;6.67;3.33;0.00;0.00;98.57;88.67
13401137075351217748;ECD 225;Torres-Cervantes,Marcela Alejandra;76.67;16.67;6.67;0.00;0.00;96.77;87.00
6107135842160941125;ECD 225;Dix,Carley Wyche;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15564942214359078652;ECD 225;Ray,Tracey E;96.94;2.04;0.00;0.00;1.02;99.36;89.39
6745831424964810788;ECD 225;Williams,Beverly Jones;66.67;30.00;0.00;3.33;0.00;95.67;86.00
15792354372475583378;ECD 296;Odom,Janice E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3043937537520104008;ECD 296;Ray,Tracey E;62.50;25.00;5.00;2.50;5.00;93.38;83.75
13421559310264151233;ECD 296;Billingsley,Katrina Yvette;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6359696351024268713;ECD 296;Grimmett,Juliette;96.43;3.57;0.00;0.00;0.00;99.61;89.64
10047275710828487487;ECD 296D;Grimmett,Juliette;71.43;21.43;0.00;0.00;7.14;94.71;85.00
350289562509165430;ECD 310;Odom,Janice E;98.84;1.16;0.00;0.00;0.00;99.87;89.88
8911361893379427878;ECD 510;Childs,Nicole Marie;68.57;17.14;2.86;5.71;5.71;93.40;83.71
12993575672171340342;ECD 510;Osburn,Monica Zozone;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5764911516038937842;ECD 510;Ting,Siu-Man;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16007816292196442970;ECD 510;Smith,Angie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10024135977693904004;ECD 510;Inscoe,Laura Taylor;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16348212519821600975;ECD 510;Dunbar,Adria Shipp;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6459289103408986260;ECD 510;Bolton III,Clinton Stafford;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14813520794598777807;ECD 510;Nassar,Sylvia Christine Maria;98.08;1.92;0.00;0.00;0.00;99.79;89.81
5972668257401283114;ECD 510;Song,Sharon Yeokyung;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7136092756845042885;ECD 510;Allen,Amanda Hudson;94.12;5.88;0.00;0.00;0.00;99.35;89.41
16057544553736787841;ECD 510;Braga,Cristina;95.00;5.00;0.00;0.00;0.00;99.45;89.50
12504927318920800569;ECD 510;Gerler Jr,Edwin R;90.63;6.25;3.13;0.00;0.00;98.66;88.75
720394908360383705;ECD 510;Picart,Jose' A;90.24;7.32;2.44;0.00;0.00;98.68;88.78
2906475173312459106;ECD 524;Tajlili,Megan;92.00;4.00;0.00;4.00;0.00;98.32;88.40
9692191999767332168;ECD 524;Nour,Mona;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11028681495354170918;ECD 524;Mitchell,Rolanda Levica;98.36;1.64;0.00;0.00;0.00;99.82;89.84
8377691230701928553;ECD 524;Ting,Siu-Man;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6862402825241355758;ECD 524;Braga,Cristina;95.00;5.00;0.00;0.00;0.00;99.45;89.50
4866542003801620335;ECD 524;Childs,Nicole Marie;93.02;6.98;0.00;0.00;0.00;99.23;89.30
9763917752951666667;ECD 524;Song,Sharon Yeokyung;92.00;4.00;4.00;0.00;0.00;98.72;88.80
11660186982777545238;ECD 524;Smith,Angie;98.18;1.82;0.00;0.00;0.00;99.80;89.82
13753477494616662180;ECD 524;Allen,Amanda Hudson;96.55;3.45;0.00;0.00;0.00;99.62;89.66
16714823973591617844;ECD 524;Sumerel PhD,Marie B.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
