Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4915932600724441950;ECE 109;Evans,Bob;31.28;31.82;21.12;8.02;7.75;86.40;77.09
15054640180301249147;ECE 109;Cutitaru,Mihail;60.18;23.01;9.73;4.42;2.65;92.96;83.36
3697921795280172501;ECE 109;Sambasivam,SakthiKumaran;30.86;34.57;17.28;7.41;9.88;86.22;76.91
819070492076475878;ECE 109;D'Argenio,Michael;55.56;18.52;14.81;3.70;7.41;90.67;81.11
11053312153521668421;ECE 109;Bowman,Paul Dean;37.77;35.61;18.35;3.60;4.68;89.20;79.82
11115998996744849152;ECE 109;Byrd,Greg;24.35;26.20;26.57;10.33;12.55;83.19;73.95
13294555763290077468;ECE 109;Zhou,Huiyang;32.49;30.41;17.97;8.53;10.60;85.89;76.57
9039982015822234159;ECE 109;Shryock,Richard Scott;22.69;31.93;28.99;10.50;5.88;84.73;75.50
121777419634542931;ECE 109;Bruce,Rebecca F;32.18;31.03;22.99;8.05;5.75;86.91;77.59
14122704749057340911;ECE 109;Forbes,John Elliott;30.47;32.81;24.61;5.86;6.25;86.84;77.54
1908102120956376760;ECE 109;Bradley,David J;21.05;21.05;31.58;10.53;15.79;81.32;72.11
16882886356245243414;ECE 109;Poovey,Jason A;35.29;26.47;23.95;5.46;8.82;86.75;77.39
5107259065864917236;ECE 109;Brock,Jarvis Dean;32.00;20.00;16.00;24.00;8.00;83.72;74.40
7951369470881296745;ECE 200;Townsend,Cecilia W.;42.86;22.86;20.95;3.81;9.52;88.00;78.57
3920864774599897035;ECE 200;Veety,Elena Nicolescu;50.68;25.85;14.63;0.68;8.16;90.53;81.02
7717562600878431899;ECE 200;Vazquez-Guardado,Abraham;35.36;37.57;19.34;3.87;3.87;89.02;79.67
10169724273112641360;ECE 200;Ozturk,Mehmet Cevdet;23.01;27.43;33.63;8.85;7.08;84.27;75.04
