Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15036899316272476696;ECG 505;Dur,Umut;71.79;25.64;0.00;0.00;2.56;96.13;86.41
17139937714302590833;ECG 505;Wessels,Walter J.;56.76;35.14;8.11;0.00;0.00;94.43;84.86
12653696778180721466;ECG 506;Fiori,Giuseppe;54.55;43.18;2.27;0.00;0.00;94.77;85.23
11878033080066907684;ECG 506;Madariaga,Jessica F;50.00;44.44;0.00;0.00;5.56;92.83;83.33
548012210547777989;ECG 506;Traum,Nora J;26.92;65.38;7.69;0.00;0.00;91.19;81.92
15809516685232667005;ECG 506;Lapp,John S.;23.73;67.80;8.47;0.00;0.00;90.76;81.53
8561312998668961629;ECG 512;Knoeber,Charles Robert;39.13;56.52;0.00;0.00;4.35;92.00;82.61
14748512743408382662;ECG 515;Brown,Zachary Steven;53.13;34.38;9.38;3.13;0.00;93.28;83.75
9596321056114720002;ECG 515;Baker,Justin;57.69;34.62;7.69;0.00;0.00;94.58;85.00
3277394968027458118;ECG 515;Taylor,Laura O.;34.62;53.85;11.54;0.00;0.00;91.65;82.31
11780137899466520497;ECG 515;Palmquist,Raymond B.;52.78;47.22;0.00;0.00;0.00;94.81;85.28
15912237726760474270;ECG 528;Pang,Tao;50.00;50.00;0.00;0.00;0.00;94.50;85.00
581185536711093051;ECG 528;Berndt,Antje;62.79;37.21;0.00;0.00;0.00;95.91;86.28
14186359509911040660;ECG 528;Seater,John J.;30.93;48.45;18.56;2.06;0.00;90.13;80.82
18226892473390830881;ECG 537;Headen,Alvin E.;66.67;33.33;0.00;0.00;0.00;96.33;86.67
14846316773449853248;ECG 540;Renkow,Mitchell Adam;59.26;40.74;0.00;0.00;0.00;95.52;85.93
6044496397534178183;ECG 548;Boys,Kathryn Ann;46.15;46.15;7.69;0.00;0.00;93.31;83.85
14616611491172147027;ECG 548;Kandilov,Ivan Todorov;50.00;50.00;0.00;0.00;0.00;94.50;85.00
16949327753827913451;ECG 548;Grennes,Thomas J.;50.00;46.88;0.00;0.00;3.13;93.56;84.06
3763648091463337427;ECG 561;Zheng,Xiaoyong;52.78;38.89;5.56;0.00;2.78;93.42;83.89
9380950937304098;ECG 561;Wohlgenant,Michael K.;73.91;26.09;0.00;0.00;0.00;97.13;87.39
11199398674284011;ECG 561;Inoue,Atsushi;45.45;54.55;0.00;0.00;0.00;94.00;84.55
541106457463663840;ECG 562;Kalnina,Ilze;46.34;48.78;4.88;0.00;0.00;93.61;84.15
17006678354752700312;ECG 562;Zheng,Xiaoyong;50.00;47.22;0.00;0.00;2.78;93.67;84.17
12266899116588828060;ECG 562;Morrill,Melinda Sandler;53.19;42.55;4.26;0.00;0.00;94.43;84.89
7423539747350903355;ECG 562;Pelletier,Denis;34.29;65.71;0.00;0.00;0.00;92.77;83.43
18001108844806771958;ECG 563;von Haefen,Roger H.;76.92;23.08;0.00;0.00;0.00;97.46;87.69
16771172378519003934;ECG 564;Li,Zheng;76.00;22.00;0.00;0.00;2.00;96.76;87.00
15182906593411747129;ECG 580;Hammond,Robert Guthrie;46.15;53.85;0.00;0.00;0.00;94.08;84.62
17761318980493701999;ECG 580;Newmark,Craig M.;23.40;74.47;2.13;0.00;0.00;91.36;82.13
6801149485307176745;ECG 590;Corredor-Waldron,Adriana;95.24;0.00;0.00;0.00;4.76;98.05;88.10
8384747970330221378;ECG 590;Craig,Lee A;41.18;52.94;5.88;0.00;0.00;92.94;83.53
4728538285759484991;ECG 590;Li,Zheng;81.08;18.92;0.00;0.00;0.00;97.92;88.11
11394441853600559289;ECG 590;Cwik,Paul;64.00;32.00;0.00;0.00;4.00;94.84;85.20
4803819149670052060;ECG 590;von Haefen,Roger H.;65.00;30.00;5.00;0.00;0.00;95.65;86.00
14310736451419432887;ECG 590;Kandilov,Ivan Todorov;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7754112824246711165;ECG 590;Boys,Kathryn Ann;40.00;60.00;0.00;0.00;0.00;93.40;84.00
15129667761883976853;ECG 590;Treme,Julianne;72.73;27.27;0.00;0.00;0.00;97.00;87.27
4494724271125057214;ECG 590;Morrill,Melinda Sandler;60.00;40.00;0.00;0.00;0.00;95.60;86.00
493504874642313641;ECG 590;Hyman,David N.;89.29;10.71;0.00;0.00;0.00;98.82;88.93
11773109247858331256;ECG 590;Goodwin,Barry K.;94.74;5.26;0.00;0.00;0.00;99.42;89.47
18311794634731090578;ECG 590;Fackler,Paul L.;69.23;30.77;0.00;0.00;0.00;96.62;86.92
424361427993171563;ECG 590;Stroup,Richard L;68.18;31.82;0.00;0.00;0.00;96.50;86.82
2159283753651349783;ECG 590A;Morrill,Melinda Sandler;60.00;40.00;0.00;0.00;0.00;95.60;86.00
15178333642144777079;ECG 590B;Fackler,Paul L.;33.33;66.67;0.00;0.00;0.00;92.67;83.33
1671289166026596214;ECG 695;Zheng,Xiaoyong;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16771133570897888908;ECG 695;Morant,Tamah Chesney;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6637865756644745845;ECG 699;Morant,Tamah Chesney;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3969847173751932839;ECG 700;Tregeagle,Daniel;50.00;29.41;17.65;2.94;0.00;92.15;82.65
11080408443978021442;ECG 700;Zheng,Xiaoyong;37.93;48.28;10.34;0.00;3.45;91.10;81.72
12704736616328486839;ECG 700;Phan,William;65.00;33.33;1.67;0.00;0.00;95.98;86.33
8517454025087006581;ECG 700;Morant,Tamah Chesney;44.44;55.56;0.00;0.00;0.00;93.89;84.44
14005592531297625927;ECG 700;Vukina,Tomislav;27.78;52.78;19.44;0.00;0.00;90.11;80.83
11652299068264978726;ECG 700;Morrill,Thayer Stephen;51.72;37.93;10.34;0.00;0.00;93.66;84.14
9628401252982835308;ECG 701;Banzhaf,Spencer;33.33;66.67;0.00;0.00;0.00;92.67;83.33
11174631987664720362;ECG 701;Vukina,Tomislav;38.46;43.59;12.82;0.00;5.13;90.41;81.03
196761870798738422;ECG 701;Thurman,Walter N.;40.00;55.00;5.00;0.00;0.00;92.90;83.50
18253418714656909111;ECG 701;Palmquist,Raymond B.;50.72;43.48;5.80;0.00;0.00;94.00;84.49
4815886649735726412;ECG 702;Dur,Umut;55.88;44.12;0.00;0.00;0.00;95.15;85.59
14511268288974834888;ECG 702;Morrill,Thayer Stephen;66.67;30.95;2.38;0.00;0.00;96.10;86.43
15029685076167178771;ECG 702;Roberts,Michael J.;46.67;48.00;4.00;0.00;1.33;93.33;83.87
17831525011299967232;ECG 703;Kim,Daisoon;57.45;38.30;4.26;0.00;0.00;94.89;85.32
8006978721393708501;ECG 703;Zeytoon-Nejad,Ali;83.33;16.67;0.00;0.00;0.00;98.17;88.33
14853598097828665285;ECG 703;Fiori,Giuseppe;72.00;28.00;0.00;0.00;0.00;96.92;87.20
16453651699812918875;ECG 703;Madariaga,Jessica F;80.00;20.00;0.00;0.00;0.00;97.80;88.00
12999062963693494878;ECG 703;Leblebicioglu,Asli;38.10;49.21;11.11;1.59;0.00;91.76;82.38
18165492287011149370;ECG 704;Kim,Daisoon;41.94;54.84;3.23;0.00;0.00;93.29;83.87
11897313621862228845;ECG 704;Fiori,Giuseppe;47.92;39.58;10.42;0.00;2.08;92.60;83.13
15592479782081922382;ECG 704;Leblebicioglu,Asli;41.86;48.84;8.14;1.16;0.00;92.56;83.14
17691196557837960979;ECG 705;Kabukcuoglu Dur,Ayse Zeyneti;79.41;11.76;5.88;2.94;0.00;96.56;86.76
2143653908997955984;ECG 705;Traum,Nora J;44.00;50.00;6.00;0.00;0.00;93.24;83.80
12368621516683662673;ECG 705;Civelli,Andrea;27.27;54.55;18.18;0.00;0.00;90.18;80.91
14842252314642981612;ECG 705;Guerron,Pablo A.;17.39;60.87;21.74;0.00;0.00;88.74;79.57
3969958975038957142;ECG 706;Zheng,Xiaoyong;54.55;45.45;0.00;0.00;0.00;95.00;85.45
7341276384455105588;ECG 706;Hammond,Robert Guthrie;66.67;29.63;3.70;0.00;0.00;95.96;86.30
13849976601462267422;ECG 706;Vukina,Tomislav;69.23;30.77;0.00;0.00;0.00;96.62;86.92
5532860248730546552;ECG 707;Cengiz,Ezgi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9562578652370021457;ECG 707;Zheng,Xiaoyong;68.75;31.25;0.00;0.00;0.00;96.56;86.88
4393321073361948494;ECG 707;Hammond,Robert Guthrie;83.33;16.67;0.00;0.00;0.00;98.17;88.33
2779901951451344323;ECG 708;Dur,Umut;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17051262156221073938;ECG 708;Morrill,Thayer Stephen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16963548960951871234;ECG 709;Hammond,Robert Guthrie;85.71;14.29;0.00;0.00;0.00;98.43;88.57
14167468286570275405;ECG 715;Banzhaf,Spencer;64.29;35.71;0.00;0.00;0.00;96.07;86.43
14688599948575918780;ECG 715;von Haefen,Roger H.;69.57;30.43;0.00;0.00;0.00;96.65;86.96
1239881646894920337;ECG 715;Fell,Harrison George;50.00;50.00;0.00;0.00;0.00;94.50;85.00
4185133152231212655;ECG 715;Sexton,Steven Eric;58.33;41.67;0.00;0.00;0.00;95.42;85.83
14948091163829169457;ECG 716;Brown,Zachary Steven;77.27;22.73;0.00;0.00;0.00;97.50;87.73
12052752408269712939;ECG 716;Fackler,Paul L.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
17071131582517166344;ECG 716;Taylor,Laura O.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
1549970869255399095;ECG 716;von Haefen,Roger H.;83.33;16.67;0.00;0.00;0.00;98.17;88.33
14219949311948977946;ECG 730;Morrill,Melinda Sandler;63.64;31.82;4.55;0.00;0.00;95.55;85.91
18340282554112620817;ECG 739;Guiteras,Raymond Patrick;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6526863429330392798;ECG 739;Seater,John J.;35.00;65.00;0.00;0.00;0.00;92.85;83.50
17085684226345402005;ECG 740;Renkow,Mitchell Adam;57.89;42.11;0.00;0.00;0.00;95.37;85.79
6719866589678930987;ECG 741;Rejesus,Roderick M.;69.23;30.77;0.00;0.00;0.00;96.62;86.92
7636931089090205075;ECG 741;Goodwin,Barry K.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6088930315665109913;ECG 741;Thurman,Walter N.;71.43;28.57;0.00;0.00;0.00;96.86;87.14
13960463287961479831;ECG 741;Gervais,Jean-Philippe;50.00;50.00;0.00;0.00;0.00;94.50;85.00
8362763699730904047;ECG 742;Goodwin,Barry K.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13281683456599410221;ECG 742;Thurman,Walter N.;84.21;15.79;0.00;0.00;0.00;98.26;88.42
13600838915388589285;ECG 742;Wohlgenant,Michael K.;96.15;3.85;0.00;0.00;0.00;99.58;89.62
5814344447162573749;ECG 748;Kandilov,Ivan Todorov;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8498971614300057980;ECG 749;Traum,Nora J;69.57;30.43;0.00;0.00;0.00;96.65;86.96
13993628295082239372;ECG 750;Pelletier,Denis;50.00;50.00;0.00;0.00;0.00;94.50;85.00
2183646452882988332;ECG 750;Caner,Mehmet;48.57;48.57;2.86;0.00;0.00;94.06;84.57
2616238733742809184;ECG 750;Thurman,Walter N.;44.00;56.00;0.00;0.00;0.00;93.84;84.40
12685914962452965402;ECG 751;Pelletier,Denis;43.75;50.00;6.25;0.00;0.00;93.19;83.75
6734851409860891288;ECG 751;Caner,Mehmet;38.24;61.76;0.00;0.00;0.00;93.21;83.82
13104594212536563981;ECG 752;Kalnina,Ilze;54.55;45.45;0.00;0.00;0.00;95.00;85.45
10473831555053395383;ECG 752;Pelletier,Denis;47.17;52.83;0.00;0.00;0.00;94.19;84.72
8477518660970416941;ECG 752;Inoue,Atsushi;63.27;36.73;0.00;0.00;0.00;95.96;86.33
4587577813795438166;ECG 753;Li,Zheng;73.33;26.67;0.00;0.00;0.00;97.07;87.33
14315404372006792327;ECG 753;Goodwin,Barry K.;75.00;21.88;3.13;0.00;0.00;96.94;87.19
3699661436346494636;ECG 753;Caner,Mehmet;62.00;36.00;0.00;0.00;2.00;95.22;85.60
2947357553728189699;ECG 754;Caner,Mehmet;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18181985932665369709;ECG 755;Caner,Mehmet;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18355352690826864791;ECG 765;Phan,William;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14411736693577421686;ECG 765;Dur,Umut;86.11;8.33;0.00;2.78;2.78;97.08;87.22
7209949797448799150;ECG 765;Youngblood,Curtis;50.00;50.00;0.00;0.00;0.00;94.50;85.00
3652938184514820600;ECG 765;Inoue,Atsushi;71.74;28.26;0.00;0.00;0.00;96.89;87.17
12768794599759589806;ECG 766;Fackler,Paul L.;34.21;65.79;0.00;0.00;0.00;92.76;83.42
13137263098162563415;ECG 784;Nason,James M;80.00;20.00;0.00;0.00;0.00;97.80;88.00
7210797972496050892;ECG 784;Seater,John J.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2698019111350543532;ECG 785;Nason,James M;76.92;23.08;0.00;0.00;0.00;97.46;87.69
7198623429601847603;ECG 790;Banzhaf,Spencer;71.43;28.57;0.00;0.00;0.00;96.86;87.14
17114827671992035941;ECG 790;Opromolla,Luca David;83.33;16.67;0.00;0.00;0.00;98.17;88.33
6713171387847240458;ECG 790;Caner,Mehmet;72.22;27.78;0.00;0.00;0.00;96.94;87.22
