Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9503225623880423189;ECI 102;Brocious,Jane C;84.13;6.35;4.76;1.59;3.17;96.51;86.67
10318689686734685569;ECI 201;Fogle,Laura B;66.22;29.73;1.35;1.35;1.35;95.47;85.81
10363601138236543000;ECI 201;Hall,Amanda JF;66.22;31.08;2.70;0.00;0.00;96.01;86.35
17911834166697564649;ECI 201;Brown Parker,Kerri;68.00;28.00;0.00;4.00;0.00;95.68;86.00
9959783513313099923;ECI 201;Davis,Rebekah S.;85.37;12.20;0.00;1.22;1.22;97.78;87.93
1941671570179939324;ECI 201;Smith,Bethany Virginia;76.06;18.31;4.23;1.41;0.00;96.66;86.90
6440788381386091505;ECI 201;Moore,Rob;77.27;13.64;6.82;0.00;2.27;96.14;86.36
10048845252104480958;ECI 204;MacKenzie,Devan;79.37;11.11;3.17;1.59;4.76;95.67;85.87
780447888955698119;ECI 204;Nocera,Amato;82.50;10.00;7.50;0.00;0.00;97.33;87.50
5827096486352916339;ECI 204;Lamb,Lisa Joanne;96.43;3.57;0.00;0.00;0.00;99.61;89.64
2658552536384236029;ECI 204;Greiner,Jeffrey Allen;85.71;0.00;7.14;7.14;0.00;96.29;86.43
1925850658802749161;ECI 204;Yuan,Chang  ;92.31;7.69;0.00;0.00;0.00;99.15;89.23
13220041293808483416;ECI 204;Long,Evan Raymond;72.55;23.53;3.92;0.00;0.00;96.59;86.86
18078684102560750644;ECI 204;Simmons,Crystal Gale;66.67;22.73;4.55;0.00;6.06;94.06;84.39
17038461192817657127;ECI 204;Day,Stephen Harlan;60.34;36.21;3.45;0.00;0.00;95.29;85.69
111292713537571107;ECI 204;Golding,Clare McGrath;35.71;57.14;7.14;0.00;0.00;92.21;82.86
13520258915256714733;ECI 204;Dulaney,Margaret Anne;73.08;23.08;0.00;0.00;3.85;95.88;86.15
6170676802356681131;ECI 204;Nesheim,Nicole Elizabeth;46.43;17.86;10.71;10.71;14.29;86.61;77.14
5485412957077244703;ECI 204;Wrisley,Mary Ellen;72.73;18.18;9.09;0.00;0.00;96.09;86.36
16082564566951139062;ECI 205;List,Megan Renee;59.09;30.30;1.52;1.52;7.58;92.77;83.18
1878693992078623027;ECI 205;Long,Sheryl;86.21;13.79;0.00;0.00;0.00;98.48;88.62
15331951815305137461;ECI 205;Bates,Natalie Boaz;94.87;3.85;1.28;0.00;0.00;99.31;89.36
11663886080200288507;ECI 210;Toms,Marcia L;89.47;7.89;2.63;0.00;0.00;98.58;88.68
11032431884161350971;ECI 210;Windom,Barbie;54.76;35.71;7.14;0.00;2.38;93.60;84.05
7947967585725924888;ECI 210;Ryals,Megan E;80.49;17.07;2.44;0.00;0.00;97.61;87.80
4800972308167255269;ECI 210;Jablonski,Dana Marie;71.43;7.14;7.14;0.00;14.29;91.86;82.14
13141778740872053307;ECI 296;Nocera,Amato;43.75;56.25;0.00;0.00;0.00;93.81;84.38
2044902853364559786;ECI 296;Smith,Bethany Virginia;89.36;6.38;2.13;0.00;2.13;97.98;88.09
7938227792346206808;ECI 305;MacKenzie,Devan;89.47;6.58;2.63;0.00;1.32;98.18;88.29
4067470838569560251;ECI 305;Cheek,Jackie;72.22;16.67;11.11;0.00;0.00;95.83;86.11
13218523086434758010;ECI 305;Cannon,Sarah;75.00;14.29;7.14;0.00;3.57;95.46;85.71
10750659999939942901;ECI 305;Price,Monica A.;85.19;14.81;0.00;0.00;0.00;98.37;88.52
6024427339201785015;ECI 305;Jackl,Andrew Wayne;87.69;10.77;0.00;0.00;1.54;98.18;88.31
10306668224221122704;ECI 305;Marshall,Patricia L;23.08;46.15;30.77;0.00;0.00;88.46;79.23
12276489563360068090;ECI 306;Poteat,Beth Ashley;84.62;15.38;0.00;0.00;0.00;98.31;88.46
10806363114448022132;ECI 306;Walter,Amy Renee;60.00;20.00;10.00;0.00;10.00;91.60;82.00
18033458240350360273;ECI 306;Young,Carl A;68.75;16.67;4.17;4.17;6.25;93.44;83.75
13601079417863163351;ECI 306;Alston,Chandra L.;93.48;6.52;0.00;0.00;0.00;99.28;89.35
9602708702454473419;ECI 306;Schoonover,Nina;85.45;10.91;0.00;0.00;3.64;97.31;87.45
17986971884846035579;ECI 306;Filson,Nicolette Ames;82.54;11.11;4.76;1.59;0.00;97.29;87.46
2440459401121201580;ECI 306;Moran,Clarice Makemson;89.09;10.91;0.00;0.00;0.00;98.80;88.91
8664627463578716810;ECI 306;Robinson,Linda Pigott;90.00;10.00;0.00;0.00;0.00;98.90;89.00
14737305823193653076;ECI 306;Jett,Janice Rowe;80.65;16.13;0.00;0.00;3.23;96.90;87.10
6908139244065688790;ECI 306;Dulaney,Margaret Anne;75.00;25.00;0.00;0.00;0.00;97.25;87.50
5777811808479046496;ECI 306;Akers,Anne TriceThompson;74.19;19.35;3.23;0.00;3.23;95.87;86.13
17360976670589414937;ECI 307;Peachey,Katie;73.33;26.67;0.00;0.00;0.00;97.07;87.33
9591845729959941514;ECI 307;Alston,Chandra L.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
4300872060393374579;ECI 307;Falter,Michelle Marie;65.91;18.18;6.82;2.27;6.82;93.07;83.41
14442985622151573319;ECI 307;Lee,Crystal Chen;80.95;19.05;0.00;0.00;0.00;97.90;88.10
4393902038869742675;ECI 307;Debnam-O'Dea,Rachael;79.31;20.69;0.00;0.00;0.00;97.72;87.93
2697144690888557469;ECI 307;Cannon,Sarah;50.00;41.67;0.00;8.33;0.00;92.83;83.33
16549376812514529381;ECI 307;Nesheim,Nicole Elizabeth;90.48;4.76;4.76;0.00;0.00;98.48;88.57
17407751907735114846;ECI 307;Kaulfuss,Alex Russell;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11388030474487199112;ECI 307;Pope,Carol A.;98.65;0.00;1.35;0.00;0.00;99.72;89.73
3947338421170011679;ECI 307;Pritchard,Ruie J.;85.71;14.29;0.00;0.00;0.00;98.43;88.57
8112630219187789509;ECI 307;Johnson,Sidney T;97.87;0.00;0.00;0.00;2.13;99.13;89.15
11899767107825804640;ECI 309;Walter,Amy Renee;90.91;9.09;0.00;0.00;0.00;99.00;89.09
14570200991172676184;ECI 309;Hammond,Callie Ellison;86.96;13.04;0.00;0.00;0.00;98.57;88.70
732695208098228854;ECI 309;Beal,Candy M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
330327917711528062;ECI 309;Robinson,Linda Pigott;95.00;0.00;5.00;0.00;0.00;98.95;89.00
5751144821519018841;ECI 309;Bates,Natalie Boaz;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14391184522304194811;ECI 332;Wagner,Deborah K;97.14;0.00;1.43;0.00;1.43;99.11;89.14
11656552894877055926;ECI 333;Wagner,Deborah K;94.29;2.86;0.00;0.00;2.86;98.51;88.57
1059539198096341536;ECI 335;Hill,Nicole Bierwagen;94.44;5.56;0.00;0.00;0.00;99.39;89.44
7869868482885732294;ECI 335;Wagner,Deborah K;98.08;1.92;0.00;0.00;0.00;99.79;89.81
5859022051785332297;ECI 336;Wagner,Deborah K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16097593970273520498;ECI 405;Peachey,Katie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12516900478095175467;ECI 405;Falter,Michelle Marie;61.22;38.78;0.00;0.00;0.00;95.73;86.12
1280370260988219360;ECI 405;Moran,Clarice Makemson;100.00;0.00;0.00;0.00;0.00;100.00;90.00
683018229916964371;ECI 405;Pope,Carol A.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16225199268233612836;ECI 416;Crawford,Paula H;70.91;20.00;1.82;1.82;5.45;94.62;84.91
12653434375642959856;ECI 416;Lukins,Jordan McNeill;68.29;15.85;9.76;0.00;6.10;93.71;84.02
5790477700513579047;ECI 416;Pearson,Jamie;90.38;5.77;1.92;1.92;0.00;98.37;88.46
11942640771978698342;ECI 416;Mckeithan,Glennda Kashner;81.54;9.23;7.69;1.54;0.00;96.89;87.08
11726122714068135124;ECI 416;Barrett,Michael;66.04;16.98;7.55;1.89;7.55;92.87;83.21
2218532363643203577;ECI 416;Southern,Louise Buchholz;64.71;23.53;5.88;0.00;5.88;93.76;84.12
17033120465260621889;ECI 416;Mills,Brad Scott;51.52;33.33;6.06;6.06;3.03;91.94;82.42
6670743603274560447;ECI 416;Osborne,Susan Sinclair;83.33;4.76;7.14;0.00;4.76;96.02;86.19
5592488927862961924;ECI 416;Cullinan,Douglas A.;58.14;18.60;16.28;0.00;6.98;91.67;82.09
9917088203642993866;ECI 416;Pennington,Malinda Leigh Teeters;65.00;20.00;5.00;0.00;10.00;92.65;83.00
6806202383942737634;ECI 416;Brock,Lynne Beazlie;61.36;34.09;0.00;0.00;4.55;94.39;84.77
3295905138114821362;ECI 416;Wery,Jessica Jo;76.27;22.03;1.69;0.00;0.00;97.22;87.46
10239468848345888198;ECI 416;Mamlin,Nancy Liesta;50.00;28.57;14.29;0.00;7.14;90.93;81.43
2548143116692559897;ECI 416;Shimpi,Kristan Bennett;92.59;3.70;3.70;0.00;0.00;98.81;88.89
5286065732543198531;ECI 416;Weiss,Stacy Lynn;70.37;29.63;0.00;0.00;0.00;96.74;87.04
7981145885839904804;ECI 416;Mills,William David;68.00;20.00;4.00;0.00;8.00;93.68;84.00
281350767212453279;ECI 423;Tharrington,Karen;71.43;28.57;0.00;0.00;0.00;96.86;87.14
6411456506967465822;ECI 424;Tharrington,Karen;78.57;21.43;0.00;0.00;0.00;97.64;87.86
14373613443545911069;ECI 430;Poteat,Beth Ashley;89.19;10.81;0.00;0.00;0.00;98.81;88.92
8937452980349043537;ECI 430;Schoonover,Nina;61.76;38.24;0.00;0.00;0.00;95.79;86.18
1777081196861723080;ECI 430;Falter,Michelle Marie;65.12;34.88;0.00;0.00;0.00;96.16;86.51
12416927113748128199;ECI 430;Moran,Clarice Makemson;95.71;4.29;0.00;0.00;0.00;99.53;89.57
9016490700928820131;ECI 430;Young,Carl A;63.16;35.53;1.32;0.00;0.00;95.82;86.18
17803707288022441916;ECI 435;Shaver,Beth Ann;95.83;4.17;0.00;0.00;0.00;99.54;89.58
3954298710949600255;ECI 435;Wafa,Nada;92.31;7.69;0.00;0.00;0.00;99.15;89.23
6068917500594904892;ECI 435;Holmes,Casey  ;69.57;30.43;0.00;0.00;0.00;96.65;86.96
15257747252851750813;ECI 435;Robinson,Linda Pigott;90.91;9.09;0.00;0.00;0.00;99.00;89.09
4297002600027370069;ECI 435;Long,Evan Raymond;83.78;16.22;0.00;0.00;0.00;98.22;88.38
684319803252760118;ECI 435;Simmons,Crystal Gale;90.54;9.46;0.00;0.00;0.00;98.96;89.05
