Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15049121046318259394;ED 100;Beller,Amanda Duncan;98.94;1.06;0.00;0.00;0.00;99.88;89.89
17993830737584325270;ED 100;Ridgell,Morgan  ;94.05;3.57;2.38;0.00;0.00;99.11;89.17
11936157827443261299;ED 100;Worrell,Samantha;96.67;1.11;0.00;0.00;2.22;98.97;89.00
15120921042207241891;ED 100;Martin,Keith;84.62;5.77;1.92;5.77;1.92;96.38;86.54
5135069111137187300;ED 100;Duke,Samantha;89.29;10.71;0.00;0.00;0.00;98.82;88.93
7455861791654291553;ED 100;Calderon Lima,Rebeca  ;84.00;8.00;0.00;0.00;8.00;95.84;86.00
996251464768311600;ED 100;Taylor,Christin;91.23;8.77;0.00;0.00;0.00;99.04;89.12
473166318222066064;ED 100;White PhD,Whitney Richardson;95.00;5.00;0.00;0.00;0.00;99.45;89.50
15782731985578865450;ED 100;Brittian,Tremaine;52.50;32.50;6.25;3.75;5.00;91.90;82.38
4457644406512237431;ED 100;Epperson,Kathleen Anne;85.96;12.28;0.00;1.75;0.00;98.11;88.25
2988947840554457949;ED 100;Williams,Regina Gavin;89.61;7.79;2.60;0.00;0.00;98.60;88.70
14965552003798547521;ED 100;Yancey,Deidre Pinnix;75.00;21.21;2.27;0.76;0.76;96.64;86.89
520010024557453201;ED 100;Williams,Eileen D.;63.36;33.59;3.05;0.00;0.00;95.66;86.03
596652246218734012;ED 101;Clinkscales,Michael J;93.48;5.80;0.72;0.00;0.00;99.21;89.28
13712334119281883166;ED 102;Clinkscales,Michael J;87.77;10.07;1.44;0.00;0.72;98.29;88.42
10920595520033797640;ED 103;Persons,Ashley Arnold;85.94;7.81;6.25;0.00;0.00;97.83;87.97
10475122511461268466;ED 103;Horne,Erin Thomas;92.86;3.57;3.57;0.00;0.00;98.86;88.93
18220645898267524032;ED 103;McGregor,Amber Carr;71.43;18.37;2.04;6.12;2.04;94.82;85.10
10478355930791291405;ED 104;Persons,Ashley Arnold;88.61;6.33;3.80;1.27;0.00;98.11;88.23
4731934447632388750;ED 104;Horne,Erin Thomas;88.24;0.00;11.76;0.00;0.00;97.53;87.65
17971626295051401079;ED 104;McGregor,Amber Carr;73.91;15.22;6.52;2.17;2.17;95.39;85.65
6120827451211747903;ED 150;Grace,Emily;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16194168170432512502;ED 150;McWilliams,Robin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15206792386505015826;ED 150;Hubbard,Lindsey;99.25;0.75;0.00;0.00;0.00;99.92;89.93
11815780902008827884;ED 151;Grace,Emily;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12856558311456573023;ED 151;Hubbard,Lindsey;99.15;0.85;0.00;0.00;0.00;99.91;89.91
13883742592444252540;ED 151;McWilliams,Robin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10472369995183768854;ED 201;Clinkscales,Michael J;87.79;11.45;0.76;0.00;0.00;98.58;88.70
1579155283484106766;ED 202;Clinkscales,Michael J;85.27;7.75;4.65;1.55;0.78;97.37;87.52
185385139370618592;ED 204;Rivera,Amelia;75.76;12.12;3.03;0.00;9.09;94.30;84.55
8620912766767832463;ED 204;Clark,Brittani N;75.56;13.33;8.89;2.22;0.00;95.98;86.22
398077152473316585;ED 204;Stinson,Christopher;89.19;5.41;2.70;0.00;2.70;97.73;87.84
6199512729614154572;ED 204;Cannon,Sarah;66.67;21.43;4.76;0.00;7.14;93.71;84.05
