Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10010723950978329355;EDP 304;Bindra,Vandna;82.96;14.07;2.22;0.00;0.74;97.68;87.85
2986997988939976779;EDP 304;MacCormac,Amanda;92.94;5.88;1.18;0.00;0.00;99.11;89.18
16553615296724234395;EDP 304;Jackman-Ryan,Stella  ;81.25;16.67;2.08;0.00;0.00;97.73;87.92
15411950826715421642;EDP 304;Pesout,Ondrej;43.86;43.86;12.28;0.00;0.00;92.60;83.16
11862504769905416770;EDP 304;Nietfeld,John;42.65;36.76;15.44;2.94;2.21;90.90;81.47
7375315932207033415;EDP 304;Dean Hughes,Micaha;93.85;3.08;1.54;0.00;1.54;98.71;88.77
12148023585161155839;EDP 304;Reid-Daniels,Latasha;87.88;9.09;3.03;0.00;0.00;98.36;88.48
3928912998360175561;EDP 304;De La Torre,Corina;95.24;0.00;0.00;0.00;4.76;98.05;88.10
15126493133768892237;EDP 304;Ali,Joanna Nicole;88.00;8.00;1.33;0.00;2.67;97.75;87.87
6081496194549018498;EDP 304;Zakaria,Zarifa;89.47;10.53;0.00;0.00;0.00;98.84;88.95
10243105745957631606;EDP 304;Calderon Lima,Rebeca  ;57.53;24.66;8.22;1.37;8.22;91.77;82.19
9327317677549983039;EDP 304;Wagemaker,Marina;96.00;0.00;4.00;0.00;0.00;99.16;89.20
3955476431843752726;EDP 304;Syal,Samira;59.42;27.54;5.80;2.90;4.35;93.07;83.48
2970755948444389859;EDP 304;Karamarkovich,Sarah;88.00;8.00;4.00;0.00;0.00;98.28;88.40
6368544900122079190;EDP 304;McElveen,Tamika  ;83.05;10.17;6.78;0.00;0.00;97.46;87.63
3372356284130359502;EDP 304;Wornoff,Jason R;83.75;12.50;1.25;0.00;2.50;97.34;87.50
13569934630360591896;EDP 304;Vladimirova,Elena  ;42.67;40.00;9.33;4.00;4.00;90.76;81.33
16584952034395422600;EDP 304;Outlaw,Janet Kim;74.00;24.00;2.00;0.00;0.00;96.94;87.20
9440905801930303572;EDP 304;Green,Marcus Allen;97.65;1.18;0.00;1.18;0.00;99.51;89.53
4195672045044081494;EDP 304;Garbutt,Bayley Kamau;71.25;23.75;1.25;1.25;2.50;95.71;86.00
17742583539267132533;EDP 304;Thomson,Margareta Maria;98.08;0.00;1.92;0.00;0.00;99.60;89.62
17910417282411924363;EDP 304;Spencer,Dan;29.31;46.55;18.97;3.45;1.72;89.12;79.83
4591364339730232878;EDP 304;Gray,DeLeon L;71.70;19.81;4.72;0.00;3.77;95.28;85.57
16523210258951655503;EDP 304;Zimmerman,Shayne Philana;50.62;37.04;9.88;0.00;2.47;92.84;83.33
4947339616615985551;EDP 304;Baggett,Hannah Carson;48.33;25.00;20.00;0.00;6.67;90.32;80.83
2388697933778452370;EDP 304;Wimberly,Dalia Singleton;61.19;31.34;2.99;2.99;1.49;94.39;84.78
16754492191421389940;EDP 304;Palermo,Corey John;12.12;51.52;33.33;0.00;3.03;86.09;76.97
2552579593180913054;EDP 304;Hoffmann PhD,Kristin Fisher;52.73;38.18;7.27;1.82;0.00;93.71;84.18
3184647819123891452;EDP 304;Davis-Bauer,Heather A;58.95;30.57;6.99;1.31;2.18;93.87;84.28
15375381795323918986;EDP 304;Gregory,Bradley Barnes;79.27;10.98;4.88;2.44;2.44;96.01;86.22
12665901773075902716;EDP 304;DiFrancesca,Daniell;87.14;8.57;2.86;0.00;1.43;97.87;88.00
4183025755853595601;EDP 304;Bellezza,Shannon Weems;84.09;9.09;4.55;2.27;0.00;97.34;87.50
3800422921526885655;EDP 304;Craver,Lisa A;76.52;20.87;2.61;0.00;0.00;97.16;87.39
18411115456285603132;EDP 304;Conley,Abigail Holland;55.00;36.25;8.75;0.00;0.00;94.18;84.63
6175000312716662488;EDP 304;Osborne,Jason W;68.04;12.32;8.50;4.40;6.74;92.73;83.05
14455169022562479029;EDP 304;Styers,Mary Koenig;48.65;32.43;5.41;5.41;8.11;90.30;80.81
430608781141603195;EDP 370;Thomson,Margareta Maria;91.89;6.76;1.35;0.00;0.00;98.97;89.05
3580382888908395838;EDP 370;Pesout,Ondrej;65.38;30.77;3.85;0.00;0.00;95.81;86.15
5426554512834350855;EDP 370;McElveen,Tamika  ;86.67;11.11;2.22;0.00;0.00;98.31;88.44
10707328431574739051;EDP 370;Bindra,Vandna;96.00;4.00;0.00;0.00;0.00;99.56;89.60
6475489859400136140;EDP 370;Zimmerman,Shayne Philana;75.86;13.79;10.34;0.00;0.00;96.31;86.55
6382920178562243294;EDP 370;Davis-Bauer,Heather A;90.77;7.69;0.00;0.00;1.54;98.52;88.62
