Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15144512488586375573;EGR 501;Morton,Doug Gray;84.62;14.29;1.10;0.00;0.00;98.20;88.35
6180341168638182360;EGR 501;Reynolds,Kanton T.;54.55;39.39;6.06;0.00;0.00;94.39;84.85
14580170644771946654;EGR 501;Feinstein,Myron Elliot;68.42;31.58;0.00;0.00;0.00;96.53;86.84
15022479512513239488;EGR 505;Addison,Ed;66.67;31.25;2.08;0.00;0.00;96.13;86.46
15127015643703700045;EGR 505;Krute,Linda D;86.00;14.00;0.00;0.00;0.00;98.46;88.60
3621796267947158596;EGR 505;Wright,Kevin;76.74;23.26;0.00;0.00;0.00;97.44;87.67
4985502307825645164;EGR 505;Feinstein,Myron Elliot;69.81;30.19;0.00;0.00;0.00;96.68;86.98
1458174788922988048;EGR 506;Addison,Ed;95.92;4.08;0.00;0.00;0.00;99.55;89.59
15298388251479108150;EGR 507;Addison,Ed;96.83;3.17;0.00;0.00;0.00;99.65;89.68
5099270274963289449;EGR 517;Rispoli,James A;75.76;15.15;6.06;0.00;3.03;95.82;86.06
18428410619010685463;EGR 518;Rispoli,James A;85.71;14.29;0.00;0.00;0.00;98.43;88.57
11404914831507241676;EGR 590;Saloni,Daniel Erique;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10499216907151221332;EGR 590;Addison,Ed;97.87;0.00;0.00;0.00;2.13;99.13;89.15
803283447298660397;EGR 590;Krute,Linda D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9908500192958320758;EGR 590;Bottomley,Laura J;91.30;4.35;0.00;0.00;4.35;97.74;87.83
4691582276449879999;EGR 590;Rispoli,James A;90.63;9.38;0.00;0.00;0.00;98.97;89.06
18041060132618932936;EGR 590;Catete,Veronica;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4815959720653109563;EGR 590;Reynolds,Kanton T.;80.00;20.00;0.00;0.00;0.00;97.80;88.00
16355661321616006744;EGR 590;Feinstein,Myron Elliot;73.47;26.53;0.00;0.00;0.00;97.08;87.35
10777380354607716054;EGR 590;Clapp,Timothy Gladstone;69.77;30.23;0.00;0.00;0.00;96.67;86.98
46421701314572292;EGR 590;Honeycutt,Thomas Lynn;66.67;28.57;0.00;0.00;4.76;94.90;85.24
