Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18054119575725873719;ELM 250;Kuebel,Kari Ann;92.59;4.94;2.47;0.00;0.00;98.94;89.01
14771714631595522351;ELM 250;Koch,Joanna Greer;92.68;4.88;0.00;0.00;2.44;98.46;88.54
11139359243186935692;ELM 250;Knight - Watkins,Betsy;90.77;7.69;1.54;0.00;0.00;98.83;88.92
17696770609651190807;ELM 250;Carrier,Sarah J;83.93;14.29;0.00;0.00;1.79;97.70;87.86
5274926359496604673;ELM 310;Howard,Anna Sasser;92.73;1.82;1.82;0.00;3.64;97.93;88.00
14885625314820574615;ELM 310;Jarry-Shore,Michael Andre;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7566297309006042577;ELM 310;Gallagher,Danielle Moloney;80.85;17.02;2.13;0.00;0.00;97.68;87.87
14800527307514859593;ELM 310;West,Heather  ;88.46;11.54;0.00;0.00;0.00;98.73;88.85
12776580440774406850;ELM 310;Yanez Castillo,Natalia;68.89;22.22;8.89;0.00;0.00;95.69;86.00
18395035775497725690;ELM 310;Faulkner,Valerie Ness;76.92;16.92;4.62;0.00;1.54;96.54;86.77
3080927940076952418;ELM 310;Carman,Luke Bodden;95.65;4.35;0.00;0.00;0.00;99.52;89.57
7330245186291263501;ELM 310;Womack-Adams,Kelly Ann;81.82;13.64;4.55;0.00;0.00;97.55;87.73
16537725468813741502;ELM 310;Yova,Frederique;95.45;4.55;0.00;0.00;0.00;99.50;89.55
17232697027563680541;ELM 310;Kates,Amanda;83.33;12.50;4.17;0.00;0.00;97.75;87.92
3685632761210453039;ELM 310;Mojica,Gemma Foust;94.23;5.77;0.00;0.00;0.00;99.37;89.42
17315750495762854869;ELM 320;McGowan,Jill Kelly;80.49;15.85;1.22;0.00;2.44;97.00;87.20
9786080565777665032;ELM 320;Fiocca,Stephanie James;88.68;7.55;3.77;0.00;0.00;98.38;88.49
17127937956375889106;ELM 320;Romeo,Laura;88.89;7.41;3.70;0.00;0.00;98.41;88.52
11881797632856152993;ELM 320;Scharen,Danielle  ;83.61;13.11;3.28;0.00;0.00;97.87;88.03
135322203147011227;ELM 320;Carrier,Sarah J;60.00;27.14;7.14;5.71;0.00;93.74;84.14
4226056800429926287;ELM 330;Jones,Jill S.;87.80;8.54;0.00;0.00;3.66;97.56;87.68
13371660428837891414;ELM 330;Harrington,Ann D;85.92;12.68;1.41;0.00;0.00;98.31;88.45
9634689953272572494;ELM 330;Amendum,Emily Kathryn;94.44;5.56;0.00;0.00;0.00;99.39;89.44
16366552604957055489;ELM 330;Amendum,Steven J.;94.12;5.88;0.00;0.00;0.00;99.35;89.41
17576331771079669933;ELM 335;Jones,Jill S.;86.84;11.84;1.32;0.00;0.00;98.42;88.55
6279827045133836712;ELM 335;Harrington,Ann D;95.24;3.17;1.59;0.00;0.00;99.32;89.37
14875991449932255467;ELM 335;Wiseman,Angela;88.61;8.86;2.53;0.00;0.00;98.49;88.61
