Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4977334761762903717;ELP 344;Young,Tamara V.;90.74;5.56;1.85;0.00;1.85;98.24;88.33
5994138271702600185;ELP 344;Hessling,Peter A;77.78;2.78;8.33;0.00;11.11;93.39;83.61
10128215964199523626;ELP 344;Uzzell,Elizabeth  ;60.00;20.00;6.67;0.00;13.33;90.93;81.33
11497866824193185523;ELP 344;Anderson,Karen Leondria;90.24;9.76;0.00;0.00;0.00;98.93;89.02
17422338695964016656;ELP 344;Kanwit,Ariana  ;82.35;11.76;5.88;0.00;0.00;97.47;87.65
18093182321242309943;ELP 344;Boomer,Marvin Lavelle;75.00;0.00;16.67;0.00;8.33;93.08;83.33
4674593013772052210;ELP 344;Marker,Kathryn Christner;90.00;0.00;10.00;0.00;0.00;97.90;88.00
3191198269201679791;ELP 344;Brinson Jr,Kenneth H.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6152464803737727209;ELP 344;Allen,Ashley Jo;70.00;26.67;3.33;0.00;0.00;96.37;86.67
141584682988043536;ELP 344;Strickland,James Herbert;96.00;4.00;0.00;0.00;0.00;99.56;89.60
4592870210382073239;ELP 344;Robinson,Jo-Ann;92.16;3.92;1.96;0.00;1.96;98.35;88.43
4720730848499292931;ELP 344;Bitting,Paul F.;92.86;3.57;0.00;0.00;3.57;98.14;88.21
17599982105225947446;ELP 344;Warren,Thomas P.;96.43;3.57;0.00;0.00;0.00;99.61;89.64
14394919649248015956;ELP 344;Grant,Carl P.;53.85;30.77;7.69;0.00;7.69;91.85;82.31
16500949911767016945;ELP 344;Lewis Jr,Wayne D;90.00;3.33;0.00;0.00;6.67;96.90;87.00
4994793731658473602;ELP 515;Ayscue,Jenn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14440238988715419040;ELP 515;Fusarelli,Lance D.;97.30;2.70;0.00;0.00;0.00;99.70;89.73
11347052442898103381;ELP 515;Jackson,Anthony D;88.89;11.11;0.00;0.00;0.00;98.78;88.89
7279992417636443431;ELP 515;Champion,Brenda D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7433136700526029545;ELP 515;Bass,Lisa R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
685300156614315918;ELP 515;Bitting,Paul F.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14493330330563095053;ELP 515;Joseph,Beverly Long;96.00;4.00;0.00;0.00;0.00;99.56;89.60
17592020446251426050;ELP 515;Dixon-Saxon,Savitri V.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12793586443068444330;ELP 515;Brinson Jr,Kenneth H.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9078943580665410055;ELP 518;Harrison Jr,William C;96.88;3.13;0.00;0.00;0.00;99.66;89.69
14968075014876496103;ELP 518;Ward,Michael E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11840668462818246156;ELP 518;Jackl,Andrew Wayne;87.72;12.28;0.00;0.00;0.00;98.65;88.77
16694098636522335128;ELP 518;Brady,Kevin P.;98.00;2.00;0.00;0.00;0.00;99.78;89.80
9660028888200932588;ELP 518;Alsbury,Thomas L.;94.87;5.13;0.00;0.00;0.00;99.44;89.49
2954258682904143230;ELP 518;Harris,Carl Edward;93.33;6.67;0.00;0.00;0.00;99.27;89.33
11098551730027184606;ELP 520;Brady,Kevin P.;97.56;2.44;0.00;0.00;0.00;99.73;89.76
11464229951724474008;ELP 520;Overstreet III,Norman Andrew;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3148607905301914660;ELP 520;Hicks,Gregory E.;96.88;3.13;0.00;0.00;0.00;99.66;89.69
8678146464659159716;ELP 532;Hunt Jr,Louis David;63.16;36.84;0.00;0.00;0.00;95.95;86.32
2507057129913525658;ELP 532;Taylor Jr,Raymond G;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3144942757431276148;ELP 532;Jackl,Andrew Wayne;72.97;24.32;2.70;0.00;0.00;96.76;87.03
4308063387848259078;ELP 534;Bitting,Paul F.;97.67;2.33;0.00;0.00;0.00;99.74;89.77
9872757422806043541;ELP 534;Decker,Gregory S.;92.86;7.14;0.00;0.00;0.00;99.21;89.29
1621201448295551563;ELP 534;Gainey,Paul Barrow;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5298964206527455686;ELP 534;Brinson Jr,Kenneth H.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15737260254186325247;ELP 550;Smith,Claudia Saavedra;96.30;3.70;0.00;0.00;0.00;99.59;89.63
5444032453009087974;ELP 550;Drake,Timothy Arthur;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7125443794924780670;ELP 550;Williams,Cathy Sue;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6057109397976598448;ELP 550;Ashley,Patricia Andrews;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3455839215377657333;ELP 550;Price Jr,Eddie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13514487285488816990;ELP 550;Champion,Brenda D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12272892501053422125;ELP 550;Johnson,Henry Louis;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2881588789245102863;ELP 550;Headen,Monica Dolores;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4950653927130566620;ELP 550;Ellerbe,James Christopher;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9317351758074458193;ELP 550;Williams,Lynn C.;89.58;8.33;2.08;0.00;0.00;98.65;88.75
18428606978575058411;ELP 550;Fusarelli,Bonnie C;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16884688777055623800;ELP 550;Peterson,Rodney Len;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17579693407486512210;ELP 550;Brady,Kevin P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11280305756028440117;ELP 550;Alsbury,Thomas L.;84.62;12.82;2.56;0.00;0.00;98.05;88.21
15071425677017437297;ELP 550;Militello,Matthew Carl;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7586523080526908478;ELP 551;Riddick,Francine Piscitelli;93.94;3.03;3.03;0.00;0.00;99.03;89.09
14163951055195421676;ELP 551;Champion,Brenda D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4886663722660933530;ELP 551;Drake,Timothy Arthur;97.78;2.22;0.00;0.00;0.00;99.76;89.78
18303803828384500590;ELP 551;Corn,Jenifer Osullivan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17651714256135000598;ELP 551;Ashley,Patricia Andrews;93.33;6.67;0.00;0.00;0.00;99.27;89.33
10783919851449451826;ELP 551;Argent,James Lee;87.50;12.50;0.00;0.00;0.00;98.63;88.75
7925966360805573544;ELP 551;Hicks,Gregory E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13548133642535957520;ELP 551;Harrison Jr,William C;96.15;3.85;0.00;0.00;0.00;99.58;89.62
6347148966473024369;ELP 551;Militello,Matthew Carl;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10842214497347867982;ELP 551;Faircloth,Susan C;90.91;9.09;0.00;0.00;0.00;99.00;89.09
1717786568235840283;ELP 551;Fusarelli,Lance D.;93.33;6.67;0.00;0.00;0.00;99.27;89.33
6415569043957813794;ELP 551;Hobbs,Patricia Ann;95.24;0.00;4.76;0.00;0.00;99.00;89.05
7695289740127630831;ELP 551;Bitting,Paul F.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7305760703742910972;ELP 551;Cartner,Larry Wayne;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1513904846190427092;ELP 551;Peel,Joseph W.;52.38;47.62;0.00;0.00;0.00;94.76;85.24
8026252893694990470;ELP 551;Branch,Kenneth A.;92.86;7.14;0.00;0.00;0.00;99.21;89.29
17327226269463160797;ELP 552;Riddick,Francine Piscitelli;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14153202636632905617;ELP 552;Williams,Cathy Sue;90.91;9.09;0.00;0.00;0.00;99.00;89.09
3453978020269910115;ELP 552;Price Jr,Eddie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17490104260865753743;ELP 552;Mubenga PhD,Pascal Tshiteya;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8486834965036851647;ELP 552;Argent,James Lee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18190046444734878501;ELP 552;Williams,Lynn C.;90.48;9.52;0.00;0.00;0.00;98.95;89.05
14927092981074504686;ELP 552;Smith,Nicole Tripp;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11822606124665190661;ELP 552;Ellerbe,James Christopher;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8457909776736239284;ELP 552;Militello,Matthew Carl;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13652205190567535967;ELP 552;Branch,Kenneth A.;90.91;0.00;9.09;0.00;0.00;98.09;88.18
8370806429900494967;ELP 553;Riddick,Francine Piscitelli;100.00;0.00;0.00;0.00;0.00;100.00;90.00
155808237424619545;ELP 553;Jackson,Anthony D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10809970491769414194;ELP 553;Hicks,Gregory E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11543134784039269480;ELP 553;Ashley,Patricia Andrews;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2836230957718448927;ELP 553;Arrington,Shirley Hart;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5072344510118383021;ELP 553;Smith,Nicole Tripp;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1066521362544660052;ELP 553;Holland,Martha A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10495122052046891665;ELP 553;Militello,Matthew Carl;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5707479259441553263;ELP 554;Jones,Bennett;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5404306688607928419;ELP 554;Price Jr,Eddie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11993728677365752033;ELP 554;Harrison Jr,William C;95.24;4.76;0.00;0.00;0.00;99.48;89.52
3106020788199501810;ELP 554;Cartner,Larry Wayne;88.24;11.76;0.00;0.00;0.00;98.71;88.82
16332990233787938068;ELP 554;Brady,Kevin P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10531982545126476947;ELP 554;Peterson,Rodney Len;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4995146177968221620;ELP 554;Arrington,Shirley Hart;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3629864268288808489;ELP 580;Riddick,Francine Piscitelli;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17249731137351743285;ELP 580;Alsbury,Thomas L.;93.55;3.23;0.00;0.00;3.23;98.32;88.39
6095107866468473983;ELP 580;Fusarelli,Lance D.;88.00;8.00;4.00;0.00;0.00;98.28;88.40
9645379770398407523;ELP 580;Schoen,LaTefy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2730837656638283457;ELP 589;Ansbacher,David Benjamin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11815579449954371124;ELP 589;Hicks,Gregory E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5392655307562142654;ELP 589;Schoen,LaTefy;91.67;8.33;0.00;0.00;0.00;99.08;89.17
7929359377477106603;ELP 589;Manzo,Deborah Rose;100.00;0.00;0.00;0.00;0.00;100.00;90.00
