Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5024881239536791535;EM 501;Morton,Doug Gray;75.00;22.50;2.50;0.00;0.00;97.00;87.25
3543596190412195977;EM 517;Rispoli,James A;72.73;27.27;0.00;0.00;0.00;97.00;87.27
13652139185443726798;EM 530;DelGrosso,Steven V;44.92;55.08;0.00;0.00;0.00;93.94;84.49
17117015949963070973;EM 538;Livingston,Frederick J.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12743536605783865333;EM 589;Addison,Ed;98.04;1.96;0.00;0.00;0.00;99.78;89.80
16200955886408857431;EM 589;Reynolds,Kanton T.;90.91;9.09;0.00;0.00;0.00;99.00;89.09
16558249103023939992;EM 589;Rispoli,James A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1448751497554040885;EM 589;Livingston,Frederick J.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4755153616333793519;EM 589;Rock PhD,Christopher Dewayne;83.33;16.67;0.00;0.00;0.00;98.17;88.33
16472116019816896771;EM 589;Ozaltin,Osman Yalin;42.86;28.57;28.57;0.00;0.00;90.86;81.43
11247143250499023952;EM 675;Gregory,Kenneth Edward;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14528250204277194677;EM 675;Taheri,Javad;0.00;0.00;0.00;0.00;0.00;0.00;0.00
316251213046281349;EM 675;McConnell,Brandon;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13785838229569690704;EM 675;Ivy,Julie Simmons;0.00;0.00;0.00;0.00;0.00;0.00;0.00
