Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4248503580014623224;EMA 110;Brown,Kathryn Louise;93.06;5.56;0.00;1.39;0.00;98.96;89.03
13778453490447335568;EMA 365;Beckman,Gary Dean;34.44;50.00;8.89;3.33;3.33;90.23;80.89
4904065441365462500;EMA 365;Brown,Kathryn Louise;89.66;9.20;1.15;0.00;0.00;98.75;88.85
898561282710097152;EMA 365;Gangi,Jonathan James;90.00;10.00;0.00;0.00;0.00;98.90;89.00
4933599696789403881;EMA 370;Brown,Kathryn Louise;85.19;8.64;1.23;1.23;3.70;96.89;87.04
18433150506863814793;EMA 370;Beckman,Gary Dean;57.14;33.33;7.94;0.00;1.59;94.02;84.44
3942406923523537067;EMA 375;Beckman,Gary Dean;40.43;51.06;6.38;0.00;2.13;92.17;82.77
1807010175437315037;EMA 375;Brown,Kathryn Louise;73.91;21.74;4.35;0.00;0.00;96.70;86.96
842787450391431756;EMA 430;Beckman,Gary Dean;97.73;2.27;0.00;0.00;0.00;99.75;89.77
1720370090023476990;EMA 430;Brown,Kathryn Louise;100.00;0.00;0.00;0.00;0.00;100.00;90.00
