Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9562322399868768809;EMS 101;Patton,Shannon U;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9074723795966538725;EMS 101;Park,John C.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13371732165029441885;EMS 101;Williams,Eileen D.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8264878730393526120;EMS 102;Brocious,Jane C;70.00;20.00;0.00;0.00;10.00;93.70;84.00
12000349711275290017;EMS 203;Lineberry,Carrie Amanda Mae;82.98;14.89;2.13;0.00;0.00;97.91;88.09
11609705482386063485;EMS 203;Lee,Hollylynne Stohl;81.25;18.75;0.00;0.00;0.00;97.94;88.13
7435964099334046396;EMS 203;Norwood,Karen S.;93.18;4.55;0.00;0.00;2.27;98.57;88.64
10273795791785331220;EMS 203;Blanchard,Meg;85.11;10.64;2.13;0.00;2.13;97.51;87.66
590175770382139497;EMS 203;Cayton,Charity Sue-Adams;87.18;12.82;0.00;0.00;0.00;98.59;88.72
5322468111368032126;EMS 203;Broadwell,Bethany P.;75.00;8.33;0.00;0.00;16.67;92.25;82.50
9403029570198829592;EMS 203;Park,John C.;70.00;30.00;0.00;0.00;0.00;96.70;87.00
9407572672804451091;EMS 203;Ives,Sarah Elizabeth;86.67;6.67;0.00;0.00;6.67;96.53;86.67
11166785884714341316;EMS 204;Anderson,Robin Keturah;86.05;6.98;4.65;0.00;2.33;97.30;87.44
7572218718188314247;EMS 204;Ideus,Aaron Phillip;72.73;18.18;9.09;0.00;0.00;96.09;86.36
2881940201360756465;EMS 204;Carman,Luke Bodden;96.15;0.00;0.00;0.00;3.85;98.42;88.46
446524965250341027;EMS 204;Lopez Torres,Jonathan;93.33;0.00;6.67;0.00;0.00;98.60;88.67
9756260671202718881;EMS 204;Williams PhD,Derek Andrew;72.22;11.11;5.56;11.11;0.00;94.17;84.44
2863298955649373604;EMS 204;Downing,Greg;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12847506958867495527;EMS 204;Edgington,Cyndi;78.57;21.43;0.00;0.00;0.00;97.64;87.86
9259449356892133354;EMS 204;Norwood,Karen S.;70.00;20.00;10.00;0.00;0.00;95.70;86.00
17868204270411636254;EMS 204;McNeil,Celethia Keith;53.03;37.88;7.58;0.00;1.52;93.62;84.09
9462551981966635672;EMS 204;Thompson,Laila Lorolyn;76.47;17.65;0.00;0.00;5.88;95.65;85.88
18352416371522116085;EMS 204;Hollebrands,Karen;78.57;14.29;0.00;0.00;7.14;95.50;85.71
