Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6918768041629323660;ENG 100;Darling,Judith Ellen;36.36;45.45;18.18;0.00;0.00;91.18;81.82
17623910816741313523;ENG 100;Hall,Megan Naomi;34.29;54.29;11.43;0.00;0.00;91.63;82.29
17223767826021349015;ENG 100;Bagley,Kate A.;23.53;61.76;14.71;0.00;0.00;90.12;80.88
9076521275173581581;ENG 100;Ramm,Wanda J;22.50;20.00;55.00;0.00;2.50;85.23;76.00
9107737682105699355;ENG 100;Lewis,Chad;33.33;50.00;16.67;0.00;0.00;91.00;81.67
5703872224322592701;ENG 100;Burns,Ashley Wise;52.00;36.00;12.00;0.00;0.00;93.52;84.00
14182193804771282642;ENG 100;Brock,Kevin Michael;28.57;71.43;0.00;0.00;0.00;92.14;82.86
8667912237620096105;ENG 100;Hogan,Jameson Charles;50.00;30.00;20.00;0.00;0.00;92.50;83.00
8471826081871217557;ENG 100;Stamper,Roy T;36.84;52.63;10.53;0.00;0.00;92.00;82.63
18334526517756041866;ENG 100;Jones,Shawna Dierdre;50.00;30.00;20.00;0.00;0.00;92.50;83.00
12531031043083280949;ENG 100;Mulhollem,Brooke Calton;21.43;42.86;28.57;0.00;7.14;86.36;77.14
18035046922393307027;ENG 100;Swift,Jeffrey Charles;18.18;63.64;9.09;0.00;9.09;87.36;78.18
1206256426366731978;ENG 100;Klingenberg,Susanna Branyon;16.28;51.16;18.60;4.65;9.30;85.21;76.05
17535068467498383151;ENG 100;Reid,Gwendolynne;17.65;23.53;35.29;17.65;5.88;82.12;72.94
13394815209006136458;ENG 100;McKinney Maddalena,Sarah Katherine;6.67;80.00;13.33;0.00;0.00;88.40;79.33
13133899744098913909;ENG 100;Gruber,David Robert;29.41;52.94;11.76;0.00;5.88;89.29;80.00
15712414115851640165;ENG 100;Brust,Amy Phillips;64.00;36.00;0.00;0.00;0.00;96.04;86.40
9888870084123538901;ENG 100;Lorello,Elisa;6.38;31.91;34.04;17.02;10.64;79.70;70.64
4293571863102562748;ENG 100;Ligon,Emily Wicker;33.33;27.78;22.22;11.11;5.56;86.56;77.22
17993611773322666298;ENG 101;Cooper,Kacey Krystal;85.00;10.00;0.00;0.00;5.00;96.85;87.00
11452262898787887489;ENG 101;Williams,Rachel Lilly;47.37;52.63;0.00;0.00;0.00;94.21;84.74
9468158289355622454;ENG 101;Clapp,Gwyneth  ;80.00;10.00;5.00;0.00;5.00;95.80;86.00
10034468717708093297;ENG 101;Ruiz,Sarah;70.00;25.00;1.67;1.67;1.67;95.70;86.00
16379436850502297634;ENG 101;Searle,Xavier;47.37;52.63;0.00;0.00;0.00;94.21;84.74
15027853808753191130;ENG 101;Porter,Matthew C;53.33;41.67;3.33;0.00;1.67;94.03;84.50
6277889964415978460;ENG 101;Parlier,Sally Grace;76.67;13.33;6.67;0.00;3.33;95.77;86.00
4844454397993083742;ENG 101;Lewis,Chad;43.64;36.36;12.73;1.82;5.45;90.53;81.09
2994390226608888354;ENG 101;Jenkins,Tommy;81.67;10.00;3.33;0.00;5.00;96.15;86.33
8939779924013460545;ENG 101;Hayes,Holly Elizabeth;62.71;23.73;8.47;1.69;3.39;93.69;84.07
3358385165176633811;ENG 101;Reges,Ed;85.96;12.28;0.00;0.00;1.75;97.93;88.07
6813481751536931166;ENG 101;Alexander,Biven Virginia;79.31;13.79;3.45;1.72;1.72;96.52;86.72
7651825757577435870;ENG 101;Swann,Elizabeth Bryan;72.22;22.22;5.56;0.00;0.00;96.39;86.67
8106972922627912108;ENG 101;Woods,Bella;63.16;36.84;0.00;0.00;0.00;95.95;86.32
13863802540277094499;ENG 101;Jeter,Lauren Elaine;70.00;30.00;0.00;0.00;0.00;96.70;87.00
