Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7895749728825999204;ENT 10;Meyer,John R.;10.84;32.53;45.78;8.43;2.41;83.20;74.10
18329016378540536776;ENT 110;Orr,David B;13.56;42.37;32.20;10.17;1.69;84.73;75.59
18122992142277723983;ENT 110;Alaniz,Alejandro  ;8.11;29.73;29.73;21.62;10.81;79.35;70.27
13521063547794443927;ENT 110;DeVries,Zachary Curran;20.59;38.24;32.35;5.88;2.94;85.97;76.76
14445039098961296719;ENT 110;Meyer,John R.;33.83;33.08;27.07;4.51;1.50;88.66;79.32
5010581764832457906;ENT 110;Reynolds,Diane Silcox;11.11;30.56;44.44;11.11;2.78;82.72;73.61
3557789498660043349;ENT 121;Billeisen,Terri;15.69;36.27;34.31;8.82;4.90;84.06;74.90
10960730352418182117;ENT 121;Possebom,Taynara;10.26;46.15;25.64;12.82;5.13;83.46;74.36
4327544228739902597;ENT 121;Waldvogel,Michael Gerard;10.38;35.85;40.57;8.49;4.72;82.97;73.87
2153471225720105520;ENT 121;Toth,Stephen J.;13.11;40.98;36.07;8.20;1.64;84.70;75.57
15626506519722241528;ENT 132;Alder,Patricia McKeithan;28.57;32.65;28.57;6.12;4.08;86.84;77.55
12131705835474481865;ENT 132;Vargo,Edward L;21.05;57.89;10.53;10.53;0.00;88.16;78.95
4934639506389652516;ENT 163;Billeisen,Terri;17.39;37.68;21.74;10.14;13.04;82.80;73.62
9687655274007821932;ENT 163;Waldvogel,Michael Gerard;15.46;31.96;37.11;12.37;3.09;83.59;74.43
15530747606666594010;ENT 201;Sorenson,Clyde E;35.39;36.63;16.05;7.00;4.94;88.41;79.05
6494402061829661720;ENT 201;Kraft,Laura;52.65;36.73;4.42;3.10;3.10;92.80;83.27
2361434488411498931;ENT 201;Elsensohn,Johanna;25.00;50.00;20.00;0.00;5.00;88.25;79.00
14600438595785748249;ENT 201;Parsons,Sarah;40.00;50.00;10.00;0.00;0.00;92.40;83.00
7655047738925227998;ENT 201;Saenz,Virna Lisa;45.45;40.91;9.09;4.55;0.00;92.18;82.73
6600858806170061755;ENT 201;Oten,Kelly;59.09;36.36;0.00;4.55;0.00;94.59;85.00
13241553400504272316;ENT 201Q;Freeman,Callie Prater;43.48;47.83;8.70;0.00;0.00;92.91;83.48
2351305089489578606;ENT 203;Tarpy,David R.;43.66;39.50;11.64;3.53;1.66;91.43;82.00
2937627830075527443;ENT 203;Ambrose,John T.;86.79;11.32;1.89;0.00;0.00;98.36;88.49
1494976808532751731;ENT 203;Titera,Dalibor;58.57;41.43;0.00;0.00;0.00;95.44;85.86
17736890997460645401;ENT 203;Rice,Arthur R;84.21;15.79;0.00;0.00;0.00;98.26;88.42
18107484308383938035;ENT 203;Marchant Montenegro,Hernan Pedro;90.24;9.76;0.00;0.00;0.00;98.93;89.02
18381215280153183306;ENT 203;Bartelt,Dana Alexandra;72.22;27.78;0.00;0.00;0.00;96.94;87.22
6166730224818586056;ENT 203Q;Ambrose,John T.;42.86;33.33;23.81;0.00;0.00;91.33;81.90
7567562805999327935;ENT 207;Barbarin,Alexis Marie;78.69;14.78;3.44;2.06;1.03;96.59;86.80
11963203924855875631;ENT 207;Reiskind,Michael Hay;46.50;40.91;9.09;2.10;1.40;92.37;82.90
8465489458255952124;ENT 207;Meyer,John R.;31.82;54.55;11.36;2.27;0.00;90.91;81.59
7388354896927538120;ENT 207;Harper,James D;33.33;40.74;22.22;3.70;0.00;89.70;80.37
7201085088319515966;ENT 21;Toth,Stephen J.;18.75;45.31;29.69;3.13;3.13;86.53;77.34
4943086558192387466;ENT 212;Orr,David B;76.00;20.00;2.00;2.00;0.00;96.76;87.00
11425846298412505628;ENT 305;Bailey,Ezra;77.59;15.52;3.45;1.72;1.72;96.33;86.55
13504078179040472384;ENT 305;Reiskind,Michael Hay;72.32;20.54;3.57;1.79;1.79;95.71;85.98
16473939082125636875;ENT 305;Cammack,Jonathan Alan;56.67;33.33;6.67;3.33;0.00;93.90;84.33
12206223911278888449;ENT 305;Kreitlow,Kimberly Lane Tabor;55.56;42.59;1.85;0.00;0.00;94.93;85.37
10123869079200652719;ENT 32;Vargo,Edward L;27.27;48.48;21.21;3.03;0.00;89.27;80.00
10823759184541511985;ENT 401;Tarpy,David R.;81.43;11.43;0.00;5.71;1.43;96.39;86.57
5063562058141241450;ENT 402;Oten,Kelly;53.42;27.40;12.33;1.37;5.48;91.73;82.19
5817713943670923425;ENT 402;Hain,Fred P.;23.33;48.89;23.33;4.44;0.00;88.34;79.11
1579983325941724027;ENT 425;Orr,David B;53.40;31.15;9.37;3.75;2.34;92.48;82.95
16932455824691726307;ENT 425;Meyer,John R.;22.83;29.35;28.26;10.87;8.70;83.90;74.67
9111592612659693320;ENT 495;Sorenson,Clyde E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17432189988809115385;ENT 495;Tarpy,David R.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15641776112491939847;ENT 502;Powell,Gareth Stephen;90.00;10.00;0.00;0.00;0.00;98.90;89.00
17983172100559107062;ENT 502;Wiegmann,Brian M;70.37;29.63;0.00;0.00;0.00;96.74;87.04
7248807975465733718;ENT 502;Blaimer,Bonnie Bernadette;60.00;32.00;8.00;0.00;0.00;94.80;85.20
13517895703944960800;ENT 502;Bertone,Matt;75.00;18.75;6.25;0.00;0.00;96.63;86.88
589689946564073800;ENT 502;Deans,Andrew Robert;61.54;30.77;7.69;0.00;0.00;95.00;85.38
6940683597196721375;ENT 503;Roe,R. Michael;50.00;40.91;9.09;0.00;0.00;93.59;84.09
15324813151382496679;ENT 504;Roe,R. Michael;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3344673731874805797;ENT 506;Lorenzen,Marce D.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16603881447049551441;ENT 506;Scott,Maxwell J;64.29;21.43;7.14;0.00;7.14;93.21;83.57
9916794533153855009;ENT 506;Gould,Fred L.;80.00;20.00;0.00;0.00;0.00;97.80;88.00
7689253309720596078;ENT 509;Silverman,Jules;83.33;16.67;0.00;0.00;0.00;98.17;88.33
2579217574826043153;ENT 510;Huseth,Anders Schmidt;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2444813787890250550;ENT 510;Burrack,Hannah J;90.24;9.76;0.00;0.00;0.00;98.93;89.02
15722529272766589207;ENT 520;Schal,Coby J;82.86;11.43;0.00;0.00;5.71;96.40;86.57
7762650841386099532;ENT 525;Meyer,John R.;95.24;4.76;0.00;0.00;0.00;99.48;89.52
11931202091622600333;ENT 526;Orr,David B;85.00;10.00;5.00;0.00;0.00;97.85;88.00
3142256804507809159;ENT 550;Sorenson,Clyde E;80.00;20.00;0.00;0.00;0.00;97.80;88.00
10176223884247666545;ENT 560;Gould,Fred L.;83.33;16.67;0.00;0.00;0.00;98.17;88.33
18343057474255740441;ENT 582;Reiskind,Michael Hay;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6879432614577067269;ENT 582;Watson,Wes;88.00;12.00;0.00;0.00;0.00;98.68;88.80
