Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9731694904726972819;ENV 100;Wall,Kaly;84.95;11.83;0.00;2.15;1.08;97.59;87.74
6450245653867261550;ENV 100;McMican,Jordan;85.84;4.42;2.65;3.54;3.54;96.41;86.55
2898269812500924844;ENV 100;Young,Sam;77.14;11.43;8.57;0.00;2.86;95.77;86.00
17545550180862863150;ENV 100;Hamilton,Ashley L. R.;76.00;20.00;0.00;4.00;0.00;96.56;86.80
3879698608452178722;ENV 100;Garey,Laura;62.96;14.81;14.81;3.70;3.70;92.59;82.96
9389698417923643384;ENV 100;Harrison,Tianna Rockelle;73.77;13.11;4.92;4.92;3.28;94.66;84.92
9264518313389676630;ENV 100;Howe,Nicki;68.66;22.39;2.99;4.48;1.49;94.91;85.22
356925594146543538;ENV 101;Smith,Haley  ;75.82;20.88;0.00;2.20;1.10;96.57;86.81
11733517632193442591;ENV 101;Desrochers,Hannah Mary;69.44;25.00;5.56;0.00;0.00;96.08;86.39
2859169053135311745;ENV 101;Joyner,Brooklynn Newberry;84.38;12.50;0.00;0.00;3.13;97.34;87.50
15375218155216024442;ENV 101;Rodriguez-Ward,Dawn;75.00;22.22;2.78;0.00;0.00;96.97;87.22
9033156439575724624;ENV 101;Teten,Meghan Lobsinger;92.05;4.55;1.14;1.14;1.14;98.44;88.52
9722327566254862368;ENV 101;Mathenge,Ruth;84.21;13.16;2.63;0.00;0.00;98.00;88.16
14261104072558983236;ENV 101;Lupek,Megan;77.78;18.52;2.78;0.00;0.93;97.00;87.22
16885096026859623408;ENV 101;Jensen,Craig  ;56.82;31.82;9.09;2.27;0.00;93.89;84.32
52833266456567779;ENV 101;Barber,Mary Margaret;85.71;9.52;4.76;0.00;0.00;97.95;88.10
1953248597607771809;ENV 101;Pharr,Lauren Danielle;75.76;9.09;9.09;3.03;3.03;94.91;85.15
12801180849544124392;ENV 101;McWhinney,Anne Marie;84.15;8.54;4.88;1.22;1.22;97.16;87.32
4282706089656293134;ENV 101;Hovis,Meredith Elaine;84.34;13.25;2.41;0.00;0.00;98.04;88.19
13858588403450741287;ENV 101;Jeffries,Steph;56.13;30.97;5.81;3.23;3.87;92.79;83.23
14224634501579249004;ENV 250;Whittington,La'Meshia Le;85.44;12.66;0.63;0.00;1.27;97.96;88.10
