Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11941538863223950079;ES 100;Ardon,Marcelo Luis;76.30;17.53;3.83;1.23;1.11;96.43;86.67
971718900988776653;ES 100;Lupek,Megan;86.12;9.18;3.06;0.41;1.22;97.72;87.86
13879704862893852130;ES 100;Jeffries,Steph;61.65;26.92;7.53;2.17;1.74;94.07;84.46
17990864020253959880;ES 100;Aguilos,Maricar Morales;78.57;16.33;2.72;2.38;0.00;96.89;87.11
6966260266310797177;ES 100;Freyer,Rachel Tolliver;90.63;6.11;1.43;0.61;1.22;98.34;88.43
11561759628804460109;ES 100;Leggett,Zakiya Holmes;72.57;20.14;5.00;0.71;1.57;95.87;86.14
17929524712417982461;ES 100;Emanuel,Ryan E.;62.26;23.43;6.94;3.69;3.69;93.31;83.69
7131039153900331555;ES 100;Barnhill,Katie;52.76;32.07;10.34;2.76;2.07;92.60;83.07
12263905121176394967;ES 100;Goldfarb,Barry;29.31;50.00;18.10;0.00;2.59;89.64;80.34
5839609904213098772;ES 100;Winner,William E;30.59;51.53;13.65;2.35;1.88;89.96;80.66
6177268263632001210;ES 100;Winsett,Katherine E;54.14;23.23;10.51;7.27;4.85;91.00;81.45
14328429507954896326;ES 100;Bhattacharya,Atreyee;56.97;26.02;12.07;2.89;2.04;92.87;83.30
7492248730971938174;ES 100;Bruck,Robert I.;68.47;29.44;1.67;0.14;0.28;96.25;86.57
7915440386982755667;ES 111;Typhina PhD,Eli;72.15;13.29;6.96;1.90;5.70;94.15;84.43
10437570220413036255;ES 111;Hovis,Meredith Elaine;68.85;14.75;6.56;3.28;6.56;93.30;83.61
2782057354032313433;ES 113;Gray,Josh M;58.21;30.54;6.96;1.25;3.04;93.55;83.96
6640257231316507370;ES 150;Martin,Katie;71.04;20.54;5.72;1.68;1.01;95.60;85.89
5741848728436201921;ES 150;Watzin,Mary;30.36;44.64;19.64;3.57;1.79;89.13;79.82
971607104520949153;ES 150;Winner,William E;80.95;9.52;0.00;9.52;0.00;96.00;86.19
1985505279364296278;ES 200;King,John S;74.95;20.07;3.78;0.74;0.46;96.58;86.83
5064021889652320824;ES 200;Vepraskas,Michael John;77.56;18.21;1.92;0.90;1.41;96.74;86.96
15540350859046713202;ES 200;Smart,Lindsey S.;77.44;16.92;3.33;0.77;1.54;96.57;86.79
16308444233508799209;ES 200;Robinson,Walter A;24.23;47.78;20.14;6.31;1.54;87.93;78.69
15458012358384897810;ES 200;Aneja,Viney Pal;27.42;53.23;13.31;5.24;0.81;89.40;80.12
8279049094064705227;ES 200;Carley,Danesha Seth;40.23;38.08;14.24;3.97;3.48;90.16;80.76
17985356381794261639;ES 200;Kochtcheeva,Lada Vyacheslavovna;23.30;44.20;24.97;5.33;2.19;87.34;78.11
10413012618264441181;ES 200;Winner,William E;33.87;41.53;16.93;5.22;2.44;89.25;79.92
485112040342621627;ES 295;Cooper,Caren;92.86;7.14;0.00;0.00;0.00;99.21;89.29
175798602237486459;ES 295;Daniel III,Louis B;50.00;44.12;2.94;2.94;0.00;93.62;84.12
5035414261944372224;ES 295;Thayer,Victoria Graves;63.41;34.15;2.44;0.00;0.00;95.73;86.10
10926993282098658479;ES 295;Winner,William E;90.91;6.06;0.00;3.03;0.00;98.39;88.48
17413094686115293261;ES 300;Kern,Jordan;90.09;8.11;0.90;0.45;0.45;98.59;88.69
11750361125288232792;ES 300;Krim,Jacqueline;38.72;44.36;13.53;1.13;2.26;91.00;81.62
16859341768413089018;ES 300;Robinson,Walter A;42.71;39.58;13.54;3.13;1.04;91.41;81.98
11577700641759447083;ES 300;Kalland,Steve;40.15;45.95;12.36;0.77;0.77;91.80;82.39
13129497595109753615;ES 300;Winner,William E;37.90;40.73;16.53;3.63;1.21;90.43;81.05
3199328856094998026;ES 400;Lupek,Megan;88.19;10.24;1.57;0.00;0.00;98.54;88.66
9964287869070662870;ES 400;Ardon,Marcelo Luis;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4142227898274410859;ES 400;Ukachukwu,Omoyemeh Jennifer;78.13;15.63;6.25;0.00;0.00;96.97;87.19
17942631994280985530;ES 400;Hess,George R.;92.11;5.26;1.32;0.00;1.32;98.61;88.68
8764154118668239111;ES 400;Burgess,Murry;63.64;36.36;0.00;0.00;0.00;96.00;86.36
17120670186936567643;ES 400;Tulbure,Mirela;90.59;8.24;1.18;0.00;0.00;98.85;88.94
1372882467951685733;ES 400;Scheller,Robert Michael;79.73;12.16;5.41;1.35;1.35;96.55;86.76
11645047713168731110;ES 400;Gray,Josh M;71.43;16.33;6.12;0.00;6.12;94.41;84.69
3359288757383425479;ES 400;Winner,William E;89.89;10.11;0.00;0.00;0.00;98.89;88.99
630953290722541600;ES 495;Wang,Jack;83.02;13.21;3.77;0.00;0.00;97.75;87.92
13978506740658324552;ES 495;Ercumen,Ayse;47.37;31.58;18.42;2.63;0.00;91.84;82.37
8926515180262011567;ES 495;Martin,Katie;95.24;4.76;0.00;0.00;0.00;99.48;89.52
10305883611475706948;ES 496;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18345532299437714095;ES 496;Winner,William E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16931526510180748032;ES 497;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17806339715525952137;ES 498;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
