Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18040255329464835529;ET 100;Bruck,Robert I.;66.67;30.77;2.56;0.00;0.00;96.08;86.41
17169835049696856123;ET 105;Paige Jr,William Eldon;75.71;18.57;2.86;0.00;2.86;96.19;86.43
1474019029701230979;ET 105;Bruck,Robert I.;98.79;1.21;0.00;0.00;0.00;99.87;89.88
11810734818490843999;ET 120;Ebersohl,Richard D;72.77;19.80;4.46;0.99;1.98;95.77;86.04
152224486120021166;ET 120;Nichols,Elizabeth Guthrie;32.90;49.03;10.32;4.52;3.23;89.72;80.39
8070511501499323208;ET 201;Allen,Angela;71.74;21.74;4.35;2.17;0.00;96.02;86.30
15669151658843916566;ET 201;Litzenberger,Teresa Hussey;71.15;21.15;5.77;0.00;1.92;95.67;85.96
12749202634703198932;ET 202;Allen,Angela;61.82;30.91;3.64;1.82;1.82;94.53;84.91
1222749538028246733;ET 202;Litzenberger,Teresa Hussey;75.31;17.28;6.17;1.23;0.00;96.42;86.67
5868751474365765753;ET 203;Paige Jr,William Eldon;79.31;20.69;0.00;0.00;0.00;97.72;87.93
12987258548334757789;ET 203;Hunt,Gary Edward;47.83;47.83;4.35;0.00;0.00;93.83;84.35
9265609633696645197;ET 203;Bruck,Robert I.;95.97;4.03;0.00;0.00;0.00;99.56;89.60
4585393051984204197;ET 220;Larson,Kelly;89.86;5.80;4.35;0.00;0.00;98.45;88.55
14377244910984319925;ET 220;Cleveland III,Tommy;37.35;38.55;9.64;6.02;8.43;88.41;79.04
3159004845785489251;ET 240;Shifflett,Shawn;78.26;21.74;0.00;0.00;0.00;97.61;87.83
11207917787482404309;ET 240;Banks,Jennifer L;84.00;14.00;2.00;0.00;0.00;98.04;88.20
8639306039500410707;ET 252;McCarter,James B;86.67;13.33;0.00;0.00;0.00;98.53;88.67
1674634523179090197;ET 252;Rice,Joshua Sayre;56.25;25.00;12.50;0.00;6.25;92.06;82.50
14870733209978736016;ET 252;Cheshire,Heather Mcrae;38.67;44.00;14.67;2.67;0.00;91.25;81.87
4159104054042009975;ET 255;Dumdum,Lyra Perez;82.80;16.13;1.08;0.00;0.00;98.00;88.17
8564769424297401552;ET 255;Nichols,Elizabeth Guthrie;56.60;28.30;11.32;0.00;3.77;92.96;83.40
2655337550656499447;ET 255;Shifflett,Shawn;45.45;36.36;0.00;0.00;18.18;88.55;79.09
6743641503399621091;ET 262;Dumdum,Lyra Perez;82.18;8.91;5.94;1.98;0.99;96.75;86.93
11355791845521289879;ET 262;Lips,Brian C.;62.96;31.48;1.85;3.70;0.00;95.00;85.37
5784807029765254909;ET 262;Taylor,Linda;61.90;33.33;0.00;0.00;4.76;94.38;84.76
11676750706932990634;ET 301;Allen,Angela;95.65;4.35;0.00;0.00;0.00;99.52;89.57
11124101696791615023;ET 301;Taylor,Linda;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10504487710860718658;ET 302;Richmond-Bryant,Jennifer;93.18;4.55;2.27;0.00;0.00;99.02;89.09
10173526371184095022;ET 302;Litzenberger,Teresa Hussey;68.89;26.67;2.22;0.00;2.22;95.69;86.00
15949283005356215893;ET 303;Singleton,Holli W;93.33;0.00;6.67;0.00;0.00;98.60;88.67
2024254331453805004;ET 303;Taylor,Linda;88.37;6.98;4.65;0.00;0.00;98.26;88.37
9760212971017184449;ET 310;Nichols,Elizabeth Guthrie;82.69;17.31;0.00;0.00;0.00;98.10;88.27
15011106122867344522;ET 320;Richmond-Bryant,Jennifer;64.29;29.76;3.57;1.19;1.19;95.12;85.48
2983054322948096831;ET 320;Aneja,Viney Pal;35.71;46.83;17.46;0.00;0.00;91.18;81.83
15270161938244653628;ET 330;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12381901756250498064;ET 330;Jeffries,Steph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10006523176174207959;ET 330;Bruck,Robert I.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4120780094566400396;ET 401;Ghezehei,Solomon Beyene;94.74;0.00;5.26;0.00;0.00;98.89;88.95
16849542277829258996;ET 401;Taylor,Linda;94.92;1.69;1.69;0.00;1.69;98.76;88.81
2658271562296761219;ET 402;Cleveland III,Tommy;57.89;42.11;0.00;0.00;0.00;95.37;85.79
10027761545723785374;ET 402;Bruck,Robert I.;97.17;2.83;0.00;0.00;0.00;99.69;89.72
18369297442678583683;ET 410;Warren,Sarah Timberlake;32.18;51.72;13.79;1.15;1.15;90.59;81.26
3124258082680230177;ET 455;Allen,Angela;69.57;17.39;8.70;0.00;4.35;94.48;84.78
17574878072982549914;ET 455;Doran,Kwinn;91.67;0.00;8.33;0.00;0.00;98.25;88.33
9956059157127084150;ET 455;Rivers,Louie;91.67;3.57;3.57;1.19;0.00;98.49;88.57
1451503160857056044;ET 455;Beratan,Kathi Kronenfeld;22.00;62.00;14.00;2.00;0.00;89.62;80.40
13844052628703145255;ET 455;Burke,Caitlin A;35.14;37.84;24.32;2.70;0.00;89.89;80.54
9241980512180543199;ET 455;Steelman,Toddi Angela;25.25;59.60;14.14;1.01;0.00;90.16;80.91
4375767082062383830;ET 460;Paige Jr,William Eldon;89.74;10.26;0.00;0.00;0.00;98.87;88.97
14062320809158375857;ET 460;Nichols,Elizabeth Guthrie;65.38;33.33;1.28;0.00;0.00;96.06;86.41
17475115152919094520;ET 470;Nichols,Elizabeth Guthrie;90.00;10.00;0.00;0.00;0.00;98.90;89.00
2597680811228599855;ET 484;Nichols,Elizabeth Guthrie;76.92;15.38;7.69;0.00;0.00;96.69;86.92
6968367693090498873;ET 490;Champion,Erin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15516977947640569025;ET 490;Jeffries,Steph;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3248192411500888217;ET 490;Bruck,Robert I.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
