Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5082100277600363632;FB 480;Venditti,Richard Arthur;62.50;25.00;12.50;0.00;0.00;94.63;85.00
13932072066186932830;FB 501;Hubbe,Martin A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14407152245957518733;FB 510;Gonzalez,Ronalds Wilfredo;66.67;22.22;11.11;0.00;0.00;95.22;85.56
11887942467971037060;FB 516;Hubbe,Martin A;96.15;3.85;0.00;0.00;0.00;99.58;89.62
12074590295331589531;FB 522;Hubbe,Martin A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1585558089205127422;FB 527;Hubbe,Martin A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5756329913882456362;FB 565;Pawlak,Joel Justin;84.85;12.12;0.00;3.03;0.00;97.73;87.88
9127131143320028524;FB 576;Lan,Kai  ;60.87;34.78;4.35;0.00;0.00;95.26;85.65
13951952782392189434;FB 576;Venditti,Richard Arthur;90.32;9.68;0.00;0.00;0.00;98.94;89.03
14306917015465841213;FB 576;Hakovirta,Marko;83.33;16.67;0.00;0.00;0.00;98.17;88.33
8366928120741388259;FB 576;Yao PhD,Yuan;78.95;21.05;0.00;0.00;0.00;97.68;87.89
6541282790123769165;FB 580;Pawlak,Joel Justin;64.52;22.58;9.68;0.00;3.23;94.16;84.52
13859948747817141663;FB 580;Venditti,Richard Arthur;80.00;10.00;0.00;0.00;10.00;94.80;85.00
1988739950897519344;FB 595;Hubbe,Martin A;97.78;2.22;0.00;0.00;0.00;99.76;89.78
10527439204494883278;FB 595;Gonzalez,Ronalds Wilfredo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13608239324023249498;FB 595;Yao PhD,Yuan;83.33;16.67;0.00;0.00;0.00;98.17;88.33
15295840086565786865;FB 595;Park,Sunkyu;73.68;15.79;5.26;5.26;0.00;95.53;85.79
16554535669329762038;FB 595;Venditti,Richard Arthur;52.17;26.09;0.00;8.70;13.04;89.09;79.57
402306289341930463;FB 620;Hubbe,Martin A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10615782095906049655;FB 693;Hakovirta,Marko;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16611277467611204641;FB 701;Hubbe,Martin A;98.11;1.89;0.00;0.00;0.00;99.79;89.81
750999128638204243;FB 723;Argyropoulos,Dimitris S;62.12;34.85;3.03;0.00;0.00;95.53;85.91
2009578918424525481;FB 760;Park,Sunkyu;46.43;51.79;1.79;0.00;0.00;93.93;84.46
10570362943113190888;FB 791;Lucia,Lucian;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5950901856465934818;FB 801;Saloni,Daniel Erique;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16402489309960953657;FB 801;Peszlen,Ilona Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18378573777545924266;FB 801;Lucia,Lucian;0.00;0.00;0.00;0.00;0.00;0.00;0.00
185849003058103592;FB 893;Lucia,Lucian;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4357104930455765116;FB 893;Gonzalez,Ronalds Wilfredo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17755019484682413848;FB 893;Park,Sunkyu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5213013814809438959;FB 893;Pal,Lokendra;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18141066138996509004;FB 893;Lavoine,Nathalie Marie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15175049687640426925;FB 893;Jameel,Hasan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13821312722596006805;FB 893;Hakovirta,Marko;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5921010171620684503;FB 893;Saloni,Daniel Erique;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18217295126835129126;FB 893;Peralta,Perry;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1919631101714444534;FB 893;Rojas,Orlando Jose;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11838372163195767431;FB 893;Venditti,Richard Arthur;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13309808191817234555;FB 895;Gonzalez,Ronalds Wilfredo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6616719224183109269;FB 895;Laleicke,Frederik;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3235236466363021123;FB 895;Park,Sunkyu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12863271160661948660;FB 895;Pal,Lokendra;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5009136686827496995;FB 895;Venditti,Richard Arthur;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11783735660572761387;FB 895;Jameel,Hasan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7205699179602655048;FB 899;Kelley,Stephen S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14336446539103134288;FB 899;Pawlak,Joel Justin;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18224547116166581736;FB 899;Peszlen,Ilona Maria;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11487721056542635463;FB 899;Dasmohapatra,Sudipta;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8934660741408154720;FB 899;Venditti,Richard Arthur;0.00;0.00;0.00;0.00;0.00;0.00;0.00
