Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18416107921721635681;FIM 500;Pang,Tao;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18420505562450407183;FIM 500;Collison,John R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
317618763452174150;FIM 528;Norgilas,Dominykas;70.91;29.09;0.00;0.00;0.00;96.80;87.09
18055363690314526625;FIM 528;Papanicolaou,Andrew;87.50;11.11;1.39;0.00;0.00;98.49;88.61
16661351417989397555;FIM 528;Pang,Tao;68.52;27.78;1.85;1.85;0.00;95.98;86.30
17435663317756413911;FIM 547;Papanicolaou,Andrew;66.67;33.33;0.00;0.00;0.00;96.33;86.67
14836174766498429968;FIM 547;Pang,Tao;75.38;23.08;1.54;0.00;0.00;97.14;87.38
7755024679973073838;FIM 548;Norgilas,Dominykas;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1468656484055318683;FIM 548;Papanicolaou,Andrew;93.75;6.25;0.00;0.00;0.00;99.31;89.38
7857387950326637403;FIM 548;Kitapbayev,Yerkin;89.39;10.61;0.00;0.00;0.00;98.83;88.94
12505649285461704269;FIM 548;Liu,Yunan;50.00;50.00;0.00;0.00;0.00;94.50;85.00
15754511665695315333;FIM 548;Scroggs,Jeffrey Scott;47.83;47.83;4.35;0.00;0.00;93.83;84.35
16529122585454406308;FIM 549;Ellson,Richard Wayne;60.53;35.53;3.95;0.00;0.00;95.26;85.66
8071375303685721970;FIM 549;Pang,Tao;75.00;25.00;0.00;0.00;0.00;97.25;87.50
18190277684777304455;FIM 590;Ellson,Richard Wayne;69.09;29.09;0.00;1.82;0.00;96.24;86.55
3897467377904005452;FIM 590;Papanicolaou,Andrew;97.67;2.33;0.00;0.00;0.00;99.74;89.77
9060154984201184671;FIM 590;Pang,Tao;88.73;11.27;0.00;0.00;0.00;98.76;88.87
16439219181995203909;FIM 590;Chen,Wei;97.87;2.13;0.00;0.00;0.00;99.77;89.79
12857506443126368137;FIM 590;Carroll,Robert Graham;66.67;27.27;6.06;0.00;0.00;95.73;86.06
265133027721996305;FIM 590;Taylor,Katherine Fullington;25.00;75.00;0.00;0.00;0.00;91.75;82.50
11845893361136240581;FIM 590;Kitapbayev,Yerkin;61.76;38.24;0.00;0.00;0.00;95.79;86.18
1458376220700745372;FIM 590;Valluru,Ram;92.68;4.88;2.44;0.00;0.00;98.95;89.02
16587589124233706366;FIM 590;Rockwell High,Jeff;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6818129933540947422;FIM 590;Scroggs,Jeffrey Scott;63.46;28.85;7.69;0.00;0.00;95.21;85.58
5391561584382775504;FIM 601;Pang,Tao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12399730952994970572;FIM 601;Scroggs,Jeffrey Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12321692317171597080;FIM 620;Scroggs,Jeffrey Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1175536369257332296;FIM 650;Pang,Tao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13039850357446377089;FIM 650;Scroggs,Jeffrey Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12986712158980418845;FIM 675;Pang,Tao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18286759362602711570;FIM 675;Scroggs,Jeffrey Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15086317321016992366;FIM 693;Pang,Tao;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18395384122451422159;FIM 693;Scroggs,Jeffrey Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
